"plh0206i04","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","29","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","53","0.00880767454404821","0.00662104704820649","0.0109943020398899","1"
"1 Strongly disagree","2005","Single parent ","11","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","9","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","14","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","8","","","","1"
"2 on scale 1-7 ","2005","Single parent ","8","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","32","0.0127848607510528","0.00873833049658904","0.0168313910055166","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","14","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","47","0.00696224791986267","0.00501633755233658","0.00890815828738876","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","36","0.0129611091969631","0.00931958164048498","0.0166026367534412","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","23","","","","2"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","77","0.0220836072257404","0.0173115639258143","0.0268556505256665","3"
"3 on scale 1-7 ","2005","1-pers.-HH","61","0.0219035852407555","0.0166315618989315","0.0271756085825795","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","71","0.0192139211067357","0.0147942441039827","0.0236335981094888","3"
"3 on scale 1-7 ","2005","Single parent ","31","0.0286119050197522","0.0187510017958094","0.0384728082436951","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","156","0.0216238298612448","0.0182198698366103","0.0250277898858794","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","46","0.0255678214152427","0.0180756350791404","0.033060007751345","3"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","165","0.0898612356657355","0.0762866713820161","0.103435799949455","4"
"4 on scale 1-7","2005","(Married) couple without C. ","560","0.0820666029450175","0.0756433647988627","0.0884898410911724","4"
"4 on scale 1-7","2005","Single parent ","115","0.110328065400029","0.0917968088851337","0.128859321914924","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","335","0.0936334715996927","0.084173583531516","0.103093359667869","4"
"4 on scale 1-7","2005","1-pers.-HH","266","0.0924322742816337","0.0819999704145609","0.102864578148707","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","316","0.0853978368563723","0.0764000659638421","0.0943956077489025","4"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","301","0.191424837688857","0.172750498558876","0.210099176818838","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","660","0.175906515001386","0.163648374744528","0.188164655258245","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","716","0.208263937506908","0.195077855985903","0.221450019027913","5"
"5 on scale 1-7","2005","1-pers.-HH","480","0.161315550958486","0.148067063456173","0.174564038460798","5"
"5 on scale 1-7","2005","(Married) couple without C. ","1130","0.152282539752951","0.143874091998278","0.160690987507624","5"
"5 on scale 1-7","2005","Single parent ","166","0.146901002007322","0.125961853554243","0.167840150460402","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","540","0.292674078627134","0.271077357705928","0.31427079954834","6"
