"plh0206i04","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","no migration background","25","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","direct migration background","4","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","indirect migration background","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","no migration background","47","0.0088963929457883","0.00655925830656543","0.0112335275850112","1"
"1 Strongly disagree","2005","(Married) couple without C. ","direct migration background","6","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Single parent ","no migration background","9","","","","1"
"1 Strongly disagree","2005","Single parent ","direct migration background","1","","","","1"
"1 Strongly disagree","2005","Single parent ","indirect migration background","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","no migration background","8","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","direct migration background","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","no migration background","13","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","direct migration background","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","indirect migration background","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","no migration background","8","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","direct migration background","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","indirect migration background","2","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","no migration background","31","0.0139316889780841","0.00947336920942508","0.0183900087467432","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","indirect migration background","2","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","direct migration background","1","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","no migration background","38","0.00732868674367059","0.0052057696182744","0.00945160386906678","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","direct migration background","7","","","","2"
"2 on scale 1-7 ","2005","Single parent ","no migration background","7","","","","2"
"2 on scale 1-7 ","2005","Single parent ","direct migration background","1","","","","2"
"2 on scale 1-7 ","2005","Single parent ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","no migration background","24","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","no migration background","8","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","direct migration background","6","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","direct migration background","8","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","indirect migration background","4","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","no migration background","21","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","direct migration background","","","","","2"
"3 on scale 1-7 ","2005","1-pers.-HH","no migration background","54","0.0205649893579949","0.0151665542544506","0.0259634244615392","3"
"3 on scale 1-7 ","2005","1-pers.-HH","direct migration background","5","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","indirect migration background","3","","","","3"
