"plh0206i04","year","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","136","0.00785521746012876","0.0066520711132899","0.00905836380696762","1"
"2 on scale 1-7 ","2005","167","0.00952121613010026","0.00819772625069487","0.0108447060095056","2"
"3 on scale 1-7 ","2005","460","0.0225176045848033","0.0204956686509652","0.0245395405186414","3"
"4 on scale 1-7","2005","1801","0.0885444036942412","0.0846727175808569","0.0924160898076256","4"
"5 on scale 1-7","2005","3555","0.168458872130472","0.163358044644882","0.173559699616063","5"
"6 on scale 1-7","2005","6808","0.319045580220391","0.312693189363687","0.325397971077094","6"
"7 Strongly agree","2005","7755","0.384057105779863","0.377428534188472","0.390685677371255","7"
"1 Strongly disagree","2006","","","","","1"
"2 on scale 1-7 ","2006","","","","","2"
"3 on scale 1-7 ","2006","","","","","3"
"4 on scale 1-7","2006","","","","","4"
"5 on scale 1-7","2006","","","","","5"
"6 on scale 1-7","2006","","","","","6"
"7 Strongly agree","2006","","","","","7"
"1 Strongly disagree","2007","","","","","1"
"2 on scale 1-7 ","2007","","","","","2"
"3 on scale 1-7 ","2007","","","","","3"
"4 on scale 1-7","2007","","","","","4"
"5 on scale 1-7","2007","","","","","5"
"6 on scale 1-7","2007","","","","","6"
"7 Strongly agree","2007","","","","","7"
"1 Strongly disagree","2008","","","","","1"
"2 on scale 1-7 ","2008","","","","","2"
"3 on scale 1-7 ","2008","","","","","3"
"4 on scale 1-7","2008","","","","","4"
"5 on scale 1-7","2008","","","","","5"
"6 on scale 1-7","2008","","","","","6"
"7 Strongly agree","2008","","","","","7"
"1 Strongly disagree","2009","","","","","1"
"2 on scale 1-7 ","2009","","","","","2"
"3 on scale 1-7 ","2009","","","","","3"
"4 on scale 1-7","2009","","","","","4"
"5 on scale 1-7","2009","","","","","5"
"6 on scale 1-7","2009","","","","","6"
"7 Strongly agree","2009","","","","","7"
"1 Strongly disagree","2010","115","0.00816907325936062","0.0068022391410538","0.00953590737766744","1"
"2 on scale 1-7 ","2010","160","0.0114675325307481","0.00985078929781002","0.0130842757636861","2"
"3 on scale 1-7 ","2010","387","0.0250417630825614","0.0226691001247667","0.0274144260403561","3"
"4 on scale 1-7","2010","1490","0.0947749973231721","0.0903272945869566","0.0992227000593877","4"
"5 on scale 1-7","2010","3084","0.177722903013579","0.171918047841998","0.183527758185161","5"
"6 on scale 1-7","2010","5603","0.32085237878227","0.313764026127081","0.327940731437459","6"
"7 Strongly agree","2010","5821","0.361971352008308","0.354673958229196","0.369268745787421","7"
"1 Strongly disagree","2011","","","","","1"
"2 on scale 1-7 ","2011","","","","","2"
"3 on scale 1-7 ","2011","","","","","3"
"4 on scale 1-7","2011","","","","","4"
"5 on scale 1-7","2011","","","","","5"
"6 on scale 1-7","2011","","","","","6"
"7 Strongly agree","2011","","","","","7"
"1 Strongly disagree","2012","","","","","1"
"2 on scale 1-7 ","2012","","","","","2"
"3 on scale 1-7 ","2012","","","","","3"
"4 on scale 1-7","2012","","","","","4"
"5 on scale 1-7","2012","","","","","5"
"6 on scale 1-7","2012","","","","","6"
"7 Strongly agree","2012","","","","","7"
"1 Strongly disagree","2013","","","","","1"
"2 on scale 1-7 ","2013","","","","","2"
"3 on scale 1-7 ","2013","","","","","3"
"4 on scale 1-7","2013","","","","","4"
"5 on scale 1-7","2013","","","","","5"
"6 on scale 1-7","2013","","","","","6"
"7 Strongly agree","2013","","","","","7"
"1 Strongly disagree","2014","","","","","1"
"2 on scale 1-7 ","2014","","","","","2"
"3 on scale 1-7 ","2014","","","","","3"
"4 on scale 1-7","2014","","","","","4"
"5 on scale 1-7","2014","","","","","5"
"6 on scale 1-7","2014","","","","","6"
"7 Strongly agree","2014","","","","","7"
