"plh0206i04","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","West Germany","85","0.00791810417960139","0.00633784944319896","0.00949835891600381","1"
"1 Strongly disagree","2005","Urban Area","East Germany","10","","","","1"
"1 Strongly disagree","2005","Rural Area","West Germany","25","","","","1"
"1 Strongly disagree","2005","Rural Area","East Germany","16","","","","1"
"2 on scale 1-7 ","2005","Urban Area","East Germany","10","","","","2"
"2 on scale 1-7 ","2005","Rural Area","West Germany","21","","","","2"
"2 on scale 1-7 ","2005","Rural Area","East Germany","29","","","","2"
"2 on scale 1-7 ","2005","Urban Area","West Germany","107","0.0103260897636514","0.00852366667695513","0.0121285128503476","2"
"3 on scale 1-7 ","2005","Urban Area","East Germany","40","0.0235178751289987","0.0164340171680386","0.0306017330899588","3"
"3 on scale 1-7 ","2005","Rural Area","West Germany","73","0.019296618881304","0.0147751800392315","0.0238180577233765","3"
"3 on scale 1-7 ","2005","Rural Area","East Germany","61","0.0203569650881531","0.0155270781979433","0.025186851978363","3"
"3 on scale 1-7 ","2005","Urban Area","West Germany","286","0.0238184781053105","0.0210997546856508","0.0265372015249702","3"
"4 on scale 1-7","2005","Rural Area","East Germany","274","0.089959984775516","0.0801740695779583","0.0997458999730737","4"
"4 on scale 1-7","2005","Urban Area","East Germany","171","0.0978889200362211","0.0839978585795792","0.111779981492863","4"
"4 on scale 1-7","2005","Rural Area","West Germany","310","0.087986328736412","0.0786757755012017","0.0972968819716224","4"
"4 on scale 1-7","2005","Urban Area","West Germany","1046","0.0874493076946609","0.0824125690033684","0.0924860463859534","4"
"5 on scale 1-7","2005","Rural Area","West Germany","627","0.167488906678896","0.155215778970432","0.17976203438736","5"
"5 on scale 1-7","2005","Urban Area","East Germany","307","0.156092440129719","0.13912653519228","0.173058345067159","5"
"5 on scale 1-7","2005","Urban Area","West Germany","2101","0.172606606577518","0.165868661535181","0.179344551619855","5"
"5 on scale 1-7","2005","Rural Area","East Germany","520","0.155260314926406","0.142874111829493","0.167646518023319","5"
"6 on scale 1-7","2005","Rural Area","West Germany","1206","0.323639752943734","0.308262201718439","0.339017304169029","6"
"6 on scale 1-7","2005","Rural Area","East Germany","1122","0.329208636020511","0.31313641641482","0.345280855626201","6"
"6 on scale 1-7","2005","Urban Area","East Germany","590","0.328052863755685","0.306105714053574","0.350000013457796","6"
"6 on scale 1-7","2005","Urban Area","West Germany","3890","0.314720404409042","0.306440237649291","0.323000571168792","6"
"7 Strongly agree","2005","Rural Area","East Germany","1262","0.389823108600994","0.373142642381682","0.406503574820305","7"
"7 Strongly agree","2005","Urban Area","East Germany","630","0.379856191098719","0.357168282368591","0.402544099828847","7"
"7 Strongly agree","2005","Rural Area","West Germany","1294","0.384829161058274","0.368837297636791","0.400821024479757","7"
"7 Strongly agree","2005","Urban Area","West Germany","4569","0.383161009270216","0.374493001420481","0.391829017119951","7"
"1 Strongly disagree","2006","Urban Area","West Germany","","","","","1"
