"plh0206i04","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Male","","","",""
"1 Strongly disagree","2005","in school","Female","","","",""
"1 Strongly disagree","2005","inadequately","Male","","","",""
"1 Strongly disagree","2005","inadequately","Female","","","",""
"1 Strongly disagree","2005","general elemantary","Male","","","",""
"1 Strongly disagree","2005","general elemantary","Female","","","",""
"1 Strongly disagree","2005","middle vocational","Male","31","0.00751043572046917","0.0050868615113233","0.00993400992961504"
"1 Strongly disagree","2005","middle vocational","Female","49","0.0102198348828511","0.00752983500074148","0.0129098347649607"
"1 Strongly disagree","2005","vocational + Abi","Male","","","",""
"1 Strongly disagree","2005","vocational + Abi","Female","","","",""
"1 Strongly disagree","2005","higher vocational","Male","","","",""
"1 Strongly disagree","2005","higher vocational","Female","","","",""
"1 Strongly disagree","2005","higher education","Male","","","",""
"1 Strongly disagree","2005","higher education","Female","","","",""
"2 on scale 1-7 ","2005","in school","Male","","","",""
"2 on scale 1-7 ","2005","in school","Female","","","",""
"2 on scale 1-7 ","2005","inadequately","Male","","","",""
"2 on scale 1-7 ","2005","inadequately","Female","","","",""
"2 on scale 1-7 ","2005","general elemantary","Male","","","",""
"2 on scale 1-7 ","2005","general elemantary","Female","","","",""
"2 on scale 1-7 ","2005","middle vocational","Male","34","0.00658173639826205","0.00431188673817143","0.00885158605835267"
"2 on scale 1-7 ","2005","middle vocational","Female","46","0.0111847421515663","0.00837198967337306","0.0139974946297596"
"2 on scale 1-7 ","2005","vocational + Abi","Male","","","",""
"2 on scale 1-7 ","2005","vocational + Abi","Female","","","",""
"2 on scale 1-7 ","2005","higher vocational","Male","","","",""
"2 on scale 1-7 ","2005","higher vocational","Female","","","",""
"2 on scale 1-7 ","2005","higher education","Male","","","",""
"2 on scale 1-7 ","2005","higher education","Female","","","",""
"3 on scale 1-7 ","2005","in school","Male","","","",""
"3 on scale 1-7 ","2005","in school","Female","","","",""
"3 on scale 1-7 ","2005","inadequately","Male","","","",""
"3 on scale 1-7 ","2005","inadequately","Female","","","",""
"3 on scale 1-7 ","2005","general elemantary","Male","","","",""
"3 on scale 1-7 ","2005","general elemantary","Female","37","0.0315924752262887","0.023077615690493","0.0401073347620845"
"3 on scale 1-7 ","2005","middle vocational","Male","94","0.0189675464748192","0.0151383465061609","0.0227967464434775"
"3 on scale 1-7 ","2005","middle vocational","Female","126","0.0235330409976799","0.0194786208613676","0.0275874611339921"
"3 on scale 1-7 ","2005","vocational + Abi","Male","","","",""
"3 on scale 1-7 ","2005","vocational + Abi","Female","","","",""
"3 on scale 1-7 ","2005","higher vocational","Male","","","",""
"3 on scale 1-7 ","2005","higher vocational","Female","","","",""
"3 on scale 1-7 ","2005","higher education","Male","46","0.0170847955693698","0.0117968471091395","0.0223727440296"
"3 on scale 1-7 ","2005","higher education","Female","37","0.0206819819470738","0.0142108063298297","0.0271531575643178"
"4 on scale 1-7","2005","in school","Male","43","0.136218272470938","0.0979720504515069","0.174464494490369"
"4 on scale 1-7","2005","in school","Female","37","0.105119411658126","0.072470234048374","0.137768589267877"
"4 on scale 1-7","2005","inadequately","Male","","","",""
"4 on scale 1-7","2005","inadequately","Female","","","",""
"4 on scale 1-7","2005","general elemantary","Male","78","0.103880565055418","0.0824275824093481","0.125333547701487"
"4 on scale 1-7","2005","general elemantary","Female","145","0.0982707777816805","0.0837794943001932","0.112762061263168"
"4 on scale 1-7","2005","middle vocational","Male","366","0.0806899034624331","0.0730444826600903","0.088335324264776"
"4 on scale 1-7","2005","middle vocational","Female","449","0.0816698153481309","0.0743450930372538","0.0889945376590081"
"4 on scale 1-7","2005","vocational + Abi","Male","49","0.107355875674024","0.0792493465836716","0.135462404764377"
"4 on scale 1-7","2005","vocational + Abi","Female","64","0.105558552678515","0.0822221640969442","0.128894941260086"
"4 on scale 1-7","2005","higher vocational","Male","71","0.0842814773531631","0.0660605938731733","0.102502360833153"
"4 on scale 1-7","2005","higher vocational","Female","64","0.102722709209864","0.0796654571598277","0.1257799612599"
"4 on scale 1-7","2005","higher education","Male","203","0.100474319740118","0.0882067477794921","0.112741891700744"
"4 on scale 1-7","2005","higher education","Female","168","0.078391198494112","0.0661694822829175","0.0906129147053065"
"5 on scale 1-7","2005","in school","Male","62","0.196187540010389","0.151910158543864","0.240464921476914"
"5 on scale 1-7","2005","in school","Female","58","0.172703553341362","0.132466195252854","0.21294091142987"
"5 on scale 1-7","2005","inadequately","Male","","","",""
"5 on scale 1-7","2005","inadequately","Female","","","",""
"5 on scale 1-7","2005","general elemantary","Male","134","0.163742340178391","0.137723488075412","0.18976119228137"
"5 on scale 1-7","2005","general elemantary","Female","281","0.164186894995267","0.146153378697897","0.182220411292636"
"5 on scale 1-7","2005","middle vocational","Male","801","0.158617214466338","0.148362283255199","0.168872145677477"
"5 on scale 1-7","2005","middle vocational","Female","876","0.16660903133889","0.156642716265661","0.17657534641212"
"5 on scale 1-7","2005","vocational + Abi","Male","97","0.206275857337167","0.169537974202907","0.243013740471427"
"5 on scale 1-7","2005","vocational + Abi","Female","117","0.155631885150405","0.128100619435863","0.183163150864948"
"5 on scale 1-7","2005","higher vocational","Male","155","0.176098176198071","0.15111558262525","0.201080769770891"
"5 on scale 1-7","2005","higher vocational","Female","102","0.169085617477948","0.14061856850266","0.197552666453236"
"5 on scale 1-7","2005","higher education","Male","453","0.200382082555723","0.184047990637305","0.216716174474141"
"5 on scale 1-7","2005","higher education","Female","325","0.159774194089741","0.143114134058734","0.176434254120748"
"6 on scale 1-7","2005","in school","Male","105","0.306901404512322","0.255477411191386","0.358325397833258"
"6 on scale 1-7","2005","in school","Female","109","0.300553846923791","0.251746350580817","0.349361343266765"
"6 on scale 1-7","2005","inadequately","Male","","","",""
"6 on scale 1-7","2005","inadequately","Female","","","",""
"6 on scale 1-7","2005","general elemantary","Male","232","0.299170476726865","0.266974385986645","0.331366567467085"
"6 on scale 1-7","2005","general elemantary","Female","450","0.270635908480649","0.249007653438301","0.292264163522996"
"6 on scale 1-7","2005","middle vocational","Male","1607","0.321812655758991","0.308698595309307","0.334926716208674"
"6 on scale 1-7","2005","middle vocational","Female","1725","0.307578365420179","0.295235268052525","0.319921462787833"
"6 on scale 1-7","2005","vocational + Abi","Male","175","0.415949101353921","0.371198324786611","0.460699877921232"
"6 on scale 1-7","2005","vocational + Abi","Female","217","0.325380560619125","0.289798081459246","0.360963039779003"
"6 on scale 1-7","2005","higher vocational","Male","303","0.329479191935625","0.298651395147141","0.360306988724109"
"6 on scale 1-7","2005","higher vocational","Female","241","0.349882556070649","0.313660922623151","0.386104189518147"
"6 on scale 1-7","2005","higher education","Male","865","0.348617242187721","0.32917184338175","0.368062640993692"
"6 on scale 1-7","2005","higher education","Female","652","0.365737119977251","0.343837105388288","0.387637134566214"
"7 Strongly agree","2005","in school","Male","82","0.314662220366932","0.262884432801436","0.366440007932427"
"7 Strongly agree","2005","in school","Female","117","0.373681161280576","0.322182423908642","0.425179898652511"
"7 Strongly agree","2005","inadequately","Male","51","0.454200852494961","0.357098935664659","0.551302769325263"
"7 Strongly agree","2005","inadequately","Female","58","0.489531930356972","0.404254142018979","0.574809718694965"
"7 Strongly agree","2005","general elemantary","Male","303","0.394901116809309","0.360529897547636","0.429272336070983"
"7 Strongly agree","2005","general elemantary","Female","673","0.408780099897367","0.384848266094091","0.432711933700644"
"7 Strongly agree","2005","middle vocational","Male","1942","0.405820507718688","0.392036147774455","0.41960486766292"
"7 Strongly agree","2005","middle vocational","Female","2099","0.399205169860702","0.386106653102049","0.412303686619356"
"7 Strongly agree","2005","vocational + Abi","Male","133","0.248185092865007","0.208965918642661","0.287404267087353"
"7 Strongly agree","2005","vocational + Abi","Female","240","0.363162630541164","0.326638841729854","0.399686419352475"
"7 Strongly agree","2005","higher vocational","Male","334","0.372677593783582","0.340964807355662","0.404390380211501"
"7 Strongly agree","2005","higher vocational","Female","231","0.330749276825863","0.295017480266189","0.366481073385537"
"7 Strongly agree","2005","higher education","Male","721","0.326058381378083","0.306929784437329","0.345186978318836"
"7 Strongly agree","2005","higher education","Female","655","0.363250663756741","0.341382480989734","0.385118846523747"
"1 Strongly disagree","2006","in school","Male","","","",""
