"plh0206i04","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","(0) in school","5","","",""
"1 Strongly disagree","2005","16-34 y.","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","16-34 y.","(1b) general elementary school","1","","",""
"1 Strongly disagree","2005","16-34 y.","(1c) basic vocational qualification","4","","",""
"1 Strongly disagree","2005","16-34 y.","(2b) intermediate general qualification","2","","",""
"1 Strongly disagree","2005","16-34 y.","(2a) intermediate vocational","2","","",""
"1 Strongly disagree","2005","16-34 y.","(2c_gen) general maturity certificate","3","","",""
"1 Strongly disagree","2005","16-34 y.","(2c_voc) vocational maturity certificate","1","","",""
"1 Strongly disagree","2005","16-34 y.","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","16-34 y.","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","35-65 y.","(0) in school","","","",""
"1 Strongly disagree","2005","35-65 y.","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","35-65 y.","(1b) general elementary school","2","","",""
"1 Strongly disagree","2005","35-65 y.","(1c) basic vocational qualification","25","","",""
"1 Strongly disagree","2005","35-65 y.","(2b) intermediate general qualification","2","","",""
"1 Strongly disagree","2005","35-65 y.","(2a) intermediate vocational","21","","",""
"1 Strongly disagree","2005","35-65 y.","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","35-65 y.","(2c_voc) vocational maturity certificate","5","","",""
"1 Strongly disagree","2005","35-65 y.","(3a) lower tertiary education","2","","",""
"1 Strongly disagree","2005","35-65 y.","(3b) higher tertiary education","3","","",""
"1 Strongly disagree","2005","66 and older","(0) in school","","","",""
"1 Strongly disagree","2005","66 and older","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","66 and older","(1b) general elementary school","15","","",""
"1 Strongly disagree","2005","66 and older","(1c) basic vocational qualification","30","0.0194544055329978","0.0129404498293887","0.0259683612366068"
"1 Strongly disagree","2005","66 and older","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","66 and older","(2a) intermediate vocational","6","","",""
"1 Strongly disagree","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"1 Strongly disagree","2005","66 and older","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","66 and older","(3b) higher tertiary education","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","(0) in school","3","","",""
"2 on scale 1-7 ","2005","16-34 y.","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","16-34 y.","(1b) general elementary school","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","(1c) basic vocational qualification","5","","",""
"2 on scale 1-7 ","2005","16-34 y.","(2b) intermediate general qualification","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","(2a) intermediate vocational","13","","",""
"2 on scale 1-7 ","2005","16-34 y.","(2c_gen) general maturity certificate","10","","",""
"2 on scale 1-7 ","2005","16-34 y.","(2c_voc) vocational maturity certificate","3","","",""
"2 on scale 1-7 ","2005","16-34 y.","(3a) lower tertiary education","2","","",""
"2 on scale 1-7 ","2005","16-34 y.","(3b) higher tertiary education","1","","",""
"2 on scale 1-7 ","2005","35-65 y.","(0) in school","","","",""
"2 on scale 1-7 ","2005","35-65 y.","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","35-65 y.","(1b) general elementary school","6","","",""
"2 on scale 1-7 ","2005","35-65 y.","(1c) basic vocational qualification","25","","",""
"2 on scale 1-7 ","2005","35-65 y.","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","35-65 y.","(2a) intermediate vocational","18","","",""
"2 on scale 1-7 ","2005","35-65 y.","(2c_gen) general maturity certificate","1","","",""
"2 on scale 1-7 ","2005","35-65 y.","(2c_voc) vocational maturity certificate","8","","",""
"2 on scale 1-7 ","2005","35-65 y.","(3a) lower tertiary education","15","","",""
"2 on scale 1-7 ","2005","35-65 y.","(3b) higher tertiary education","13","","",""
"2 on scale 1-7 ","2005","66 and older","(0) in school","","","",""
"2 on scale 1-7 ","2005","66 and older","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","66 and older","(1b) general elementary school","9","","",""
"2 on scale 1-7 ","2005","66 and older","(1c) basic vocational qualification","12","","",""
"2 on scale 1-7 ","2005","66 and older","(2b) intermediate general qualification","1","","",""
"2 on scale 1-7 ","2005","66 and older","(2a) intermediate vocational","5","","",""
"2 on scale 1-7 ","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"2 on scale 1-7 ","2005","66 and older","(3a) lower tertiary education","","","",""
"2 on scale 1-7 ","2005","66 and older","(3b) higher tertiary education","2","","",""
"3 on scale 1-7 ","2005","16-34 y.","(0) in school","27","","",""
"3 on scale 1-7 ","2005","16-34 y.","(1a) inadequately completed","1","","",""
"3 on scale 1-7 ","2005","16-34 y.","(1b) general elementary school","13","","",""
"3 on scale 1-7 ","2005","16-34 y.","(1c) basic vocational qualification","11","","",""
"3 on scale 1-7 ","2005","16-34 y.","(2b) intermediate general qualification","6","","",""
"3 on scale 1-7 ","2005","16-34 y.","(2a) intermediate vocational","19","","",""
"3 on scale 1-7 ","2005","16-34 y.","(2c_gen) general maturity certificate","19","","",""
"3 on scale 1-7 ","2005","16-34 y.","(2c_voc) vocational maturity certificate","13","","",""
"3 on scale 1-7 ","2005","16-34 y.","(3a) lower tertiary education","5","","",""
"3 on scale 1-7 ","2005","16-34 y.","(3b) higher tertiary education","8","","",""
"3 on scale 1-7 ","2005","35-65 y.","(0) in school","","","",""
"3 on scale 1-7 ","2005","35-65 y.","(1a) inadequately completed","3","","",""
"3 on scale 1-7 ","2005","35-65 y.","(1b) general elementary school","16","","",""
"3 on scale 1-7 ","2005","35-65 y.","(1c) basic vocational qualification","73","0.022799384589355","0.0177643750211469","0.0278343941575632"
"3 on scale 1-7 ","2005","35-65 y.","(2b) intermediate general qualification","3","","",""
"3 on scale 1-7 ","2005","35-65 y.","(2a) intermediate vocational","67","0.0213162766121955","0.0163459546184261","0.026286598605965"
"3 on scale 1-7 ","2005","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"3 on scale 1-7 ","2005","35-65 y.","(2c_voc) vocational maturity certificate","19","","",""
"3 on scale 1-7 ","2005","35-65 y.","(3a) lower tertiary education","21","","",""
"3 on scale 1-7 ","2005","35-65 y.","(3b) higher tertiary education","33","0.0269225714195402","0.0195007451249388","0.0343443977141415"
"3 on scale 1-7 ","2005","66 and older","(0) in school","","","",""
"3 on scale 1-7 ","2005","66 and older","(1a) inadequately completed","6","","",""
"3 on scale 1-7 ","2005","66 and older","(1b) general elementary school","18","","",""
"3 on scale 1-7 ","2005","66 and older","(1c) basic vocational qualification","38","0.0218353721827888","0.0149426908776693","0.0287280534879084"
"3 on scale 1-7 ","2005","66 and older","(2b) intermediate general qualification","1","","",""
"3 on scale 1-7 ","2005","66 and older","(2a) intermediate vocational","8","","",""
"3 on scale 1-7 ","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"3 on scale 1-7 ","2005","66 and older","(2c_voc) vocational maturity certificate","3","","",""
"3 on scale 1-7 ","2005","66 and older","(3a) lower tertiary education","6","","",""
"3 on scale 1-7 ","2005","66 and older","(3b) higher tertiary education","10","","",""
"4 on scale 1-7","2005","16-34 y.","(0) in school","80","0.119718967144185","0.0948007798387349","0.144637154449635"
"4 on scale 1-7","2005","16-34 y.","(1a) inadequately completed","6","","",""
"4 on scale 1-7","2005","16-34 y.","(1b) general elementary school","43","0.1267158768872","0.0948259701593506","0.158605783615049"
"4 on scale 1-7","2005","16-34 y.","(1c) basic vocational qualification","43","0.0807992905935453","0.0591191200202662","0.102479461166824"
"4 on scale 1-7","2005","16-34 y.","(2b) intermediate general qualification","48","0.114726560014692","0.0850497694941451","0.144403350535239"
