"plh0206i04","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","60","0.0130270062461734","0.0100794791792503","0.0159745333130964"
"1 Strongly disagree","2005","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2005","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2005","secondary school degree","East Germany","","","",""
"1 Strongly disagree","2005","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2005","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2005","Other degree","West Germany","","","",""
"1 Strongly disagree","2005","Other degree","East Germany","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","50","0.0115372545860574","0.00876128791627835","0.0143132212558364"
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","","","",""
"2 on scale 1-7 ","2005","secondary school degree","West Germany","","","",""
"2 on scale 1-7 ","2005","secondary school degree","East Germany","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","38","0.00942758894192193","0.00645614108908969","0.0123990367947542"
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","","","",""
"2 on scale 1-7 ","2005","Other degree","West Germany","","","",""
"2 on scale 1-7 ","2005","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","126","0.0229668492170134","0.0190729185372442","0.0268607798967826"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","32","0.02785014135982","0.0192031537507582","0.0364971289688817"
"3 on scale 1-7 ","2005","secondary school degree","West Germany","80","0.0184743087860752","0.0141900357962457","0.0227585817759046"
"3 on scale 1-7 ","2005","secondary school degree","East Germany","33","0.0166109360397439","0.0112967616284732","0.0219251104510146"
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","89","0.0208511646100606","0.0164576285612056","0.0252447006589156"
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","","","",""
"3 on scale 1-7 ","2005","Other degree","West Germany","","","",""
"3 on scale 1-7 ","2005","Other degree","East Germany","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","West Germany","30","0.0477618522062958","0.0322808991045441","0.0632428053080476"
"3 on scale 1-7 ","2005","no degree/no degree yet","East Germany","","","",""
"4 on scale 1-7","2005","lower secondary degree","West Germany","434","0.0819007942709764","0.0747727281582876","0.0890288603836652"
"4 on scale 1-7","2005","lower secondary degree","East Germany","115","0.097252966217188","0.0816818771398176","0.112824055294558"
"4 on scale 1-7","2005","secondary school degree","West Germany","337","0.0871779826567239","0.0782028957666973","0.0961530695467505"
"4 on scale 1-7","2005","secondary school degree","East Germany","175","0.0842136664155448","0.0726667923130961","0.0957605405179935"
"4 on scale 1-7","2005","college entrance qualification","West Germany","393","0.0962684636594179","0.0871988994640486","0.105338027854787"
"4 on scale 1-7","2005","college entrance qualification","East Germany","103","0.0861119045971261","0.0697046347689153","0.102519174425337"
"4 on scale 1-7","2005","Other degree","West Germany","86","0.0957001341144177","0.0780899780509796","0.113310290177856"
"4 on scale 1-7","2005","Other degree","East Germany","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","West Germany","82","0.0935336223539423","0.0723965879714393","0.114670656736445"
"4 on scale 1-7","2005","no degree/no degree yet","East Germany","","","",""
"5 on scale 1-7","2005","lower secondary degree","West Germany","894","0.155777431105186","0.146350646054628","0.165204216155743"
"5 on scale 1-7","2005","lower secondary degree","East Germany","225","0.148870225843209","0.130163992767936","0.167576458918483"
"5 on scale 1-7","2005","secondary school degree","West Germany","649","0.171428124332843","0.159437319575971","0.183418929089715"
"5 on scale 1-7","2005","secondary school degree","East Germany","362","0.159458575683806","0.144236300637591","0.174680850730022"
"5 on scale 1-7","2005","college entrance qualification","West Germany","832","0.207746403141109","0.195271891682379","0.220220914599839"
"5 on scale 1-7","2005","college entrance qualification","East Germany","196","0.172219952181984","0.150136985246553","0.194302919117416"
"5 on scale 1-7","2005","Other degree","West Germany","162","0.142380092350976","0.121461967041959","0.163298217659992"
"5 on scale 1-7","2005","Other degree","East Germany","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","West Germany","130","0.170745789133519","0.143430665493909","0.198060912773128"
