"plh0206i04","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Urban Area","52","0.0116893226530508","0.00876822496507398","0.0146104203410277","1"
"1 Strongly disagree","2005","Not Employed","Rural Area","28","","","","1"
"1 Strongly disagree","2005","Employed","Urban Area","43","0.00505434123640295","0.00355914550395985","0.00654953696884605","1"
"1 Strongly disagree","2005","Employed","Rural Area","13","","","","1"
"2 on scale 1-7 ","2005","Not Employed","Rural Area","29","","","","2"
"2 on scale 1-7 ","2005","Employed","Urban Area","74","0.00965381883428161","0.00759219618720662","0.0117154414813566","2"
"2 on scale 1-7 ","2005","Employed","Rural Area","21","","","","2"
"2 on scale 1-7 ","2005","Not Employed","Urban Area","43","0.0109285066986572","0.00810298323564337","0.013754030161671","2"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","61","0.0231985113043887","0.0174693038848605","0.0289277187239169","3"
"3 on scale 1-7 ","2005","Employed","Urban Area","203","0.0243586785064708","0.0211082692725258","0.0276090877404157","3"
"3 on scale 1-7 ","2005","Employed","Rural Area","73","0.017341520308086","0.0133879484017276","0.0212950922144443","3"
"3 on scale 1-7 ","2005","Not Employed","Urban Area","123","0.0229449475473318","0.0188757599120261","0.0270141351826376","3"
"4 on scale 1-7","2005","Employed","Rural Area","331","0.0826708746973132","0.0743305374464322","0.0910112119481943","4"
"4 on scale 1-7","2005","Not Employed","Rural Area","253","0.0977300770818688","0.0864283792386006","0.109031774925137","4"
"4 on scale 1-7","2005","Employed","Urban Area","740","0.0858043900107967","0.0798991111842523","0.0917096688373412","4"
"4 on scale 1-7","2005","Not Employed","Urban Area","477","0.092387360604262","0.0845176056119522","0.100257115596572","4"
"5 on scale 1-7","2005","Employed","Urban Area","1507","0.172946071340305","0.164971848765524","0.180920293915085","5"
"5 on scale 1-7","2005","Not Employed","Rural Area","421","0.146567456490013","0.133106847571079","0.160028065408948","5"
"5 on scale 1-7","2005","Not Employed","Urban Area","901","0.168152784220542","0.157988460715229","0.178317107725856","5"
"5 on scale 1-7","2005","Employed","Rural Area","726","0.173767716814921","0.16229198522123","0.185243448408611","5"
"6 on scale 1-7","2005","Employed","Urban Area","2920","0.332367888917156","0.322435717047193","0.34230006078712","6"
"6 on scale 1-7","2005","Employed","Rural Area","1462","0.325960507876018","0.311764379476064","0.340156636275971","6"
"6 on scale 1-7","2005","Not Employed","Rural Area","866","0.325500751802737","0.307667601739168","0.343333901866306","6"
"6 on scale 1-7","2005","Not Employed","Urban Area","1560","0.291721517192967","0.279367991577654","0.304075042808279","6"
"7 Strongly agree","2005","Employed","Rural Area","1562","0.392375704560265","0.377587570667904","0.407163838452625","7"
"7 Strongly agree","2005","Not Employed","Rural Area","994","0.378409230012658","0.359950812285652","0.396867647739664","7"
"7 Strongly agree","2005","Employed","Urban Area","3154","0.369814811154587","0.359636110679556","0.379993511629617","7"
"7 Strongly agree","2005","Not Employed","Urban Area","2045","0.402175561083189","0.388849575632093","0.415501546534285","7"
"1 Strongly disagree","2006","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2006","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2006","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2006","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Employed","Urban Area","","","","","3"
"4 on scale 1-7","2006","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2006","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2006","Employed","Rural Area","","","","","4"
"4 on scale 1-7","2006","Not Employed","Urban Area","","","","","4"
"5 on scale 1-7","2006","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2006","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2006","Employed","Rural Area","","","","","5"
"5 on scale 1-7","2006","Not Employed","Urban Area","","","","","5"
"6 on scale 1-7","2006","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2006","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2006","Employed","Rural Area","","","","","6"
"6 on scale 1-7","2006","Not Employed","Urban Area","","","","","6"
"7 Strongly agree","2006","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2006","Employed","Urban Area","","","","","7"
"7 Strongly agree","2006","Employed","Rural Area","","","","","7"
"7 Strongly agree","2006","Not Employed","Urban Area","","","","","7"
"1 Strongly disagree","2007","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2007","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2007","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2007","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Employed","Rural Area","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2007","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2007","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2007","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2007","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2007","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2007","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2007","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2007","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2007","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2007","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2007","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2007","Employed","Rural Area","","","","","6"
"7 Strongly agree","2007","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2007","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2007","Employed","Urban Area","","","","","7"
"7 Strongly agree","2007","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2008","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2008","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2008","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2008","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Employed","Rural Area","","","","","2"
