"plh0206i04","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","Male","18","","","","1"
"1 Strongly disagree","2005","Full Time","Female","17","","","","1"
"1 Strongly disagree","2005","Part Time","Male","3","","","","1"
"1 Strongly disagree","2005","Part Time","Female","18","","","","1"
"1 Strongly disagree","2005","Not Working","Male","27","","","","1"
"1 Strongly disagree","2005","Not Working","Female","53","0.0143652618292277","0.01096342141832","0.0177671022401353","1"
"2 on scale 1-7 ","2005","Part Time","Male","6","","","","2"
"2 on scale 1-7 ","2005","Full Time","Male","44","0.00868466141688957","0.00619743127222553","0.0111718915615536","2"
"2 on scale 1-7 ","2005","Not Working","Female","55","0.0154286289419319","0.0119050303241864","0.0189522275596774","2"
"2 on scale 1-7 ","2005","Full Time","Female","22","","","","2"
"2 on scale 1-7 ","2005","Part Time","Female","23","","","","2"
"2 on scale 1-7 ","2005","Not Working","Male","17","","","","2"
"3 on scale 1-7 ","2005","Not Working","Male","84","0.0239055385302834","0.0185736471226048","0.029237429937962","3"
"3 on scale 1-7 ","2005","Full Time","Male","105","0.0185443003912929","0.0149279192872499","0.0221606814953358","3"
"3 on scale 1-7 ","2005","Part Time","Female","89","0.0288120378204299","0.0232098658463831","0.0344142097944767","3"
"3 on scale 1-7 ","2005","Part Time","Male","20","","","","3"
"3 on scale 1-7 ","2005","Full Time","Female","62","0.024034288691824","0.0182271422130259","0.029841435170622","3"
"3 on scale 1-7 ","2005","Not Working","Female","100","0.022448416703991","0.0182133343342596","0.0266834990737225","3"
"4 on scale 1-7","2005","Not Working","Female","434","0.0965207783604643","0.0880783253068603","0.104963231414068","4"
"4 on scale 1-7","2005","Full Time","Female","214","0.0768236368171327","0.0667260026191702","0.0869212710150951","4"
"4 on scale 1-7","2005","Part Time","Male","124","0.0992155094557337","0.0834768872974331","0.114954131614034","4"
"4 on scale 1-7","2005","Not Working","Male","296","0.0902709275097443","0.0802682539679874","0.100273601051501","4"
"4 on scale 1-7","2005","Full Time","Male","424","0.0871720168683901","0.0796103657920922","0.0947336679446881","4"
"4 on scale 1-7","2005","Part Time","Female","309","0.0802857773788795","0.0711853128173247","0.0893862419404344","4"
"5 on scale 1-7","2005","Not Working","Female","776","0.158235096942454","0.147801213573241","0.168668980311667","5"
"5 on scale 1-7","2005","Part Time","Female","591","0.173391329775971","0.160712432889186","0.186070226662755","5"
"5 on scale 1-7","2005","Not Working","Male","546","0.166315384721569","0.153318082678117","0.179312686765022","5"
"5 on scale 1-7","2005","Full Time","Male","965","0.178899508001209","0.168625584135499","0.189173431866918","5"
"5 on scale 1-7","2005","Full Time","Female","444","0.171508436474393","0.157215658308471","0.185801214640315","5"
"5 on scale 1-7","2005","Part Time","Male","233","0.15587569860354","0.136778974049821","0.17497242315726","5"
"6 on scale 1-7","2005","Not Working","Female","1427","0.294284623976628","0.281256024368429","0.307313223584826","6"
"6 on scale 1-7","2005","Part Time","Male","479","0.347060204680527","0.321998797392012","0.372121611969042","6"
"6 on scale 1-7","2005","Not Working","Male","999","0.314443977443038","0.298237851060406","0.33065010382567","6"
"6 on scale 1-7","2005","Full Time","Male","1871","0.331637799094081","0.319017444245844","0.344258153942319","6"
"6 on scale 1-7","2005","Part Time","Female","1126","0.317152306525258","0.301567060454971","0.332737552595546","6"
"6 on scale 1-7","2005","Full Time","Female","906","0.334301942495899","0.31641492387845","0.352188961113347","6"
"7 Strongly agree","2005","Not Working","Female","1855","0.398717193245303","0.384719030557175","0.412715355933432","7"
"7 Strongly agree","2005","Not Working","Male","1184","0.388723592007555","0.371708849833885","0.405738334181226","7"
"7 Strongly agree","2005","Part Time","Male","521","0.373664157622998","0.34819522002674","0.399133095219256","7"
"7 Strongly agree","2005","Part Time","Female","1269","0.387946291426756","0.371627109939405","0.404265472914108","7"
"7 Strongly agree","2005","Full Time","Male","1919","0.370945174046873","0.357996278556389","0.383894069537357","7"
"7 Strongly agree","2005","Full Time","Female","1007","0.37710209385428","0.358725383444537","0.395478804264023","7"
"1 Strongly disagree","2006","Full Time","Female","","","","","1"
"1 Strongly disagree","2006","Part Time","Male","","","","","1"
"1 Strongly disagree","2006","Part Time","Female","","","","","1"
"1 Strongly disagree","2006","Not Working","Male","","","","","1"
"1 Strongly disagree","2006","Not Working","Female","","","","","1"
"1 Strongly disagree","2006","Full Time","Male","","","","","1"
"2 on scale 1-7 ","2006","Full Time","Male","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Male","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Female","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Female","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Female","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Male","","","","","2"
"3 on scale 1-7 ","2006","Not Working","Female","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Male","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Female","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Male","","","","","3"
