"plh0206i04","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","lower secondary degree","12","","",""
"1 Strongly disagree","2005","Full Time","secondary school degree","15","","",""
"1 Strongly disagree","2005","Full Time","college entrance qualification","5","","",""
"1 Strongly disagree","2005","Full Time","Other degree","3","","",""
"1 Strongly disagree","2005","Full Time","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Part Time","lower secondary degree","7","","",""
"1 Strongly disagree","2005","Part Time","secondary school degree","8","","",""
"1 Strongly disagree","2005","Part Time","college entrance qualification","4","","",""
"1 Strongly disagree","2005","Part Time","Other degree","1","","",""
"1 Strongly disagree","2005","Part Time","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Not Working","lower secondary degree","52","0.0168410823159593","0.0127297948655455","0.0209523697663731"
"1 Strongly disagree","2005","Not Working","secondary school degree","15","","",""
"1 Strongly disagree","2005","Not Working","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Not Working","Other degree","5","","",""
"1 Strongly disagree","2005","Not Working","no degree/no degree yet","6","","",""
"2 on scale 1-7 ","2005","Full Time","lower secondary degree","19","","",""
"2 on scale 1-7 ","2005","Full Time","secondary school degree","22","","",""
"2 on scale 1-7 ","2005","Full Time","college entrance qualification","22","","",""
"2 on scale 1-7 ","2005","Full Time","Other degree","1","","",""
"2 on scale 1-7 ","2005","Full Time","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Part Time","lower secondary degree","5","","",""
"2 on scale 1-7 ","2005","Part Time","secondary school degree","11","","",""
"2 on scale 1-7 ","2005","Part Time","college entrance qualification","11","","",""
"2 on scale 1-7 ","2005","Part Time","Other degree","1","","",""
"2 on scale 1-7 ","2005","Part Time","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","Not Working","lower secondary degree","38","0.0140158099565366","0.0102598145060022","0.0177718054070709"
"2 on scale 1-7 ","2005","Not Working","secondary school degree","14","","",""
"2 on scale 1-7 ","2005","Not Working","college entrance qualification","12","","",""
"2 on scale 1-7 ","2005","Not Working","Other degree","2","","",""
"2 on scale 1-7 ","2005","Not Working","no degree/no degree yet","3","","",""
"3 on scale 1-7 ","2005","Full Time","lower secondary degree","44","0.0230310207811324","0.0164602996573931","0.0296017419048716"
"3 on scale 1-7 ","2005","Full Time","secondary school degree","51","0.0169693174271298","0.0122547538866487","0.0216838809676109"
"3 on scale 1-7 ","2005","Full Time","college entrance qualification","55","0.0191621291757703","0.0138597463994353","0.0244645119521054"
"3 on scale 1-7 ","2005","Full Time","Other degree","10","","",""
"3 on scale 1-7 ","2005","Full Time","no degree/no degree yet","2","","",""
"3 on scale 1-7 ","2005","Part Time","lower secondary degree","29","","",""
"3 on scale 1-7 ","2005","Part Time","secondary school degree","36","0.0178375840262423","0.0113762046102265","0.0242989634422581"
"3 on scale 1-7 ","2005","Part Time","college entrance qualification","33","0.0322930215938697","0.0229594092296257","0.0416266339581137"
"3 on scale 1-7 ","2005","Part Time","Other degree","6","","",""
"3 on scale 1-7 ","2005","Part Time","no degree/no degree yet","3","","",""
"3 on scale 1-7 ","2005","Not Working","lower secondary degree","85","0.0225884728192457","0.017840992806006","0.0273359528324853"
"3 on scale 1-7 ","2005","Not Working","secondary school degree","26","","",""
"3 on scale 1-7 ","2005","Not Working","college entrance qualification","27","","",""
"3 on scale 1-7 ","2005","Not Working","Other degree","10","","",""
"3 on scale 1-7 ","2005","Not Working","no degree/no degree yet","32","0.0511369671485849","0.0348653390859801","0.0674085952111897"
"4 on scale 1-7","2005","Full Time","lower secondary degree","147","0.0804151090192874","0.0685032156939987","0.092327002344576"
"4 on scale 1-7","2005","Full Time","secondary school degree","220","0.0823670503260836","0.0723315962846883","0.092402504367479"
"4 on scale 1-7","2005","Full Time","college entrance qualification","227","0.0884435515938305","0.0774617029911715","0.0994254001964894"
"4 on scale 1-7","2005","Full Time","Other degree","26","","",""
"4 on scale 1-7","2005","Full Time","no degree/no degree yet","5","","",""
"4 on scale 1-7","2005","Part Time","lower secondary degree","93","0.0734592840356089","0.0593370844443821","0.0875814836268357"
"4 on scale 1-7","2005","Part Time","secondary school degree","146","0.0840555095813878","0.0705103775621154","0.0976006416006603"
