"plh0206i04","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","","","",""
"1 Strongly disagree","2005","35-65 y.","62","0.00657291638451151","0.00510165139857184","0.00804418137045118"
"1 Strongly disagree","2005","66 and older","56","0.0165056858561582","0.0124424005942721","0.0205689711180444"
"2 on scale 1-7 ","2005","16-34 y.","49","0.0113230314382611","0.00847907247108462","0.0141669904054375"
"2 on scale 1-7 ","2005","35-65 y.","86","0.00848656730234166","0.00681640307000717","0.0101567315346762"
"2 on scale 1-7 ","2005","66 and older","32","0.00991675546271482","0.00675669599054532","0.0130768149348843"
"3 on scale 1-7 ","2005","16-34 y.","131","0.0230989206127411","0.0190612034048223","0.0271366378206599"
"3 on scale 1-7 ","2005","35-65 y.","239","0.0222998274297103","0.0196114054043151","0.0249882494551055"
"3 on scale 1-7 ","2005","66 and older","90","0.0223658616492726","0.0176500592954725","0.0270816640030727"
"4 on scale 1-7","2005","16-34 y.","499","0.0950467478196134","0.0871636581964338","0.102929837442793"
"4 on scale 1-7","2005","35-65 y.","972","0.0829110473306285","0.0778904455092009","0.0879316491520562"
"4 on scale 1-7","2005","66 and older","330","0.0945451931962666","0.0852142033953076","0.103876182997226"
"5 on scale 1-7","2005","16-34 y.","1022","0.196915613532585","0.186226654106457","0.207604572958713"
"5 on scale 1-7","2005","35-65 y.","1941","0.160991897696851","0.154300313682366","0.167683481711335"
"5 on scale 1-7","2005","66 and older","592","0.153341463253638","0.141850444166649","0.164832482340628"
"6 on scale 1-7","2005","16-34 y.","1781","0.328769693160974","0.31614280227382","0.341396584048129"
"6 on scale 1-7","2005","35-65 y.","3872","0.322886077475041","0.314372749220412","0.331399405729669"
"6 on scale 1-7","2005","66 and older","1155","0.298490026127873","0.283896627836236","0.313083424419509"
"7 Strongly agree","2005","16-34 y.","1817","0.34177426533513","0.329025390157339","0.354523140512921"
"7 Strongly agree","2005","35-65 y.","4416","0.395851666380917","0.386947733502027","0.404755599259806"
"7 Strongly agree","2005","66 and older","1522","0.404835014454077","0.389180762513986","0.420489266394167"
"1 Strongly disagree","2006","16-34 y.","","","",""
"1 Strongly disagree","2006","35-65 y.","","","",""
"1 Strongly disagree","2006","66 and older","","","",""
"2 on scale 1-7 ","2006","16-34 y.","","","",""
"2 on scale 1-7 ","2006","35-65 y.","","","",""
"2 on scale 1-7 ","2006","66 and older","","","",""
"3 on scale 1-7 ","2006","16-34 y.","","","",""
"3 on scale 1-7 ","2006","35-65 y.","","","",""
"3 on scale 1-7 ","2006","66 and older","","","",""
"4 on scale 1-7","2006","16-34 y.","","","",""
"4 on scale 1-7","2006","35-65 y.","","","",""
"4 on scale 1-7","2006","66 and older","","","",""
"5 on scale 1-7","2006","16-34 y.","","","",""
"5 on scale 1-7","2006","35-65 y.","","","",""
"5 on scale 1-7","2006","66 and older","","","",""
"6 on scale 1-7","2006","16-34 y.","","","",""
"6 on scale 1-7","2006","35-65 y.","","","",""
"6 on scale 1-7","2006","66 and older","","","",""
"7 Strongly agree","2006","16-34 y.","","","",""
"7 Strongly agree","2006","35-65 y.","","","",""
"7 Strongly agree","2006","66 and older","","","",""
"1 Strongly disagree","2007","16-34 y.","","","",""
"1 Strongly disagree","2007","35-65 y.","","","",""
"1 Strongly disagree","2007","66 and older","","","",""
"2 on scale 1-7 ","2007","16-34 y.","","","",""
"2 on scale 1-7 ","2007","35-65 y.","","","",""
"2 on scale 1-7 ","2007","66 and older","","","",""
"3 on scale 1-7 ","2007","16-34 y.","","","",""
"3 on scale 1-7 ","2007","35-65 y.","","","",""
"3 on scale 1-7 ","2007","66 and older","","","",""
