"plh0206i04","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","Male","","","",""
"1 Strongly disagree","2005","(0) in school","Female","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Male","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Female","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","Male","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","Female","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","Male","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","Female","32","0.0145704002306062","0.00999263315906831","0.0191481673021441"
"1 Strongly disagree","2005","(2b) intermediate general qualification","Male","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","Female","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","Male","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","Female","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Male","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Female","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","Male","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","Female","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","Male","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","Female","","","",""
"2 on scale 1-7 ","2005","(0) in school","Male","","","",""
"2 on scale 1-7 ","2005","(0) in school","Female","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Male","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Female","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Male","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Female","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Male","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Female","","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Female","","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","Male","","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","Female","","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","Male","","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","Female","","","",""
"3 on scale 1-7 ","2005","(0) in school","Male","","","",""
"3 on scale 1-7 ","2005","(0) in school","Female","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","Male","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","Female","","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","Male","","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","Female","31","0.0338305354472805","0.0239378123652681","0.0437232585292929"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","65","0.0206381847119754","0.0156156711932562","0.0256606982306945"
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","57","0.0228662572825982","0.0171556841622752","0.0285768304029211"
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","Male","30","0.0135488519092989","0.00855773049823184","0.0185399733203659"
"3 on scale 1-7 ","2005","(2a) intermediate vocational","Female","64","0.022319686754268","0.0167834850026272","0.0278558885059088"
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","","","",""
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Female","","","",""
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"3 on scale 1-7 ","2005","(3a) lower tertiary education","Male","","","",""
"3 on scale 1-7 ","2005","(3a) lower tertiary education","Female","","","",""
"3 on scale 1-7 ","2005","(3b) higher tertiary education","Male","","","",""
"3 on scale 1-7 ","2005","(3b) higher tertiary education","Female","","","",""
"4 on scale 1-7","2005","(0) in school","Male","43","0.135312716286575","0.097357660314338","0.173267772258812"
"4 on scale 1-7","2005","(0) in school","Female","37","0.104827892074312","0.0722666974720917","0.137389086676532"
"4 on scale 1-7","2005","(1a) inadequately completed","Male","","","",""
"4 on scale 1-7","2005","(1a) inadequately completed","Female","","","",""
"4 on scale 1-7","2005","(1b) general elementary school","Male","54","0.107098581974723","0.0817785414346799","0.132418622514767"
"4 on scale 1-7","2005","(1b) general elementary school","Female","113","0.0970436129497853","0.0808459771956762","0.113241248703894"
"4 on scale 1-7","2005","(1c) basic vocational qualification","Male","231","0.0825790008428201","0.0728552698960847","0.0923027317895556"
"4 on scale 1-7","2005","(1c) basic vocational qualification","Female","198","0.0792542499722653","0.0689340933062629","0.0895744066382677"
"4 on scale 1-7","2005","(2b) intermediate general qualification","Male","","","",""
"4 on scale 1-7","2005","(2b) intermediate general qualification","Female","35","0.108091892961797","0.0757471967136453","0.140436589209949"
"4 on scale 1-7","2005","(2a) intermediate vocational","Male","159","0.0780577649448892","0.0664761530754993","0.0896393768142791"
"4 on scale 1-7","2005","(2a) intermediate vocational","Female","250","0.0920098971342792","0.0811774331036348","0.102842361164924"
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","Male","30","0.0862476964674411","0.0574083513707623","0.11508704156412"
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","Female","42","0.0753435772243574","0.0504250271072","0.100262127341515"
"4 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Male","60","0.0928763491969163","0.0708815072726075","0.114871191121225"
"4 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Female","81","0.0987771347214173","0.0786600961055478","0.118894173337287"
"4 on scale 1-7","2005","(3a) lower tertiary education","Male","77","0.0978150272089524","0.0781655311095988","0.117464523308306"
"4 on scale 1-7","2005","(3a) lower tertiary education","Female","61","0.0781676183132139","0.0591580118628261","0.0971772247636017"
"4 on scale 1-7","2005","(3b) higher tertiary education","Male","126","0.102395854419819","0.0866771919413674","0.11811451689827"
"4 on scale 1-7","2005","(3b) higher tertiary education","Female","107","0.0785488602565158","0.062592167916407","0.0945055525966246"
"5 on scale 1-7","2005","(0) in school","Male","62","0.194883318213058","0.150930417765177","0.23883621866094"
"5 on scale 1-7","2005","(0) in school","Female","58","0.172224607852617","0.132090603760329","0.212358611944905"
"5 on scale 1-7","2005","(1a) inadequately completed","Male","","","",""
"5 on scale 1-7","2005","(1a) inadequately completed","Female","","","",""
"5 on scale 1-7","2005","(1b) general elementary school","Male","97","0.145840177996529","0.116941435681699","0.174738920311358"
"5 on scale 1-7","2005","(1b) general elementary school","Female","221","0.166746608444578","0.14635028865772","0.187142928231435"
"5 on scale 1-7","2005","(1c) basic vocational qualification","Male","488","0.158615796490013","0.14571001883927","0.171521574140756"
"5 on scale 1-7","2005","(1c) basic vocational qualification","Female","386","0.14182676163079","0.128498554743267","0.155154968518313"
"5 on scale 1-7","2005","(2b) intermediate general qualification","Male","40","0.203326543741437","0.150737648816682","0.255915438666192"
"5 on scale 1-7","2005","(2b) intermediate general qualification","Female","64","0.153284589960335","0.115755810499323","0.190813369421347"
"5 on scale 1-7","2005","(2a) intermediate vocational","Male","331","0.147394741696776","0.132090067329388","0.162699416064165"
"5 on scale 1-7","2005","(2a) intermediate vocational","Female","461","0.178389582041689","0.164041721776793","0.192737442306586"
"5 on scale 1-7","2005","(2c_gen) general maturity certificate","Male","101","0.298714361999251","0.251695412325164","0.345733311673339"
"5 on scale 1-7","2005","(2c_gen) general maturity certificate","Female","96","0.282165610735743","0.239676892749817","0.324654328721669"
"5 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Male","123","0.184083076022791","0.154715714183559","0.213450437862022"
"5 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Female","143","0.167535232492624","0.142355231446137","0.192715233539111"
"5 on scale 1-7","2005","(3a) lower tertiary education","Male","158","0.181870758825484","0.156355896450974","0.207385621199994"
"5 on scale 1-7","2005","(3a) lower tertiary education","Female","125","0.142945049704613","0.118158127708138","0.167731971701089"
"5 on scale 1-7","2005","(3b) higher tertiary education","Male","295","0.213757877094291","0.192502383520147","0.235013370668435"
"5 on scale 1-7","2005","(3b) higher tertiary education","Female","200","0.171641581229555","0.149277185391794","0.194005977067316"
"6 on scale 1-7","2005","(0) in school","Male","106","0.308533460731583","0.257281850603718","0.359785070859447"
"6 on scale 1-7","2005","(0) in school","Female","110","0.302493567173633","0.253668728965052","0.351318405382215"
"6 on scale 1-7","2005","(1a) inadequately completed","Male","","","",""
"6 on scale 1-7","2005","(1a) inadequately completed","Female","30","0.274391513959873","0.19967367163622","0.349109356283525"
"6 on scale 1-7","2005","(1b) general elementary school","Male","156","0.288927798467993","0.251815120377468","0.326040476558518"
"6 on scale 1-7","2005","(1b) general elementary school","Female","353","0.268347238853153","0.244101476935236","0.29259300077107"
"6 on scale 1-7","2005","(1c) basic vocational qualification","Male","960","0.297427332561272","0.281278175941952","0.313576489180591"
"6 on scale 1-7","2005","(1c) basic vocational qualification","Female","831","0.298441702802532","0.280960682152559","0.315922723452506"
"6 on scale 1-7","2005","(2b) intermediate general qualification","Male","79","0.322460085254252","0.261385256664639","0.383534913843864"
"6 on scale 1-7","2005","(2b) intermediate general qualification","Female","100","0.279903391249105","0.23313570085189","0.326671081646321"
"6 on scale 1-7","2005","(2a) intermediate vocational","Male","734","0.365862058789039","0.345067024000391","0.386657093577686"
"6 on scale 1-7","2005","(2a) intermediate vocational","Female","892","0.326657561353665","0.309081005554533","0.344234117152798"
"6 on scale 1-7","2005","(2c_gen) general maturity certificate","Male","124","0.317327653422206","0.269513385053992","0.36514192179042"
"6 on scale 1-7","2005","(2c_gen) general maturity certificate","Female","156","0.290492863872228","0.247632527612638","0.333353200131817"
"6 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Male","251","0.405467288993137","0.368262330789918","0.442672247196356"
"6 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Female","280","0.324010540440791","0.292455461722178","0.355565619159404"
"6 on scale 1-7","2005","(3a) lower tertiary education","Male","340","0.363287449133204","0.331474953834899","0.39509994443151"
"6 on scale 1-7","2005","(3a) lower tertiary education","Female","278","0.373049958272983","0.338802079947213","0.407297836598754"
"6 on scale 1-7","2005","(3b) higher tertiary education","Male","525","0.33801693737967","0.313491054683193","0.362542820076148"
