"plh0206i04","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","7","","",""
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","11","","",""
"1 Strongly disagree","2005","Full Time","Single parent ","3","","",""
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","4","","",""
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","8","","",""
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","Part Time","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","8","","",""
"1 Strongly disagree","2005","Part Time","Single parent ","2","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","3","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","2","","",""
"1 Strongly disagree","2005","Not Working","1-pers.-HH","20","","",""
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","34","0.0119648706414701","0.0083555572199296","0.0155741840630105"
"1 Strongly disagree","2005","Not Working","Single parent ","6","","",""
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","5","","",""
"2 on scale 1-7 ","2005","Full Time","1-pers.-HH","12","","",""
"2 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","17","","",""
"2 on scale 1-7 ","2005","Full Time","Single parent ","2","","",""
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","20","","",""
"2 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","8","","",""
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","4","","",""
"2 on scale 1-7 ","2005","Part Time","1-pers.-HH","2","","",""
"2 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","10","","",""
"2 on scale 1-7 ","2005","Part Time","Single parent ","1","","",""
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","10","","",""
"2 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","5","","",""
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","1","","",""
"2 on scale 1-7 ","2005","Not Working","1-pers.-HH","18","","",""
"2 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","20","","",""
"2 on scale 1-7 ","2005","Not Working","Single parent ","5","","",""
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","6","","",""
"2 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","10","","",""
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","9","","",""
"3 on scale 1-7 ","2005","Full Time","1-pers.-HH","18","","",""
"3 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","51","0.0224862223987696","0.016498352856623","0.0284740919409163"
"3 on scale 1-7 ","2005","Full Time","Single parent ","10","","",""
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","36","0.0171979892702457","0.0112479438584708","0.0231480346820207"
"3 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","30","0.0222687760453518","0.0149999286749868","0.0295376234157168"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","17","","",""
"3 on scale 1-7 ","2005","Part Time","1-pers.-HH","18","","",""
