"plh0206i04","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","110","0.00835487119073199","0.0069283516094855","0.00978139077197848"
"1 Strongly disagree","2005","East Germany","26","","",""
"2 on scale 1-7 ","2005","West Germany","128","0.00953936341899213","0.00801598421042586","0.0110627426275584"
"2 on scale 1-7 ","2005","East Germany","39","0.00944162680408905","0.00677224852553839","0.0121110050826397"
"3 on scale 1-7 ","2005","West Germany","359","0.0227528167735127","0.0204158662651099","0.0250897672819155"
"3 on scale 1-7 ","2005","East Germany","101","0.0214860246237117","0.017483737687897","0.0254883115595263"
"4 on scale 1-7","2005","West Germany","1356","0.0875758668222688","0.0831456975468911","0.0920060360976465"
"4 on scale 1-7","2005","East Germany","445","0.0927921564751986","0.0847835730784377","0.10080073987196"
"5 on scale 1-7","2005","West Germany","2728","0.171400524163286","0.165494324607169","0.177306723719404"
"5 on scale 1-7","2005","East Germany","827","0.155557545433899","0.145553463477493","0.165561627390305"
"6 on scale 1-7","2005","West Germany","5096","0.316822416959053","0.309531125283335","0.324113708634772"
"6 on scale 1-7","2005","East Germany","1712","0.328795800577656","0.315828871548101","0.341762729607212"
"7 Strongly agree","2005","West Germany","5863","0.383554140672155","0.375933516844813","0.391174764499496"
"7 Strongly agree","2005","East Germany","1892","0.386262980947674","0.372823596608659","0.399702365286689"
"1 Strongly disagree","2006","West Germany","","","",""
"1 Strongly disagree","2006","East Germany","","","",""
"2 on scale 1-7 ","2006","West Germany","","","",""
"2 on scale 1-7 ","2006","East Germany","","","",""
"3 on scale 1-7 ","2006","West Germany","","","",""
"3 on scale 1-7 ","2006","East Germany","","","",""
"4 on scale 1-7","2006","West Germany","","","",""
"4 on scale 1-7","2006","East Germany","","","",""
"5 on scale 1-7","2006","West Germany","","","",""
"5 on scale 1-7","2006","East Germany","","","",""
"6 on scale 1-7","2006","West Germany","","","",""
"6 on scale 1-7","2006","East Germany","","","",""
"7 Strongly agree","2006","West Germany","","","",""
"7 Strongly agree","2006","East Germany","","","",""
"1 Strongly disagree","2007","West Germany","","","",""
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","","","",""
"1 Strongly disagree","2009","East Germany","","","",""
"2 on scale 1-7 ","2009","West Germany","","","",""
"2 on scale 1-7 ","2009","East Germany","","","",""
"3 on scale 1-7 ","2009","West Germany","","","",""
"3 on scale 1-7 ","2009","East Germany","","","",""
"4 on scale 1-7","2009","West Germany","","","",""
"4 on scale 1-7","2009","East Germany","","","",""
"5 on scale 1-7","2009","West Germany","","","",""
"5 on scale 1-7","2009","East Germany","","","",""
"6 on scale 1-7","2009","West Germany","","","",""
"6 on scale 1-7","2009","East Germany","","","",""
"7 Strongly agree","2009","West Germany","","","",""
"7 Strongly agree","2009","East Germany","","","",""
"1 Strongly disagree","2010","West Germany","89","0.00825362238530293","0.00666960294579914","0.00983764182480671"
"1 Strongly disagree","2010","East Germany","26","","",""
"2 on scale 1-7 ","2010","West Germany","123","0.0122492282723915","0.0103234071275869","0.014175049417196"
"2 on scale 1-7 ","2010","East Germany","37","0.00803910397371658","0.00531496446042048","0.0107632434870127"
"3 on scale 1-7 ","2010","West Germany","308","0.0270061469838563","0.0241680694246564","0.0298442245430561"
"3 on scale 1-7 ","2010","East Germany","79","0.0164261988605873","0.0125487126598525","0.0203036850613221"
"4 on scale 1-7","2010","West Germany","1093","0.0931118229606046","0.0880241734773815","0.0981994724438277"
"4 on scale 1-7","2010","East Germany","397","0.10206949078934","0.092834263577218","0.111304718001463"
"5 on scale 1-7","2010","West Germany","2349","0.179231106782241","0.172515967338251","0.185946246226231"
"5 on scale 1-7","2010","East Germany","735","0.171108092934876","0.159619615597326","0.182596570272426"
"6 on scale 1-7","2010","West Germany","4162","0.317723868637738","0.309572267748667","0.32587546952681"
"6 on scale 1-7","2010","East Germany","1441","0.334573668216347","0.320179912860727","0.348967423571968"
"7 Strongly agree","2010","West Germany","4408","0.362424203977865","0.354008074550328","0.370840333405403"
"7 Strongly agree","2010","East Germany","1413","0.359985194809508","0.345342683206607","0.374627706412409"
"1 Strongly disagree","2011","West Germany","","","",""
"1 Strongly disagree","2011","East Germany","","","",""
"2 on scale 1-7 ","2011","West Germany","","","",""
"2 on scale 1-7 ","2011","East Germany","","","",""
"3 on scale 1-7 ","2011","West Germany","","","",""
"3 on scale 1-7 ","2011","East Germany","","","",""
"4 on scale 1-7","2011","West Germany","","","",""
"4 on scale 1-7","2011","East Germany","","","",""
"5 on scale 1-7","2011","West Germany","","","",""
"5 on scale 1-7","2011","East Germany","","","",""
"6 on scale 1-7","2011","West Germany","","","",""
"6 on scale 1-7","2011","East Germany","","","",""
"7 Strongly agree","2011","West Germany","","","",""
"7 Strongly agree","2011","East Germany","","","",""
"1 Strongly disagree","2012","West Germany","","","",""
"1 Strongly disagree","2012","East Germany","","","",""
"2 on scale 1-7 ","2012","West Germany","","","",""
"2 on scale 1-7 ","2012","East Germany","","","",""
"3 on scale 1-7 ","2012","West Germany","","","",""
"3 on scale 1-7 ","2012","East Germany","","","",""
"4 on scale 1-7","2012","West Germany","","","",""
"4 on scale 1-7","2012","East Germany","","","",""
"5 on scale 1-7","2012","West Germany","","","",""
"5 on scale 1-7","2012","East Germany","","","",""
"6 on scale 1-7","2012","West Germany","","","",""
"6 on scale 1-7","2012","East Germany","","","",""
"7 Strongly agree","2012","West Germany","","","",""
"7 Strongly agree","2012","East Germany","","","",""
"1 Strongly disagree","2013","West Germany","","","",""
"1 Strongly disagree","2013","East Germany","","","",""
"2 on scale 1-7 ","2013","West Germany","","","",""
"2 on scale 1-7 ","2013","East Germany","","","",""
"3 on scale 1-7 ","2013","West Germany","","","",""
"3 on scale 1-7 ","2013","East Germany","","","",""
"4 on scale 1-7","2013","West Germany","","","",""
"4 on scale 1-7","2013","East Germany","","","",""
"5 on scale 1-7","2013","West Germany","","","",""
"5 on scale 1-7","2013","East Germany","","","",""
"6 on scale 1-7","2013","West Germany","","","",""
"6 on scale 1-7","2013","East Germany","","","",""
"7 Strongly agree","2013","West Germany","","","",""
"7 Strongly agree","2013","East Germany","","","",""
"1 Strongly disagree","2014","West Germany","","","",""
"1 Strongly disagree","2014","East Germany","","","",""
"2 on scale 1-7 ","2014","West Germany","","","",""
"2 on scale 1-7 ","2014","East Germany","","","",""
"3 on scale 1-7 ","2014","West Germany","","","",""
"3 on scale 1-7 ","2014","East Germany","","","",""
"4 on scale 1-7","2014","West Germany","","","",""
"4 on scale 1-7","2014","East Germany","","","",""
"5 on scale 1-7","2014","West Germany","","","",""
"5 on scale 1-7","2014","East Germany","","","",""
"6 on scale 1-7","2014","West Germany","","","",""
"6 on scale 1-7","2014","East Germany","","","",""
"7 Strongly agree","2014","West Germany","","","",""
"7 Strongly agree","2014","East Germany","","","",""
"1 Strongly disagree","2015","West Germany","155","0.0078548076450765","0.00666958055408441","0.00904003473606859"
"1 Strongly disagree","2015","East Germany","42","0.00631056259666038","0.00420471185228211","0.00841641334103865"
"2 on scale 1-7 ","2015","West Germany","186","0.00897577503755164","0.00770951094600865","0.0102420391290946"
"2 on scale 1-7 ","2015","East Germany","74","0.0112555478699498","0.00845015583307289","0.0140609399068268"
"3 on scale 1-7 ","2015","West Germany","477","0.021239545032561","0.019303760620592","0.02317532944453"
"3 on scale 1-7 ","2015","East Germany","116","0.0229115616738042","0.0189326665359294","0.0268904568116789"
"4 on scale 1-7","2015","West Germany","1686","0.0823207021277332","0.0786305338029675","0.0860108704524989"
"4 on scale 1-7","2015","East Germany","489","0.0783111036448915","0.0711666000278472","0.0854556072619357"
"5 on scale 1-7","2015","West Germany","3469","0.169404733344494","0.164368525179347","0.174440941509641"
"5 on scale 1-7","2015","East Germany","963","0.185845254273814","0.175501041920087","0.196189466627542"
"6 on scale 1-7","2015","West Germany","7229","0.349938939619385","0.343535410508525","0.356342468730245"
"6 on scale 1-7","2015","East Germany","1890","0.351068911676986","0.338375929008421","0.36376189434555"
"7 Strongly agree","2015","West Germany","8109","0.360265497193199","0.353819985519363","0.366711008867034"
"7 Strongly agree","2015","East Germany","1858","0.344297058263894","0.331661674630252","0.356932441897535"
"1 Strongly disagree","2016","West Germany","14","","",""
"1 Strongly disagree","2016","East Germany","3","","",""
"2 on scale 1-7 ","2016","West Germany","10","","",""
"2 on scale 1-7 ","2016","East Germany","2","","",""
"3 on scale 1-7 ","2016","West Germany","9","","",""
"3 on scale 1-7 ","2016","East Germany","3","","",""
"4 on scale 1-7","2016","West Germany","42","0.0547417129943468","0.0473650882114229","0.0621183377772706"
"4 on scale 1-7","2016","East Germany","10","","",""
"5 on scale 1-7","2016","West Germany","107","0.0794690127883298","0.0706981691215149","0.0882398564551446"
"5 on scale 1-7","2016","East Germany","16","","",""
"6 on scale 1-7","2016","West Germany","331","0.133409480556097","0.122383338885192","0.144435622227003"
"6 on scale 1-7","2016","East Germany","44","0.140214301323122","0.11519797716668","0.165230625479563"
"7 Strongly agree","2016","West Germany","3140","0.714035886221702","0.69938246470664","0.728689307736765"
"7 Strongly agree","2016","East Germany","662","0.79246575365007","0.763246617712208","0.821684889587931"
"1 Strongly disagree","2017","West Germany","9","","",""
"1 Strongly disagree","2017","East Germany","1","","",""
"2 on scale 1-7 ","2017","West Germany","4","","",""
"2 on scale 1-7 ","2017","East Germany","1","","",""
"3 on scale 1-7 ","2017","West Germany","12","","",""
"3 on scale 1-7 ","2017","East Germany","1","","",""
"4 on scale 1-7","2017","West Germany","29","","",""
"4 on scale 1-7","2017","East Germany","2","","",""
"5 on scale 1-7","2017","West Germany","84","0.0339342824022565","0.0269800328486016","0.0408885319559115"
"5 on scale 1-7","2017","East Germany","2","","",""
"6 on scale 1-7","2017","West Germany","305","0.132676883621455","0.119647745354477","0.145706021888433"
"6 on scale 1-7","2017","East Germany","23","","",""
"7 Strongly agree","2017","West Germany","2161","0.811360480124962","0.796334221225883","0.826386739024041"
"7 Strongly agree","2017","East Germany","235","0.9023633406511","0.866625991802288","0.938100689499912"
"1 Strongly disagree","2018","West Germany","2","","",""
"1 Strongly disagree","2018","East Germany","1","","",""
"2 on scale 1-7 ","2018","West Germany","3","","",""
"2 on scale 1-7 ","2018","East Germany","","","",""
"3 on scale 1-7 ","2018","West Germany","2","","",""
"3 on scale 1-7 ","2018","East Germany","","","",""
"4 on scale 1-7","2018","West Germany","2","","",""
"4 on scale 1-7","2018","East Germany","","","",""
"5 on scale 1-7","2018","West Germany","12","","",""
"5 on scale 1-7","2018","East Germany","","","",""
"6 on scale 1-7","2018","West Germany","42","0.080577130655153","0.0528432412702419","0.108311020040064"
