"plh0206i04","year","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","80","0.0126728952747283","0.0101989006873406","0.015146889862116"
"1 Strongly disagree","2005","Employed","56","0.00460599754209989","0.00343431205881004","0.00577768302538974"
"2 on scale 1-7 ","2005","Not Employed","72","0.0118071281998421","0.00941808892136987","0.0141961674783143"
"2 on scale 1-7 ","2005","Employed","95","0.00797951257214137","0.00643993991003301","0.00951908523424972"
"3 on scale 1-7 ","2005","Not Employed","184","0.0230239591878795","0.0197068310191001","0.0263410873566589"
"3 on scale 1-7 ","2005","Employed","276","0.0221761003320875","0.0196279526106994","0.0247242480534756"
"4 on scale 1-7","2005","Not Employed","730","0.094052175792271","0.0875961343592155","0.100508217225326"
"4 on scale 1-7","2005","Employed","1071","0.084829758694393","0.080008318888589","0.0896511985001971"
"5 on scale 1-7","2005","Not Employed","1322","0.161426696172533","0.153289243275493","0.169564149069572"
"5 on scale 1-7","2005","Employed","2233","0.173201631415948","0.166653347768804","0.179749915063091"
"6 on scale 1-7","2005","Not Employed","2426","0.302247283075055","0.292090357662254","0.312404208487856"
"6 on scale 1-7","2005","Employed","4382","0.330374972465798","0.322235971555691","0.338513973375904"
"7 Strongly agree","2005","Not Employed","3039","0.394769862297692","0.383958944621568","0.405580779973816"
"7 Strongly agree","2005","Employed","4716","0.376832026977533","0.368446542598483","0.385217511356582"
"1 Strongly disagree","2006","Not Employed","","","",""
"1 Strongly disagree","2006","Employed","","","",""
"2 on scale 1-7 ","2006","Not Employed","","","",""
"2 on scale 1-7 ","2006","Employed","","","",""
"3 on scale 1-7 ","2006","Not Employed","","","",""
"3 on scale 1-7 ","2006","Employed","","","",""
"4 on scale 1-7","2006","Not Employed","","","",""
"4 on scale 1-7","2006","Employed","","","",""
"5 on scale 1-7","2006","Not Employed","","","",""
"5 on scale 1-7","2006","Employed","","","",""
"6 on scale 1-7","2006","Not Employed","","","",""
"6 on scale 1-7","2006","Employed","","","",""
"7 Strongly agree","2006","Not Employed","","","",""
"7 Strongly agree","2006","Employed","","","",""
"1 Strongly disagree","2007","Not Employed","","","",""
"1 Strongly disagree","2007","Employed","","","",""
"2 on scale 1-7 ","2007","Not Employed","","","",""
"2 on scale 1-7 ","2007","Employed","","","",""
"3 on scale 1-7 ","2007","Not Employed","","","",""
"3 on scale 1-7 ","2007","Employed","","","",""
"4 on scale 1-7","2007","Not Employed","","","",""
"4 on scale 1-7","2007","Employed","","","",""
"5 on scale 1-7","2007","Not Employed","","","",""
"5 on scale 1-7","2007","Employed","","","",""
"6 on scale 1-7","2007","Not Employed","","","",""
"6 on scale 1-7","2007","Employed","","","",""
"7 Strongly agree","2007","Not Employed","","","",""
"7 Strongly agree","2007","Employed","","","",""
"1 Strongly disagree","2008","Not Employed","","","",""
"1 Strongly disagree","2008","Employed","","","",""
"2 on scale 1-7 ","2008","Not Employed","","","",""
"2 on scale 1-7 ","2008","Employed","","","",""
"3 on scale 1-7 ","2008","Not Employed","","","",""
"3 on scale 1-7 ","2008","Employed","","","",""
"4 on scale 1-7","2008","Not Employed","","","",""
"4 on scale 1-7","2008","Employed","","","",""
"5 on scale 1-7","2008","Not Employed","","","",""
"5 on scale 1-7","2008","Employed","","","",""
"6 on scale 1-7","2008","Not Employed","","","",""
"6 on scale 1-7","2008","Employed","","","",""
"7 Strongly agree","2008","Not Employed","","","",""
"7 Strongly agree","2008","Employed","","","",""
"1 Strongly disagree","2009","Not Employed","","","",""
"1 Strongly disagree","2009","Employed","","","",""
"2 on scale 1-7 ","2009","Not Employed","","","",""
"2 on scale 1-7 ","2009","Employed","","","",""
"3 on scale 1-7 ","2009","Not Employed","","","",""
"3 on scale 1-7 ","2009","Employed","","","",""
"4 on scale 1-7","2009","Not Employed","","","",""
"4 on scale 1-7","2009","Employed","","","",""
"5 on scale 1-7","2009","Not Employed","","","",""
"5 on scale 1-7","2009","Employed","","","",""
"6 on scale 1-7","2009","Not Employed","","","",""
"6 on scale 1-7","2009","Employed","","","",""
"7 Strongly agree","2009","Not Employed","","","",""
"7 Strongly agree","2009","Employed","","","",""
"1 Strongly disagree","2010","Not Employed","64","0.0121664905392981","0.00946454432920271","0.0148684367493934"
"1 Strongly disagree","2010","Employed","51","0.00560058290362515","0.00416188739969876","0.00703927840755155"
"2 on scale 1-7 ","2010","Not Employed","79","0.0134245220279658","0.0105881268746775","0.0162609171812542"
"2 on scale 1-7 ","2010","Employed","81","0.0102100934650026","0.00827207366425823","0.0121481132657469"
"3 on scale 1-7 ","2010","Not Employed","142","0.0199200561982705","0.0164763333581475","0.0233637790383935"
"3 on scale 1-7 ","2010","Employed","245","0.02833265162783","0.0251339461353913","0.0315313571202687"
"4 on scale 1-7","2010","Not Employed","570","0.0907950663743105","0.0837137470729385","0.0978763856756825"
"4 on scale 1-7","2010","Employed","920","0.0973322520561092","0.0916179368923265","0.103046567219892"
"5 on scale 1-7","2010","Not Employed","1151","0.17999025903643","0.170521650383443","0.189458867689416"
"5 on scale 1-7","2010","Employed","1933","0.176266041827999","0.168920063346768","0.18361202030923"
"6 on scale 1-7","2010","Not Employed","1934","0.287137982277043","0.275987331352256","0.298288633201829"
"6 on scale 1-7","2010","Employed","3669","0.342515141563561","0.333366542268528","0.351663740858594"
"7 Strongly agree","2010","Not Employed","2384","0.396565623546683","0.384509027329662","0.408622219763704"
"7 Strongly agree","2010","Employed","3437","0.339743236555873","0.330612544836115","0.348873928275631"
"1 Strongly disagree","2011","Not Employed","","","",""
"1 Strongly disagree","2011","Employed","","","",""
"2 on scale 1-7 ","2011","Not Employed","","","",""
"2 on scale 1-7 ","2011","Employed","","","",""
"3 on scale 1-7 ","2011","Not Employed","","","",""
"3 on scale 1-7 ","2011","Employed","","","",""
"4 on scale 1-7","2011","Not Employed","","","",""
"4 on scale 1-7","2011","Employed","","","",""
"5 on scale 1-7","2011","Not Employed","","","",""
"5 on scale 1-7","2011","Employed","","","",""
"6 on scale 1-7","2011","Not Employed","","","",""
"6 on scale 1-7","2011","Employed","","","",""
"7 Strongly agree","2011","Not Employed","","","",""
"7 Strongly agree","2011","Employed","","","",""
"1 Strongly disagree","2012","Not Employed","","","",""
"1 Strongly disagree","2012","Employed","","","",""
"2 on scale 1-7 ","2012","Not Employed","","","",""
