"plh0206i04","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","(0) in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","lower secondary degree","(1b) general elementary school","16","","",""
"1 Strongly disagree","2005","lower secondary degree","(1c) basic vocational qualification","54","0.0129433108777299","0.00991370079028537","0.0159729209651744"
"1 Strongly disagree","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"1 Strongly disagree","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","secondary school degree","(0) in school","","","",""
"1 Strongly disagree","2005","secondary school degree","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","secondary school degree","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","secondary school degree","(2b) intermediate general qualification","4","","",""
"1 Strongly disagree","2005","secondary school degree","(2a) intermediate vocational","29","","",""
"1 Strongly disagree","2005","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","secondary school degree","(3a) lower tertiary education","3","","",""
"1 Strongly disagree","2005","secondary school degree","(3b) higher tertiary education","1","","",""
"1 Strongly disagree","2005","college entrance qualification","(0) in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","college entrance qualification","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","college entrance qualification","(2c_gen) general maturity certificate","3","","",""
"1 Strongly disagree","2005","college entrance qualification","(2c_voc) vocational maturity certificate","4","","",""
"1 Strongly disagree","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","college entrance qualification","(3b) higher tertiary education","3","","",""
"1 Strongly disagree","2005","Other degree","(0) in school","","","",""
"1 Strongly disagree","2005","Other degree","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","Other degree","(1b) general elementary school","2","","",""
"1 Strongly disagree","2005","Other degree","(1c) basic vocational qualification","5","","",""
"1 Strongly disagree","2005","Other degree","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Other degree","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","Other degree","(2c_voc) vocational maturity certificate","2","","",""
"1 Strongly disagree","2005","Other degree","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","Other degree","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(0) in school","5","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(1a) inadequately completed","2","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(0) in school","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(1b) general elementary school","18","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(1c) basic vocational qualification","41","0.0100145687526722","0.00734572267608135","0.0126834148292631"
"2 on scale 1-7 ","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(3a) lower tertiary education","1","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(0) in school","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(2b) intermediate general qualification","5","","",""
"2 on scale 1-7 ","2005","secondary school degree","(2a) intermediate vocational","36","0.00745508369071591","0.00501523581303197","0.00989493156839985"
"2 on scale 1-7 ","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2005","secondary school degree","(3a) lower tertiary education","6","","",""
