"plh0206i04","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","lower secondary degree","52","0.0168410823159593","0.0127297948655455","0.0209523697663731"
"1 Strongly disagree","2005","Not Employed","secondary school degree","15","","",""
"1 Strongly disagree","2005","Not Employed","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Not Employed","Other degree","5","","",""
"1 Strongly disagree","2005","Not Employed","no degree/no degree yet","6","","",""
"1 Strongly disagree","2005","Employed","lower secondary degree","19","","",""
"1 Strongly disagree","2005","Employed","secondary school degree","23","","",""
"1 Strongly disagree","2005","Employed","college entrance qualification","9","","",""
"1 Strongly disagree","2005","Employed","Other degree","4","","",""
"1 Strongly disagree","2005","Employed","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Not Employed","lower secondary degree","38","0.0140158099565366","0.0102598145060022","0.0177718054070709"
"2 on scale 1-7 ","2005","Not Employed","secondary school degree","14","","",""
"2 on scale 1-7 ","2005","Not Employed","college entrance qualification","12","","",""
"2 on scale 1-7 ","2005","Not Employed","Other degree","2","","",""
"2 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","3","","",""
"2 on scale 1-7 ","2005","Employed","lower secondary degree","24","","",""
"2 on scale 1-7 ","2005","Employed","secondary school degree","33","0.00710385014599801","0.00464867741374718","0.00955902287824884"
"2 on scale 1-7 ","2005","Employed","college entrance qualification","33","0.00948967027521302","0.00646467558622338","0.0125146649642027"
"2 on scale 1-7 ","2005","Employed","Other degree","2","","",""
"2 on scale 1-7 ","2005","Employed","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Not Employed","lower secondary degree","85","0.0225884728192457","0.017840992806006","0.0273359528324853"
"3 on scale 1-7 ","2005","Not Employed","secondary school degree","26","","",""
"3 on scale 1-7 ","2005","Not Employed","college entrance qualification","27","","",""
"3 on scale 1-7 ","2005","Not Employed","Other degree","10","","",""
"3 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","32","0.0511369671485849","0.0348653390859801","0.0674085952111897"
"3 on scale 1-7 ","2005","Employed","lower secondary degree","73","0.0249390683995659","0.0196290825460437","0.0302490542530881"
