"plh0206i04","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","95","0.00772548648928961","0.00626691572062933","0.0091840572579499","1"
"1 Strongly disagree","2005","Rural Area","41","0.00814227390122592","0.00601257805267267","0.0102719697497792","1"
"2 on scale 1-7 ","2005","Rural Area","50","0.00809231026542743","0.00596910524943082","0.010215515281424","2"
"2 on scale 1-7 ","2005","Urban Area","117","0.0101669892900866","0.00849579932853779","0.0118381792516355","2"
"3 on scale 1-7 ","2005","Urban Area","326","0.0237895313599712","0.0212508199070415","0.0263282428129009","3"
"3 on scale 1-7 ","2005","Rural Area","134","0.0197032051314255","0.0164096323045476","0.0229967779583034","3"
"4 on scale 1-7","2005","Rural Area","584","0.0887431206245572","0.0820039291093207","0.0954823121397937","4"
"4 on scale 1-7","2005","Urban Area","1217","0.0884545964765612","0.0837241947542619","0.0931849981988605","4"
"5 on scale 1-7","2005","Urban Area","2408","0.171016364935468","0.164743867640713","0.177288862230223","5"
"5 on scale 1-7","2005","Rural Area","1147","0.16279989356903","0.154050826698735","0.171548960439326","5"
"6 on scale 1-7","2005","Rural Area","2328","0.325775122762503","0.31466851626781","0.336881729257195","6"
"6 on scale 1-7","2005","Urban Area","4480","0.316004261642223","0.308259254255906","0.32374926902854","6"
"7 Strongly agree","2005","Rural Area","2556","0.386744073745831","0.375202826344074","0.398285321147587","7"
"7 Strongly agree","2005","Urban Area","5199","0.3828427698064","0.374745160781246","0.390940378831554","7"
"1 Strongly disagree","2006","Urban Area","","","","","1"
"1 Strongly disagree","2006","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","","","","","2"
"3 on scale 1-7 ","2006","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","","","","","3"
"4 on scale 1-7","2006","Urban Area","","","","","4"
"4 on scale 1-7","2006","Rural Area","","","","","4"
"5 on scale 1-7","2006","Rural Area","","","","","5"
"5 on scale 1-7","2006","Urban Area","","","","","5"
"6 on scale 1-7","2006","Rural Area","","","","","6"
"6 on scale 1-7","2006","Urban Area","","","","","6"
"7 Strongly agree","2006","Rural Area","","","","","7"
"7 Strongly agree","2006","Urban Area","","","","","7"
"1 Strongly disagree","2007","Urban Area","","","","","1"
"1 Strongly disagree","2007","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Rural Area","","","","","3"
"4 on scale 1-7","2007","Rural Area","","","","","4"
"4 on scale 1-7","2007","Urban Area","","","","","4"
"5 on scale 1-7","2007","Rural Area","","","","","5"
"5 on scale 1-7","2007","Urban Area","","","","","5"
"6 on scale 1-7","2007","Rural Area","","","","","6"
"6 on scale 1-7","2007","Urban Area","","","","","6"
"7 Strongly agree","2007","Urban Area","","","","","7"
"7 Strongly agree","2007","Rural Area","","","","","7"
