"plh0206i04","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","1-pers.-HH","20","","",""
"1 Strongly disagree","2005","Not Employed","(Married) couple without C. ","34","0.0119648706414701","0.0083555572199296","0.0155741840630105"
"1 Strongly disagree","2005","Not Employed","Single parent ","6","","",""
"1 Strongly disagree","2005","Not Employed","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","Not Employed","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","Not Employed","Couple + C. LE and GT 16","5","","",""
"1 Strongly disagree","2005","Employed","1-pers.-HH","9","","",""
"1 Strongly disagree","2005","Employed","(Married) couple without C. ","19","","",""
"1 Strongly disagree","2005","Employed","Single parent ","5","","",""
"1 Strongly disagree","2005","Employed","Couple + C. LE 16 ","7","","",""
"1 Strongly disagree","2005","Employed","Couple + C. GT 16 ","11","","",""
"1 Strongly disagree","2005","Employed","Couple + C. LE and GT 16","3","","",""
"2 on scale 1-7 ","2005","Not Employed","1-pers.-HH","18","","",""
"2 on scale 1-7 ","2005","Not Employed","(Married) couple without C. ","20","","",""
"2 on scale 1-7 ","2005","Not Employed","Single parent ","5","","",""
"2 on scale 1-7 ","2005","Not Employed","Couple + C. LE 16 ","6","","",""
"2 on scale 1-7 ","2005","Not Employed","Couple + C. GT 16 ","10","","",""
"2 on scale 1-7 ","2005","Not Employed","Couple + C. LE and GT 16","9","","",""
"2 on scale 1-7 ","2005","Employed","1-pers.-HH","14","","",""
"2 on scale 1-7 ","2005","Employed","(Married) couple without C. ","27","","",""
"2 on scale 1-7 ","2005","Employed","Single parent ","3","","",""
"2 on scale 1-7 ","2005","Employed","Couple + C. LE 16 ","30","0.0129803467441611","0.00895539893443888","0.0170052945538834"
"2 on scale 1-7 ","2005","Employed","Couple + C. GT 16 ","13","","",""
"2 on scale 1-7 ","2005","Employed","Couple + C. LE and GT 16","5","","",""
"3 on scale 1-7 ","2005","Not Employed","1-pers.-HH","25","","",""
"3 on scale 1-7 ","2005","Not Employed","(Married) couple without C. ","78","0.0201422836722902","0.0154786947485726","0.0248058725960078"
"3 on scale 1-7 ","2005","Not Employed","Single parent ","16","","",""
"3 on scale 1-7 ","2005","Not Employed","Couple + C. LE 16 ","16","","",""
"3 on scale 1-7 ","2005","Not Employed","Couple + C. GT 16 ","22","","",""
"3 on scale 1-7 ","2005","Not Employed","Couple + C. LE and GT 16","16","","",""
"3 on scale 1-7 ","2005","Employed","1-pers.-HH","36","0.0239106070604433","0.0162606533673244","0.0315605607535622"
"3 on scale 1-7 ","2005","Employed","(Married) couple without C. ","78","0.0232222628936633","0.0182525196987582","0.0281920060885684"
"3 on scale 1-7 ","2005","Employed","Single parent ","15","","",""
"3 on scale 1-7 ","2005","Employed","Couple + C. LE 16 ","55","0.0191882965319847","0.0143100332392871","0.0240665598246822"
"3 on scale 1-7 ","2005","Employed","Couple + C. GT 16 ","55","0.0222486840369363","0.0165408573838556","0.027956510690017"
"3 on scale 1-7 ","2005","Employed","Couple + C. LE and GT 16","30","0.0272242398836735","0.0178633694806902","0.0365851102866567"
"4 on scale 1-7","2005","Not Employed","1-pers.-HH","130","0.0952861836979862","0.0800631028224083","0.110509264573564"
"4 on scale 1-7","2005","Not Employed","(Married) couple without C. ","297","0.0862790240404378","0.0769584253555538","0.0955996227253218"
"4 on scale 1-7","2005","Not Employed","Single parent ","50","0.137115009786289","0.102977271524816","0.171252748047763"
"4 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","60","0.099068202253012","0.0764127383977583","0.121723666108266"
"4 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","113","0.096653454135286","0.0790144283816307","0.114292479888941"
"4 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","62","0.107345606976516","0.0813330854575501","0.133358128495482"
"4 on scale 1-7","2005","Employed","1-pers.-HH","136","0.0896478018673331","0.0753426242794952","0.103952979455171"
"4 on scale 1-7","2005","Employed","(Married) couple without C. ","263","0.0775218421568796","0.0686976716575421","0.0863460126562171"
"4 on scale 1-7","2005","Employed","Single parent ","65","0.0960480837237439","0.0743436490047206","0.117752518442767"
"4 on scale 1-7","2005","Employed","Couple + C. LE 16 ","256","0.0822865802717463","0.0725148323646479","0.0920583281788447"
"4 on scale 1-7","2005","Employed","Couple + C. GT 16 ","222","0.0923345941681968","0.0811312024680196","0.103537985868374"
"4 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","103","0.0818537990607278","0.0660846839859545","0.0976229141355011"
"5 on scale 1-7","2005","Not Employed","1-pers.-HH","203","0.144987809660015","0.126732724028789","0.163242895291241"
"5 on scale 1-7","2005","Not Employed","(Married) couple without C. ","565","0.151180372113807","0.139288785282919","0.163071958944696"
"5 on scale 1-7","2005","Not Employed","Single parent ","62","0.137654019100958","0.103459932494006","0.17184810570791"
"5 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","109","0.157167721995351","0.129567529008309","0.184767914982393"
"5 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","236","0.2426528744853","0.217062365643808","0.268243383326792"
"5 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","99","0.182525743269274","0.150065800743364","0.214985685795183"
"5 on scale 1-7","2005","Employed","1-pers.-HH","277","0.177246030381878","0.158123649675779","0.196368411087976"
"5 on scale 1-7","2005","Employed","(Married) couple without C. ","565","0.153471663099091","0.141577917288202","0.16536540890998"
"5 on scale 1-7","2005","Employed","Single parent ","104","0.151830520826629","0.12539716370866","0.178263877944598"
"5 on scale 1-7","2005","Employed","Couple + C. LE 16 ","551","0.180171301745295","0.16650476187045","0.193837841620139"
"5 on scale 1-7","2005","Employed","Couple + C. GT 16 ","480","0.193473449943511","0.178186373809362","0.208760526077661"
"5 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","202","0.195500416566712","0.172688134309499","0.218312698823924"
"6 on scale 1-7","2005","Not Employed","1-pers.-HH","430","0.302532468517667","0.278715857168097","0.326349079867238"
"6 on scale 1-7","2005","Not Employed","(Married) couple without C. ","1118","0.311394657979098","0.296022842155557","0.32676647380264"
"6 on scale 1-7","2005","Not Employed","Single parent ","110","0.302460358926067","0.25687404615824","0.348046671693895"
"6 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","200","0.28294818109","0.248790483920426","0.317105878259574"
"6 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","334","0.297420320718282","0.270132313475883","0.324708327960681"
"6 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","155","0.27350642346671","0.236048103437859","0.310964743495562"
"6 on scale 1-7","2005","Employed","1-pers.-HH","477","0.306182675372502","0.283102899603641","0.329262451141362"
"6 on scale 1-7","2005","Employed","(Married) couple without C. ","1222","0.347069800315287","0.331361630272962","0.362777970357612"
"6 on scale 1-7","2005","Employed","Single parent ","240","0.315744981339132","0.281506957810651","0.349983004867614"
"6 on scale 1-7","2005","Employed","Couple + C. LE 16 ","1059","0.338696615864915","0.321867550102458","0.355525681627372"
"6 on scale 1-7","2005","Employed","Couple + C. GT 16 ","908","0.345748098240273","0.327342209048071","0.364153987432475"
"6 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","385","0.301452420200622","0.275056344525082","0.327848495876162"
"7 Strongly agree","2005","Not Employed","1-pers.-HH","603","0.406208701899009","0.380744885022357","0.43167251877566"
"7 Strongly agree","2005","Not Employed","(Married) couple without C. ","1374","0.411581324680612","0.395244958712807","0.427917690648417"
"7 Strongly agree","2005","Not Employed","Single parent ","141","0.331135051729358","0.284427448365904","0.377842655092811"
"7 Strongly agree","2005","Not Employed","Couple + C. LE 16 ","275","0.423165640836336","0.385699356971306","0.460631924701366"
"7 Strongly agree","2005","Not Employed","Couple + C. GT 16 ","360","0.331495781905855","0.303394263296986","0.359597300514724"
"7 Strongly agree","2005","Not Employed","Couple + C. LE and GT 16","198","0.374507133627897","0.333835663679226","0.415178603576568"
"7 Strongly agree","2005","Employed","1-pers.-HH","583","0.388859366961447","0.364448366965473","0.41327036695742"
"7 Strongly agree","2005","Employed","(Married) couple without C. ","1354","0.386885082039664","0.370813977118136","0.402956186961192"
"7 Strongly agree","2005","Employed","Single parent ","276","0.408186953042474","0.371983225373357","0.444390680711592"
"7 Strongly agree","2005","Employed","Couple + C. LE 16 ","1080","0.362625444471903","0.345529987888146","0.379720901055659"
"7 Strongly agree","2005","Employed","Couple + C. GT 16 ","876","0.338321823672588","0.320011635046732","0.356632012298444"
"7 Strongly agree","2005","Employed","Couple + C. LE and GT 16","433","0.384634145941621","0.356649320888083","0.41261897099516"
"1 Strongly disagree","2006","Not Employed","1-pers.-HH","","","",""
"1 Strongly disagree","2006","Not Employed","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","Not Employed","Single parent ","","","",""
"1 Strongly disagree","2006","Not Employed","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","Not Employed","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","Employed","1-pers.-HH","","","",""
"1 Strongly disagree","2006","Employed","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","Employed","Single parent ","","","",""
"1 Strongly disagree","2006","Employed","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","Employed","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","Employed","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","Not Employed","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","Not Employed","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","Not Employed","Single parent ","","","",""
"2 on scale 1-7 ","2006","Not Employed","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","Not Employed","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","Not Employed","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","Employed","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","Employed","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","Employed","Single parent ","","","",""
"2 on scale 1-7 ","2006","Employed","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","Employed","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","Employed","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","Not Employed","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","Not Employed","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","Not Employed","Single parent ","","","",""
