"plh0206i04","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","West Germany","5","","",""
"1 Strongly disagree","2005","in school","East Germany","","","",""
"1 Strongly disagree","2005","inadequately","West Germany","1","","",""
"1 Strongly disagree","2005","inadequately","East Germany","","","",""
"1 Strongly disagree","2005","general elemantary","West Germany","19","","",""
"1 Strongly disagree","2005","general elemantary","East Germany","3","","",""
"1 Strongly disagree","2005","middle vocational","West Germany","68","0.00985539824943697","0.0076369846725733","0.0120738118263006"
"1 Strongly disagree","2005","middle vocational","East Germany","12","","",""
"1 Strongly disagree","2005","vocational + Abi","West Germany","5","","",""
"1 Strongly disagree","2005","vocational + Abi","East Germany","1","","",""
"1 Strongly disagree","2005","higher vocational","West Germany","9","","",""
"1 Strongly disagree","2005","higher vocational","East Germany","5","","",""
"1 Strongly disagree","2005","higher education","West Germany","2","","",""
"1 Strongly disagree","2005","higher education","East Germany","5","","",""
"2 on scale 1-7 ","2005","in school","West Germany","2","","",""
"2 on scale 1-7 ","2005","in school","East Germany","1","","",""
"2 on scale 1-7 ","2005","inadequately","West Germany","","","",""
"2 on scale 1-7 ","2005","inadequately","East Germany","","","",""
"2 on scale 1-7 ","2005","general elemantary","West Germany","22","","",""
"2 on scale 1-7 ","2005","general elemantary","East Germany","2","","",""
"2 on scale 1-7 ","2005","middle vocational","West Germany","57","0.00892097102613284","0.00680934833125833","0.0110325937210073"
"2 on scale 1-7 ","2005","middle vocational","East Germany","23","","",""
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","7","","",""
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","1","","",""
"2 on scale 1-7 ","2005","higher vocational","West Germany","10","","",""
"2 on scale 1-7 ","2005","higher vocational","East Germany","5","","",""
"2 on scale 1-7 ","2005","higher education","West Germany","26","","",""
"2 on scale 1-7 ","2005","higher education","East Germany","7","","",""
"3 on scale 1-7 ","2005","in school","West Germany","20","","",""
