"plh0206i04","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","Urban Area","26","","","","1"
"1 Strongly disagree","2005","Full Time","Rural Area","9","","","","1"
"1 Strongly disagree","2005","Part Time","Urban Area","17","","","","1"
"1 Strongly disagree","2005","Part Time","Rural Area","4","","","","1"
"1 Strongly disagree","2005","Not Working","Urban Area","52","0.0116893226530508","0.00876822496507398","0.0146104203410277","1"
"1 Strongly disagree","2005","Not Working","Rural Area","28","","","","1"
"2 on scale 1-7 ","2005","Part Time","Urban Area","21","","","","2"
"2 on scale 1-7 ","2005","Full Time","Urban Area","53","0.0114654479693291","0.00862199088470272","0.0143089050539555","2"
"2 on scale 1-7 ","2005","Not Working","Rural Area","29","","","","2"
"2 on scale 1-7 ","2005","Full Time","Rural Area","13","","","","2"
"2 on scale 1-7 ","2005","Part Time","Rural Area","8","","","","2"
"2 on scale 1-7 ","2005","Not Working","Urban Area","43","0.0109285066986572","0.00810298323564337","0.013754030161671","2"
"3 on scale 1-7 ","2005","Not Working","Urban Area","123","0.0229449475473318","0.0188757599120261","0.0270141351826376","3"
"3 on scale 1-7 ","2005","Full Time","Urban Area","128","0.023393017696686","0.0193560221124388","0.0274300132809333","3"
"3 on scale 1-7 ","2005","Part Time","Rural Area","34","0.0237551288760198","0.0161860858773885","0.0313241718746511","3"
"3 on scale 1-7 ","2005","Part Time","Urban Area","75","0.0259669751592356","0.0205043246607669","0.0314296256577043","3"
"3 on scale 1-7 ","2005","Full Time","Rural Area","39","0.0133993119363313","0.00900759219940142","0.0177910316732612","3"
"3 on scale 1-7 ","2005","Not Working","Rural Area","61","0.0231985113043887","0.0174693038848605","0.0289277187239169","3"
"4 on scale 1-7","2005","Not Working","Rural Area","253","0.0977300770818688","0.0864283792386006","0.109031774925137","4"
"4 on scale 1-7","2005","Full Time","Rural Area","205","0.0857105937904409","0.0750180322813474","0.0964031552995343","4"
"4 on scale 1-7","2005","Part Time","Urban Area","307","0.0904318533991526","0.0805807646833712","0.100282942114934","4"
"4 on scale 1-7","2005","Not Working","Urban Area","477","0.092387360604262","0.0845176056119522","0.100257115596572","4"
"4 on scale 1-7","2005","Full Time","Urban Area","433","0.0830259473427933","0.07565640225244","0.0903954924331466","4"
"4 on scale 1-7","2005","Part Time","Rural Area","126","0.0777255327515453","0.0644180828192745","0.0910329826838162","4"
"5 on scale 1-7","2005","Not Working","Rural Area","421","0.146567456490013","0.133106847571079","0.160028065408948","5"
"5 on scale 1-7","2005","Part Time","Rural Area","255","0.161557178633663","0.143264270650133","0.179850086617193","5"
"5 on scale 1-7","2005","Not Working","Urban Area","901","0.168152784220542","0.157988460715229","0.178317107725856","5"
"5 on scale 1-7","2005","Full Time","Urban Area","938","0.174409113721061","0.164274148333427","0.184544079108696","5"
"5 on scale 1-7","2005","Full Time","Rural Area","471","0.181273083775177","0.166558131526571","0.195988036023782","5"
"5 on scale 1-7","2005","Part Time","Urban Area","569","0.170509391566225","0.157591674088533","0.183427109043917","5"
