"plh0206i04","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","no migration background","30","0.00515823301899729","0.00346626532875438","0.0068502007092402"
"1 Strongly disagree","2005","Full Time","direct migration background","5","","",""
"1 Strongly disagree","2005","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2005","Part Time","no migration background","18","","",""
"1 Strongly disagree","2005","Part Time","direct migration background","2","","",""
"1 Strongly disagree","2005","Part Time","indirect migration background","1","","",""
"1 Strongly disagree","2005","Not Working","no migration background","71","0.0140279930349623","0.0111840000335127","0.0168719860364118"
"1 Strongly disagree","2005","Not Working","direct migration background","7","","",""
"1 Strongly disagree","2005","Not Working","indirect migration background","2","","",""
"2 on scale 1-7 ","2005","Full Time","no migration background","55","0.00887299242509329","0.00665804056086472","0.0110879442893219"
"2 on scale 1-7 ","2005","Full Time","direct migration background","6","","",""
"2 on scale 1-7 ","2005","Full Time","indirect migration background","5","","",""
"2 on scale 1-7 ","2005","Part Time","no migration background","22","","",""
"2 on scale 1-7 ","2005","Part Time","direct migration background","6","","",""
"2 on scale 1-7 ","2005","Part Time","indirect migration background","1","","",""
"2 on scale 1-7 ","2005","Not Working","no migration background","59","0.0116737757211451","0.009076283280717","0.0142712681615733"
"2 on scale 1-7 ","2005","Not Working","direct migration background","11","","",""
"2 on scale 1-7 ","2005","Not Working","indirect migration background","2","","",""
"3 on scale 1-7 ","2005","Full Time","no migration background","134","0.0181388838154915","0.0149868207942208","0.0212909468367623"
"3 on scale 1-7 ","2005","Full Time","direct migration background","24","","",""
"3 on scale 1-7 ","2005","Full Time","indirect migration background","9","","",""
"3 on scale 1-7 ","2005","Part Time","no migration background","95","0.0246951470963266","0.0199078021894716","0.0294824920031816"
"3 on scale 1-7 ","2005","Part Time","direct migration background","11","","",""
"3 on scale 1-7 ","2005","Part Time","indirect migration background","3","","",""
"3 on scale 1-7 ","2005","Not Working","no migration background","147","0.0221311957466946","0.0185737261626231","0.0256886653307661"
"3 on scale 1-7 ","2005","Not Working","direct migration background","26","","",""
"3 on scale 1-7 ","2005","Not Working","indirect migration background","11","","",""
"4 on scale 1-7","2005","Full Time","no migration background","564","0.0847210781084447","0.078143938669985","0.0912982175469044"
"4 on scale 1-7","2005","Full Time","direct migration background","52","0.0807011155182148","0.0618855062240768","0.0995167248123527"
"4 on scale 1-7","2005","Full Time","indirect migration background","22","","",""
"4 on scale 1-7","2005","Part Time","no migration background","381","0.0918039619714831","0.082896802456543","0.100711121486423"
"4 on scale 1-7","2005","Part Time","direct migration background","33","0.0560942361274065","0.0369677965231771","0.0752206757316358"
"4 on scale 1-7","2005","Part Time","indirect migration background","19","","",""
"4 on scale 1-7","2005","Not Working","no migration background","620","0.0956565301548216","0.088544026948723","0.10276903336092"
"4 on scale 1-7","2005","Not Working","direct migration background","80","0.0839640544987551","0.0667836252202313","0.101144483777279"
"4 on scale 1-7","2005","Not Working","indirect migration background","30","0.0951598794733045","0.0609723483245952","0.129347410622014"
"5 on scale 1-7","2005","Full Time","no migration background","1234","0.1777815221776","0.168751236113115","0.186811808242085"
"5 on scale 1-7","2005","Full Time","direct migration background","112","0.164514780702904","0.138904048331786","0.190125513074023"
"5 on scale 1-7","2005","Full Time","indirect migration background","63","0.185595743082128","0.143457324040332","0.227734162123925"
"5 on scale 1-7","2005","Part Time","no migration background","706","0.173590421644172","0.1619067520641","0.185274091224244"
"5 on scale 1-7","2005","Part Time","direct migration background","83","0.130427590325481","0.102434663657967","0.158420516992995"
"5 on scale 1-7","2005","Part Time","indirect migration background","35","0.18149811301192","0.130333965335325","0.232662260688514"
"5 on scale 1-7","2005","Not Working","no migration background","1092","0.159309819976635","0.150459933071526","0.168159706881743"
"5 on scale 1-7","2005","Not Working","direct migration background","164","0.15437474853958","0.131992271100131","0.176757225979029"
"5 on scale 1-7","2005","Not Working","indirect migration background","66","0.252569672511609","0.201948659525909","0.30319068549731"
"6 on scale 1-7","2005","Full Time","no migration background","2445","0.341530847703629","0.330330093499311","0.352731601907948"
"6 on scale 1-7","2005","Full Time","direct migration background","235","0.26469591092686","0.234219960564905","0.295171861288815"
"6 on scale 1-7","2005","Full Time","indirect migration background","97","0.341963277684894","0.290548375314611","0.393378180055177"
"6 on scale 1-7","2005","Part Time","no migration background","1389","0.34009716239673","0.325483461359155","0.354710863434305"
"6 on scale 1-7","2005","Part Time","direct migration background","155","0.277526866878042","0.240307064545821","0.314746669210263"
"6 on scale 1-7","2005","Part Time","indirect migration background","61","0.257441630805648","0.199402014620596","0.3154812469907"
"6 on scale 1-7","2005","Not Working","no migration background","2096","0.311692753668112","0.300491852019908","0.322893655316317"
"6 on scale 1-7","2005","Not Working","direct migration background","268","0.264627960880503","0.237300299112528","0.291955622648478"
"6 on scale 1-7","2005","Not Working","indirect migration background","62","0.209748912554097","0.16231518188903","0.257182643219163"
"7 Strongly agree","2005","Full Time","no migration background","2424","0.363796442750744","0.352433472950099","0.375159412551389"
"7 Strongly agree","2005","Full Time","direct migration background","371","0.442536879037047","0.408225912195801","0.476847845878292"
"7 Strongly agree","2005","Full Time","indirect migration background","131","0.35981690129697","0.307797290757354","0.411836511836586"
"7 Strongly agree","2005","Part Time","no migration background","1426","0.359365911128523","0.344564872994388","0.374166949262658"
"7 Strongly agree","2005","Part Time","direct migration background","266","0.490013383046496","0.44846117988239","0.531565586210602"
"7 Strongly agree","2005","Part Time","indirect migration background","98","0.458121466359274","0.391981931130866","0.524261001587682"
"7 Strongly agree","2005","Not Working","no migration background","2484","0.38550793169763","0.3737380185041","0.397277844891159"
"7 Strongly agree","2005","Not Working","direct migration background","445","0.452199836845862","0.421367436848543","0.483032236843181"
"7 Strongly agree","2005","Not Working","indirect migration background","110","0.392052868372134","0.335172801547666","0.448932935196601"
"1 Strongly disagree","2006","Full Time","no migration background","","","",""
"1 Strongly disagree","2006","Full Time","direct migration background","","","",""
"1 Strongly disagree","2006","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2006","Part Time","no migration background","","","",""
"1 Strongly disagree","2006","Part Time","direct migration background","","","",""
"1 Strongly disagree","2006","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2006","Not Working","no migration background","","","",""
"1 Strongly disagree","2006","Not Working","direct migration background","","","",""
"1 Strongly disagree","2006","Not Working","indirect migration background","","","",""
"2 on scale 1-7 ","2006","Full Time","no migration background","","","",""
"2 on scale 1-7 ","2006","Full Time","direct migration background","","","",""
"2 on scale 1-7 ","2006","Full Time","indirect migration background","","","",""
