"plh0206i04","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","5","","",""
"1 Strongly disagree","2005","inadequately","1","","",""
"1 Strongly disagree","2005","general elemantary","22","","",""
"1 Strongly disagree","2005","middle vocational","80","0.00889221664235901","0.00707436862655886","0.0107100646581592"
"1 Strongly disagree","2005","vocational + Abi","6","","",""
"1 Strongly disagree","2005","higher vocational","14","","",""
"1 Strongly disagree","2005","higher education","7","","",""
"2 on scale 1-7 ","2005","in school","3","","",""
"2 on scale 1-7 ","2005","inadequately","","","",""
"2 on scale 1-7 ","2005","general elemantary","24","","",""
"2 on scale 1-7 ","2005","middle vocational","80","0.00892924783975575","0.00710765261886788","0.0107508430606436"
"2 on scale 1-7 ","2005","vocational + Abi","8","","",""
"2 on scale 1-7 ","2005","higher vocational","15","","",""
"2 on scale 1-7 ","2005","higher education","33","0.0084059029148039","0.00563322298089531","0.0111785828487125"
"3 on scale 1-7 ","2005","in school","27","","",""
"3 on scale 1-7 ","2005","inadequately","9","","",""
"3 on scale 1-7 ","2005","general elemantary","56","0.0287483624621122","0.0220603674647398","0.0354363574594845"
"3 on scale 1-7 ","2005","middle vocational","220","0.0212959273639369","0.0185003849494608","0.0240914697784129"
"3 on scale 1-7 ","2005","vocational + Abi","26","","",""
"3 on scale 1-7 ","2005","higher vocational","29","","",""
"3 on scale 1-7 ","2005","higher education","83","0.0186500918957707","0.0145414998666953","0.0227586839248461"
"4 on scale 1-7","2005","in school","80","0.120280179154041","0.0952346731813862","0.145325685126696"
"4 on scale 1-7","2005","inadequately","26","","",""
"4 on scale 1-7","2005","general elemantary","223","0.100078509185175","0.0880670373606853","0.112089981009664"
"4 on scale 1-7","2005","middle vocational","815","0.0811896539486627","0.0759008752712055","0.0864784326261199"
"4 on scale 1-7","2005","vocational + Abi","113","0.106341255440877","0.0883831042388793","0.124299406642875"
"4 on scale 1-7","2005","higher vocational","135","0.0916795714219502","0.0773550255823197","0.106004117261581"
"4 on scale 1-7","2005","higher education","371","0.0908649681713227","0.0821361986975466","0.0995937376450988"
"5 on scale 1-7","2005","in school","120","0.184152051854196","0.154308295756593","0.213995807951798"
"5 on scale 1-7","2005","inadequately","34","0.128406065003811","0.0854504443021683","0.171361685705453"
"5 on scale 1-7","2005","general elemantary","415","0.164043638992173","0.149222041931313","0.178865236053034"
"5 on scale 1-7","2005","middle vocational","1677","0.162693003755363","0.155546083959132","0.169839923551595"
"5 on scale 1-7","2005","vocational + Abi","214","0.177686450204439","0.155418986329822","0.199953914079057"
"5 on scale 1-7","2005","higher vocational","257","0.173284938477429","0.154496816692616","0.192073060262242"
"5 on scale 1-7","2005","higher education","778","0.182711778055329","0.170976011007757","0.194447545102901"
"6 on scale 1-7","2005","in school","214","0.303648296117473","0.268243643819747","0.3390529484152"
"6 on scale 1-7","2005","inadequately","54","0.255650596991534","0.199638483731479","0.311662710251589"
"6 on scale 1-7","2005","general elemantary","682","0.279831058418922","0.261863517064664","0.29779859977318"
"6 on scale 1-7","2005","middle vocational","3332","0.314553234149987","0.305561860353182","0.323544607946793"
"6 on scale 1-7","2005","vocational + Abi","392","0.3648215777281","0.336779318203479","0.39286383725272"
"6 on scale 1-7","2005","higher vocational","544","0.337664437279514","0.314189376132968","0.361139498426059"
