"plh0206i04","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Male","41","0.00636730609378168","0.00466328030743801","0.00807133188012536"
"1 Strongly disagree","2005","no migration background","Female","78","0.0105495345761798","0.00845292900460284","0.0126461401477568"
"1 Strongly disagree","2005","direct migration background","Male","7","","",""
"1 Strongly disagree","2005","direct migration background","Female","7","","",""
"1 Strongly disagree","2005","indirect migration background","Male","","","",""
"1 Strongly disagree","2005","indirect migration background","Female","3","","",""
"2 on scale 1-7 ","2005","no migration background","Male","53","0.00625864013477939","0.00456912519957268","0.00794815506998611"
"2 on scale 1-7 ","2005","no migration background","Female","83","0.012491063406572","0.0102119114543323","0.0147702153588118"
"2 on scale 1-7 ","2005","direct migration background","Male","9","","",""
"2 on scale 1-7 ","2005","direct migration background","Female","14","","",""
"2 on scale 1-7 ","2005","indirect migration background","Male","5","","",""
"2 on scale 1-7 ","2005","indirect migration background","Female","3","","",""
"3 on scale 1-7 ","2005","no migration background","Male","165","0.0178812805705122","0.0150422722504347","0.0207202888905896"
"3 on scale 1-7 ","2005","no migration background","Female","211","0.0243159343005505","0.0211550897061048","0.0274767788949961"
"3 on scale 1-7 ","2005","direct migration background","Male","34","0.0335023058890285","0.0229307655880733","0.0440738461899837"
"3 on scale 1-7 ","2005","direct migration background","Female","27","","",""
"3 on scale 1-7 ","2005","indirect migration background","Male","10","","",""
"3 on scale 1-7 ","2005","indirect migration background","Female","13","","",""
"4 on scale 1-7","2005","no migration background","Male","735","0.090817845234957","0.0846618764324228","0.0969738140374912"
"4 on scale 1-7","2005","no migration background","Female","830","0.090568914089687","0.0846794261754042","0.0964584020039698"
"4 on scale 1-7","2005","direct migration background","Male","74","0.0828632967364378","0.0666676367799084","0.0990589566929673"
"4 on scale 1-7","2005","direct migration background","Female","91","0.0697115286298515","0.0555884949650211","0.0838345622946819"
"4 on scale 1-7","2005","indirect migration background","Male","35","0.0960618158584133","0.0672560234535758","0.124867608263251"
"4 on scale 1-7","2005","indirect migration background","Female","36","0.0747671620702395","0.049791083105849","0.0997432410346301"
"5 on scale 1-7","2005","no migration background","Male","1481","0.169485305960092","0.161447730778856","0.177522881141328"
"5 on scale 1-7","2005","no migration background","Female","1551","0.169307636843408","0.161611700975103","0.177003572711713"
"5 on scale 1-7","2005","direct migration background","Male","171","0.162379291147514","0.140712752668422","0.184045829626607"
"5 on scale 1-7","2005","direct migration background","Female","188","0.142307162082997","0.122931964385302","0.161682359780691"
"5 on scale 1-7","2005","indirect migration background","Male","92","0.239429082056185","0.197713974053534","0.281144190058836"
"5 on scale 1-7","2005","indirect migration background","Female","72","0.172272196282753","0.136413486567409","0.208130905998097"
"6 on scale 1-7","2005","no migration background","Male","2920","0.340560970021235","0.330408537231108","0.350713402811362"
"6 on scale 1-7","2005","no migration background","Female","3010","0.318321107399023","0.308761816035089","0.327880398762957"
"6 on scale 1-7","2005","direct migration background","Male","325","0.269291251428039","0.2432306889749","0.295351813881178"
"6 on scale 1-7","2005","direct migration background","Female","333","0.266595894724877","0.242073365042219","0.291118424407535"
"6 on scale 1-7","2005","indirect migration background","Male","104","0.260435436559694","0.217533870110773","0.303337003008616"
"6 on scale 1-7","2005","indirect migration background","Female","116","0.290174458791196","0.247077294622621","0.333271622959771"
"7 Strongly agree","2005","no migration background","Male","2975","0.368628651984643","0.358293369749233","0.378963934220053"
"7 Strongly agree","2005","no migration background","Female","3359","0.37444580938458","0.364513962553764","0.384377656215396"
"7 Strongly agree","2005","direct migration background","Male","493","0.435791361274296","0.406660073525049","0.464922649023543"
"7 Strongly agree","2005","direct migration background","Female","589","0.478642402772756","0.450938541101651","0.50634626444386"
"7 Strongly agree","2005","indirect migration background","Male","156","0.367776253948862","0.320639213781648","0.414913294116077"
"7 Strongly agree","2005","indirect migration background","Female","183","0.429283103529558","0.382280106104588","0.476286100954527"
"1 Strongly disagree","2006","no migration background","Male","","","",""
"1 Strongly disagree","2006","no migration background","Female","","","",""
"1 Strongly disagree","2006","direct migration background","Male","","","",""
"1 Strongly disagree","2006","direct migration background","Female","","","",""
"1 Strongly disagree","2006","indirect migration background","Male","","","",""
"1 Strongly disagree","2006","indirect migration background","Female","","","",""
"2 on scale 1-7 ","2006","no migration background","Male","","","",""
"2 on scale 1-7 ","2006","no migration background","Female","","","",""
"2 on scale 1-7 ","2006","direct migration background","Male","","","",""
"2 on scale 1-7 ","2006","direct migration background","Female","","","",""
