"plh0206i04","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","9","","",""
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","15","","",""
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","3","","",""
"1 Strongly disagree","2005","1-pers.-HH","higher education","2","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","4","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","38","0.0115313516102571","0.00806683830827674","0.0149958649122374"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","6","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","3","","",""
"1 Strongly disagree","2005","Single parent ","in school","2","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","1","","",""
"1 Strongly disagree","2005","Single parent ","middle vocational","5","","",""
"1 Strongly disagree","2005","Single parent ","vocational + Abi","3","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","","","",""
"1 Strongly disagree","2005","Single parent ","higher education","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","6","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","3","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","1","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","1","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","8","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","2","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","2","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","2","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","3","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","2","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","1","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","8","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","13","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","3","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","4","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","4","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","6","","",""
