"plh0206i04","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","Urban Area","18","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","Rural Area","11","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Urban Area","39","0.00950981064624567","0.00675153165241356","0.0122680896400778","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Rural Area","14","","","","1"
"1 Strongly disagree","2005","Single parent ","Urban Area","7","","","","1"
"1 Strongly disagree","2005","Single parent ","Rural Area","4","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Urban Area","7","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Rural Area","2","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Urban Area","9","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Rural Area","5","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Urban Area","6","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Rural Area","2","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","33","0.00675082356590334","0.00442361849934325","0.00907802863246343","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","29","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","9","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Rural Area","8","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Rural Area","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","5","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","14","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Urban Area","24","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Urban Area","6","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","7","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","13","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","10","","","","2"
"3 on scale 1-7 ","2005","1-pers.-HH","Rural Area","10","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","111","0.0215629111601402","0.0174348386393889","0.0256909836808915","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","45","0.0217550886489912","0.0157379454161388","0.0277722318818437","3"
"3 on scale 1-7 ","2005","Single parent ","Urban Area","20","","","","3"
"3 on scale 1-7 ","2005","Single parent ","Rural Area","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","50","0.0154218395662403","0.0106316410993851","0.0202120380330955","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","21","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","48","0.02585522948202","0.0193537657411985","0.0323566932228414","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","29","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","33","0.0267674537797512","0.0172936911292409","0.0362412164302616","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","13","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","Urban Area","51","0.0257895127160818","0.0189809460091639","0.0325980794229996","3"
"4 on scale 1-7","2005","Single parent ","Rural Area","39","0.115183596225041","0.083459066715574","0.146908125734508","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Urban Area","106","0.0904090031290321","0.073576853847586","0.107241152410478","4"
"4 on scale 1-7","2005","1-pers.-HH","Rural Area","69","0.0905075892662619","0.0715407182038748","0.109474460328649","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Urban Area","236","0.0950660365077592","0.0836640255020847","0.106468047513434","4"
"4 on scale 1-7","2005","Single parent ","Urban Area","76","0.108242490261774","0.08537348635345","0.131111494170098","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Rural Area","80","0.0631076219672","0.0491388778654787","0.0770763660689213","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Urban Area","191","0.073532487939577","0.062839971608337","0.084225004270817","4"
"4 on scale 1-7","2005","1-pers.-HH","Urban Area","197","0.0931503544612162","0.0806659558083218","0.105634753114111","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Urban Area","385","0.0838755286578769","0.0759974185693274","0.0917536387464264","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Rural Area","175","0.0781689919998101","0.0670969166067294","0.0892410673928908","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Rural Area","144","0.130939881386538","0.112971885450803","0.148907877322273","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Rural Area","59","0.088816267424625","0.0658615831967134","0.111770951652537","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Urban Area","438","0.162540600159659","0.148198157304642","0.176883043014676","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Urban Area","791","0.15948208690611","0.149076738898081","0.16988743491414","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Rural Area","339","0.136769999030461","0.122597553160764","0.150942444900158","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Rural Area","222","0.20672188133174","0.183458246999809","0.22998551566367","5"
"5 on scale 1-7","2005","Single parent ","Rural Area","59","0.155624645877418","0.119601614803801","0.191647676951036","5"
"5 on scale 1-7","2005","1-pers.-HH","Rural Area","122","0.12279174096444","0.101095245599372","0.144488236329508","5"
"5 on scale 1-7","2005","1-pers.-HH","Urban Area","358","0.175688388164464","0.159341881099929","0.192034895228999","5"
