"plh0206i04","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","Urban Area","4","","","","1"
"1 Strongly disagree","2005","in school","Rural Area","1","","","","1"
"1 Strongly disagree","2005","inadequately","Urban Area","1","","","","1"
"1 Strongly disagree","2005","inadequately","Rural Area","","","","","1"
"1 Strongly disagree","2005","general elemantary","Urban Area","12","","","","1"
"1 Strongly disagree","2005","general elemantary","Rural Area","10","","","","1"
"1 Strongly disagree","2005","middle vocational","Urban Area","59","0.00914765581950252","0.00683957268366214","0.0114557389553429","1"
"1 Strongly disagree","2005","middle vocational","Rural Area","21","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Urban Area","4","","","","1"
"1 Strongly disagree","2005","vocational + Abi","Rural Area","2","","","","1"
"1 Strongly disagree","2005","higher vocational","Urban Area","9","","","","1"
"1 Strongly disagree","2005","higher vocational","Rural Area","5","","","","1"
"1 Strongly disagree","2005","higher education","Urban Area","5","","","","1"
"1 Strongly disagree","2005","higher education","Rural Area","2","","","","1"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","9","","","","2"
"2 on scale 1-7 ","2005","middle vocational","Urban Area","58","0.0112007888239254","0.00864943653674276","0.013752141111108","2"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","22","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","6","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Urban Area","9","","","","2"
"2 on scale 1-7 ","2005","higher vocational","Rural Area","6","","","","2"
"2 on scale 1-7 ","2005","higher education","Urban Area","25","","","","2"
"2 on scale 1-7 ","2005","higher education","Rural Area","8","","","","2"
"2 on scale 1-7 ","2005","in school","Urban Area","1","","","","2"
"2 on scale 1-7 ","2005","in school","Rural Area","2","","","","2"
"2 on scale 1-7 ","2005","inadequately","Urban Area","","","","","2"
"2 on scale 1-7 ","2005","inadequately","Rural Area","","","","","2"
"2 on scale 1-7 ","2005","general elemantary","Urban Area","15","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","2","","","","2"
"3 on scale 1-7 ","2005","general elemantary","Urban Area","36","0.029536321402155","0.0213348533633719","0.0377377894409381","3"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","20","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","153","0.0238456115266706","0.0201468565965721","0.0275443664567691","3"
"3 on scale 1-7 ","2005","in school","Urban Area","16","","","","3"
"3 on scale 1-7 ","2005","in school","Rural Area","11","","","","3"
"3 on scale 1-7 ","2005","inadequately","Urban Area","9","","","","3"
"3 on scale 1-7 ","2005","inadequately","Rural Area","","","","","3"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","67","0.0163484044434415","0.0122672971624101","0.020429511724473","3"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","22","","","","3"
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","4","","","","3"
"3 on scale 1-7 ","2005","higher vocational","Urban Area","20","","","","3"
"3 on scale 1-7 ","2005","higher vocational","Rural Area","9","","","","3"
"3 on scale 1-7 ","2005","higher education","Urban Area","62","0.0167318447673918","0.0121157956848067","0.0213478938499768","3"
"3 on scale 1-7 ","2005","higher education","Rural Area","21","","","","3"
"4 on scale 1-7","2005","middle vocational","Urban Area","513","0.0811887578772869","0.0745673069008308","0.0878102088537429","4"
"4 on scale 1-7","2005","general elemantary","Rural Area","77","0.118057957534821","0.0951322146000937","0.140983700469548","4"
"4 on scale 1-7","2005","higher education","Rural Area","85","0.0761169112902327","0.0611066730017315","0.091127149578734","4"
"4 on scale 1-7","2005","middle vocational","Rural Area","302","0.0811913927262474","0.0724014266812599","0.0899813587712349","4"
"4 on scale 1-7","2005","vocational + Abi","Urban Area","86","0.110490656804891","0.0896348851532736","0.131346428456508","4"
"4 on scale 1-7","2005","in school","Urban Area","56","0.114345211869391","0.084910068888412","0.143780354850369","4"
"4 on scale 1-7","2005","in school","Rural Area","24","","","","4"
"4 on scale 1-7","2005","vocational + Abi","Rural Area","27","","","","4"
"4 on scale 1-7","2005","higher vocational","Urban Area","96","0.0960201923351773","0.0777689806229832","0.114271404047371","4"
"4 on scale 1-7","2005","higher vocational","Rural Area","39","0.0824973733553881","0.059670064743203","0.105324681967573","4"
"4 on scale 1-7","2005","higher education","Urban Area","286","0.0960970796768074","0.0854904231011315","0.106703736252483","4"
"4 on scale 1-7","2005","inadequately","Urban Area","14","","","","4"
"4 on scale 1-7","2005","inadequately","Rural Area","12","","","","4"
"4 on scale 1-7","2005","general elemantary","Urban Area","146","0.0917823274145459","0.0777961749355372","0.105768479893555","4"
"5 on scale 1-7","2005","higher vocational","Urban Area","149","0.162865089907914","0.139991054946419","0.185739124869409","5"
"5 on scale 1-7","2005","higher vocational","Rural Area","108","0.195327202775912","0.162432799169271","0.228221606382553","5"
"5 on scale 1-7","2005","higher education","Urban Area","577","0.190912596585342","0.176768424557513","0.205056768613172","5"
"5 on scale 1-7","2005","higher education","Rural Area","201","0.159595654091734","0.138865946563088","0.180325361620379","5"
"5 on scale 1-7","2005","in school","Urban Area","89","0.205008624616467","0.167667087161042","0.242350162071893","5"
"5 on scale 1-7","2005","in school","Rural Area","31","0.129102085800937","0.082514328165739","0.175689843436136","5"
"5 on scale 1-7","2005","inadequately","Urban Area","28","","","","5"
"5 on scale 1-7","2005","inadequately","Rural Area","6","","","","5"
"5 on scale 1-7","2005","general elemantary","Urban Area","284","0.167175613354049","0.149100254392981","0.185250972315116","5"
"5 on scale 1-7","2005","general elemantary","Rural Area","131","0.157256038041684","0.131391349546624","0.183120726536743","5"
"5 on scale 1-7","2005","middle vocational","Urban Area","1068","0.163859195372856","0.154885585447255","0.172832805298457","5"
"5 on scale 1-7","2005","middle vocational","Rural Area","609","0.160430072588606","0.148618954777412","0.172241190399801","5"
"5 on scale 1-7","2005","vocational + Abi","Urban Area","166","0.175058617624315","0.149777776414583","0.200339458834048","5"
"5 on scale 1-7","2005","vocational + Abi","Rural Area","48","0.187753467856533","0.140646620039366","0.2348603156737","5"
"6 on scale 1-7","2005","higher education","Urban Area","1056","0.346093850968634","0.328973322350053","0.363214379587214","6"
"6 on scale 1-7","2005","higher education","Rural Area","461","0.384178379573816","0.356646717791167","0.411710041356465","6"
"6 on scale 1-7","2005","in school","Urban Area","142","0.289180977970214","0.247244756010738","0.33111719992969","6"
"6 on scale 1-7","2005","in school","Rural Area","72","0.341834118014778","0.27593236926516","0.407735866764397","6"
"6 on scale 1-7","2005","inadequately","Urban Area","41","0.282007421148718","0.215716858660681","0.348297983636755","6"
"6 on scale 1-7","2005","inadequately","Rural Area","13","","","","6"
"6 on scale 1-7","2005","general elemantary","Urban Area","434","0.267780951427259","0.246330615256793","0.289231287597725","6"
"6 on scale 1-7","2005","general elemantary","Rural Area","248","0.305945996863418","0.273206290355466","0.338685703371371","6"
"6 on scale 1-7","2005","middle vocational","Urban Area","2108","0.313192120371262","0.301948268452025","0.324435972290499","6"
"6 on scale 1-7","2005","middle vocational","Rural Area","1224","0.317194401129047","0.302217189460518","0.332171612797576","6"
"6 on scale 1-7","2005","vocational + Abi","Urban Area","296","0.366317001724556","0.334265174431132","0.39836882901798","6"
"6 on scale 1-7","2005","vocational + Abi","Rural Area","96","0.359092727312151","0.301223586793673","0.41696186783063","6"
"6 on scale 1-7","2005","higher vocational","Urban Area","358","0.347445319113324","0.317947986898413","0.376942651328234","6"
"6 on scale 1-7","2005","higher vocational","Rural Area","186","0.316973850366013","0.278367266475339","0.355580434256687","6"
