"plh0206i04","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","71","0.0126307004679846","0.0100286979846327","0.0152327029513364"
"1 Strongly disagree","2005","secondary school degree","38","0.00570474385928151","0.0038017655253159","0.00760772219324712"
"1 Strongly disagree","2005","college entrance qualification","","","",""
"1 Strongly disagree","2005","Other degree","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","62","0.0117488201488646","0.00923817706366726","0.0142594632340619"
"2 on scale 1-7 ","2005","secondary school degree","47","0.00784856734153016","0.00561888876181191","0.0100782459212484"
"2 on scale 1-7 ","2005","college entrance qualification","45","0.0100653952552061","0.00734864006977338","0.0127821504406387"
"2 on scale 1-7 ","2005","Other degree","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","158","0.0236848658214757","0.0201417556722485","0.027227975970703"
"3 on scale 1-7 ","2005","secondary school degree","113","0.0179122965762065","0.0145610309069435","0.0212635622454694"
"3 on scale 1-7 ","2005","college entrance qualification","115","0.0211185480857429","0.0172053763054609","0.0250317198660248"
"3 on scale 1-7 ","2005","Other degree","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","37","0.0455778613399705","0.0319213015666816","0.0592344211132593"
"4 on scale 1-7","2005","lower secondary degree","549","0.0841581063566722","0.0776894748880827","0.0906267378252616"
"4 on scale 1-7","2005","secondary school degree","512","0.0862839146691273","0.0791893028051362","0.0933785265331184"
"4 on scale 1-7","2005","college entrance qualification","496","0.0946025501750545","0.0866372363702843","0.102567863979825"
"4 on scale 1-7","2005","Other degree","93","0.0968908472952846","0.0795667514245996","0.11421494316597"
"4 on scale 1-7","2005","no degree/no degree yet","107","0.101477463560652","0.08170579256441","0.121249134556895"
"5 on scale 1-7","2005","lower secondary degree","1119","0.154761827712332","0.146334776076167","0.163188879348497"
"5 on scale 1-7","2005","secondary school degree","1011","0.167817986478986","0.158375497193073","0.177260475764898"
"5 on scale 1-7","2005","college entrance qualification","1028","0.201919233393816","0.190993663454518","0.212844803333114"
"5 on scale 1-7","2005","Other degree","168","0.139362559489013","0.11908002354477","0.159645095433256"
"5 on scale 1-7","2005","no degree/no degree yet","154","0.161642498887175","0.137538644709459","0.18574635306489"
"6 on scale 1-7","2005","lower secondary degree","2180","0.295426144629435","0.284795933157773","0.306056356101096"
"6 on scale 1-7","2005","secondary school degree","2031","0.338590940396186","0.326633703825026","0.350548176967347"
"6 on scale 1-7","2005","college entrance qualification","1910","0.359612218091041","0.346551394221355","0.372673041960727"
"6 on scale 1-7","2005","Other degree","306","0.278682651401433","0.252424917949055","0.30494038485381"
"6 on scale 1-7","2005","no degree/no degree yet","274","0.291729319819202","0.261965836423534","0.32149280321487"
"7 Strongly agree","2005","lower secondary degree","2937","0.417589534863236","0.4060989120973","0.429080157629172"
"7 Strongly agree","2005","secondary school degree","2265","0.375841550678683","0.363603622279888","0.388079479077477"
"7 Strongly agree","2005","college entrance qualification","1582","0.310782984923918","0.29818681685098","0.323379152996856"
"7 Strongly agree","2005","Other degree","514","0.451247463717022","0.422104431466199","0.480390495967844"
"7 Strongly agree","2005","no degree/no degree yet","314","0.384286309976777","0.352436199156201","0.416136420797352"
"1 Strongly disagree","2006","lower secondary degree","","","",""
"1 Strongly disagree","2006","secondary school degree","","","",""
"1 Strongly disagree","2006","college entrance qualification","","","",""
"1 Strongly disagree","2006","Other degree","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","","","",""
"2 on scale 1-7 ","2006","secondary school degree","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","","","",""
"2 on scale 1-7 ","2006","Other degree","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","","","",""
"3 on scale 1-7 ","2006","secondary school degree","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","","","",""
"3 on scale 1-7 ","2006","Other degree","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"4 on scale 1-7","2006","lower secondary degree","","","",""
"4 on scale 1-7","2006","secondary school degree","","","",""
"4 on scale 1-7","2006","college entrance qualification","","","",""
"4 on scale 1-7","2006","Other degree","","","",""
"4 on scale 1-7","2006","no degree/no degree yet","","","",""
"5 on scale 1-7","2006","lower secondary degree","","","",""
"5 on scale 1-7","2006","secondary school degree","","","",""
"5 on scale 1-7","2006","college entrance qualification","","","",""
"5 on scale 1-7","2006","Other degree","","","",""
"5 on scale 1-7","2006","no degree/no degree yet","","","",""
"6 on scale 1-7","2006","lower secondary degree","","","",""
"6 on scale 1-7","2006","secondary school degree","","","",""
"6 on scale 1-7","2006","college entrance qualification","","","",""
"6 on scale 1-7","2006","Other degree","","","",""
"6 on scale 1-7","2006","no degree/no degree yet","","","",""
"7 Strongly agree","2006","lower secondary degree","","","",""
"7 Strongly agree","2006","secondary school degree","","","",""
"7 Strongly agree","2006","college entrance qualification","","","",""
"7 Strongly agree","2006","Other degree","","","",""
"7 Strongly agree","2006","no degree/no degree yet","","","",""
"1 Strongly disagree","2007","lower secondary degree","","","",""
"1 Strongly disagree","2007","secondary school degree","","","",""
"1 Strongly disagree","2007","college entrance qualification","","","",""
"1 Strongly disagree","2007","Other degree","","","",""
"1 Strongly disagree","2007","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2007","lower secondary degree","","","",""
"2 on scale 1-7 ","2007","secondary school degree","","","",""
"2 on scale 1-7 ","2007","college entrance qualification","","","",""
"2 on scale 1-7 ","2007","Other degree","","","",""
"2 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2007","lower secondary degree","","","",""
"3 on scale 1-7 ","2007","secondary school degree","","","",""
