"plh0206i04","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","Male","7","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","Female","22","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Male","25","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Female","28","","","","1"
"1 Strongly disagree","2005","Single parent ","Male","1","","","","1"
"1 Strongly disagree","2005","Single parent ","Female","10","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Male","4","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Female","5","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Male","7","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Female","7","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Male","2","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Female","6","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Male","20","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","18","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","8","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Female","26","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Female","6","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","6","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Female","27","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Male","6","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Male","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","18","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","12","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","11","","","","2"
"3 on scale 1-7 ","2005","1-pers.-HH","Female","43","0.0301512613779648","0.0220462284933801","0.0382562942625495","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Male","70","0.0183123339128027","0.0138525198825619","0.0227721479430434","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Female","86","0.0250523344542066","0.0199055193718857","0.0301991495365275","3"
"3 on scale 1-7 ","2005","Single parent ","Male","12","","","","3"
"3 on scale 1-7 ","2005","Single parent ","Female","19","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","36","0.0193496136328994","0.013007087796118","0.0256921394696809","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","35","0.0190714169334122","0.012911593284998","0.0252312405818265","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","39","0.0270934000487405","0.0198179822936578","0.0343688178038233","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","38","0.0161454417196227","0.0102064125798852","0.0220844708593602","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","26","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","20","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","Male","18","","","","3"
"4 on scale 1-7","2005","Single parent ","Female","74","0.105662987343425","0.0837790464527875","0.127546928234063","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Male","91","0.0938833194760319","0.0743900293578521","0.113376609594212","4"
"4 on scale 1-7","2005","1-pers.-HH","Female","159","0.0945296311687322","0.0806629944199259","0.108396267917539","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Male","135","0.0793672611565049","0.066921172259033","0.0918133500539769","4"
"4 on scale 1-7","2005","Single parent ","Male","41","0.119932180896646","0.0853991602397594","0.154465201553533","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Female","181","0.0917311422274977","0.0787317299952073","0.104730554459788","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Male","173","0.100711867810515","0.0872259545411323","0.114197781079897","4"
"4 on scale 1-7","2005","1-pers.-HH","Male","107","0.0897344216484011","0.0738970528413856","0.105571790455417","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Male","274","0.0864600709089974","0.0771118322010802","0.0958083096169147","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Female","286","0.0775178958567236","0.0687113870178047","0.0863244046956426","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Female","162","0.0852433665189468","0.0720848139538421","0.0984019190840515","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Female","74","0.0854440710569691","0.0665960465592071","0.104292095554731","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Male","345","0.187928732288549","0.169941569762686","0.205915894814411","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Male","563","0.149725518126338","0.137857294585033","0.161593741667642","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Female","567","0.154929911372195","0.143013710546404","0.166846112197986","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Female","315","0.163280792830401","0.146634576927693","0.179927008733109","5"
"5 on scale 1-7","2005","Single parent ","Female","111","0.146343544293405","0.121181736692845","0.171505351893966","5"
"5 on scale 1-7","2005","1-pers.-HH","Female","265","0.154192555521412","0.137075955957413","0.171309155085411","5"
"5 on scale 1-7","2005","1-pers.-HH","Male","215","0.170477936299111","0.149639386275105","0.191316486323118","5"
"5 on scale 1-7","2005","Single parent ","Male","55","0.148048654459002","0.110298540986347","0.185798767931656","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Male","373","0.195184549265888","0.177423792087719","0.212945306444057","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Female","343","0.223767088003945","0.204128097012354","0.243406078995536","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Male","153","0.19820701785365","0.171563626474476","0.224850409232823","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Female","148","0.183976458289723","0.157851704415066","0.21010121216438","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Male","283","0.280774564132394","0.250740765452456","0.310808362812331","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Female","257","0.305742457300176","0.274678418798157","0.336806495802196","6"
"6 on scale 1-7","2005","Single parent ","Female","236","0.299088606119427","0.266494056648397","0.331683155590457","6"
"6 on scale 1-7","2005","1-pers.-HH","Female","502","0.288177285939837","0.266710559085662","0.309644012794011","6"
"6 on scale 1-7","2005","1-pers.-HH","Male","405","0.325221834879581","0.299262725130376","0.351180944628786","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Female","618","0.312831406511556","0.291950712537909","0.333712100485203","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Female","569","0.322438378275991","0.300413029060252","0.34446372749173","6"
"6 on scale 1-7","2005","(Married) couple without C. ","Male","1154","0.327945921107323","0.312330220990187","0.343561621224458","6"
"6 on scale 1-7","2005","(Married) couple without C. ","Female","1186","0.329186177901172","0.313710645116284","0.34466171068606","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Male","673","0.338617161160531","0.31741053653039","0.359823785790671","6"
"6 on scale 1-7","2005","Single parent ","Male","114","0.335906439366519","0.285703120140408","0.386109758592629","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Male","641","0.343148367636201","0.321288697468591","0.365008037803811","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Male","297","0.377301555338476","0.344906251795641","0.409696858881311","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Female","334","0.386012376526241","0.353187722316619","0.418837030735864","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","Female","722","0.395162135711297","0.373144775317476","0.417179496105118","7"
"7 Strongly agree","2005","1-pers.-HH","Male","493","0.39338824003751","0.366318409602456","0.420458070472565","7"
"7 Strongly agree","2005","(Married) couple without C. ","Male","1366","0.404531664661218","0.38820626470895","0.420857064613486","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","Male","636","0.329005431757033","0.307950606455331","0.350060257058735","7"
"7 Strongly agree","2005","Single parent ","Male","115","0.349343715038578","0.298666713071181","0.400020717005974","7"
"7 Strongly agree","2005","Single parent ","Female","302","0.396962184150646","0.362131634337107","0.431792733964185","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","Male","633","0.353555394267858","0.331543197509721","0.375567591025996","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","Female","600","0.344878422828558","0.322479919320286","0.36727692633683","7"
"7 Strongly agree","2005","1-pers.-HH","Female","693","0.400567166301336","0.377342045921896","0.423792286680776","7"
"7 Strongly agree","2005","(Married) couple without C. ","Female","1362","0.394701319501357","0.378604392842493","0.41079824616022","7"
"1 Strongly disagree","2006","1-pers.-HH","Male","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","Female","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","Male","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","Female","","","","","1"
"1 Strongly disagree","2006","Single parent ","Male","","","","","1"
"1 Strongly disagree","2006","Single parent ","Female","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","Male","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","Female","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","Male","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","Female","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","Male","","","","","1"
