"plh0206i04","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","no migration background","","","",""
"1 Strongly disagree","2005","16-34 y.","direct migration background","","","",""
"1 Strongly disagree","2005","16-34 y.","indirect migration background","","","",""
"1 Strongly disagree","2005","35-65 y.","no migration background","54","0.0073257664260304","0.00565152702605468","0.00900000582600613"
"1 Strongly disagree","2005","35-65 y.","direct migration background","","","",""
"1 Strongly disagree","2005","35-65 y.","indirect migration background","","","",""
"1 Strongly disagree","2005","66 and older","no migration background","49","0.0158128397223866","0.011618956913274","0.0200067225314991"
"1 Strongly disagree","2005","66 and older","direct migration background","","","",""
"1 Strongly disagree","2005","66 and older","indirect migration background","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no migration background","36","0.0120390424355884","0.00871170596409826","0.0153663789070784"
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","","","",""
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2005","35-65 y.","no migration background","72","0.00801319914598752","0.00626277391615208","0.00976362437582296"
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","","","",""
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2005","66 and older","no migration background","","","",""
"2 on scale 1-7 ","2005","66 and older","direct migration background","","","",""
"2 on scale 1-7 ","2005","66 and older","indirect migration background","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no migration background","93","0.0204525190500281","0.0161341773348942","0.0247708607651621"
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","","","",""
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2005","35-65 y.","no migration background","203","0.0215331774479146","0.0186833749589898","0.0243829799368394"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","34","0.0277293560348546","0.0193299506604284","0.0361287614092808"
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2005","66 and older","no migration background","80","0.0211024205575424","0.0162706392090073","0.0259342019060775"
"3 on scale 1-7 ","2005","66 and older","direct migration background","","","",""
"3 on scale 1-7 ","2005","66 and older","indirect migration background","","","",""
"4 on scale 1-7","2005","16-34 y.","no migration background","413","0.0978075734913963","0.0887446839376375","0.106870463045155"
"4 on scale 1-7","2005","16-34 y.","direct migration background","31","0.0842712639679343","0.0605763953451663","0.107966132590702"
"4 on scale 1-7","2005","16-34 y.","indirect migration background","55","0.0896973938222454","0.0679302271992007","0.11146456044529"
"4 on scale 1-7","2005","35-65 y.","no migration background","849","0.0842796494701123","0.0788254572086234","0.0897338417316013"
"4 on scale 1-7","2005","35-65 y.","direct migration background","107","0.0757804048988687","0.0622425108777637","0.0893182989199736"
"4 on scale 1-7","2005","35-65 y.","indirect migration background","","","",""
"4 on scale 1-7","2005","66 and older","no migration background","303","0.0982846146117405","0.0882765518967556","0.108292677326725"
"4 on scale 1-7","2005","66 and older","direct migration background","","","",""
"4 on scale 1-7","2005","66 and older","indirect migration background","","","",""
"5 on scale 1-7","2005","16-34 y.","no migration background","805","0.197086263904097","0.184949763382616","0.209222764425578"
"5 on scale 1-7","2005","16-34 y.","direct migration background","90","0.198592884790731","0.164564638384307","0.232621131197156"
"5 on scale 1-7","2005","16-34 y.","indirect migration background","127","0.194097605651294","0.163969598319408","0.224225612983181"
"5 on scale 1-7","2005","35-65 y.","no migration background","1699","0.164800661011031","0.157516790857189","0.172084531164873"
"5 on scale 1-7","2005","35-65 y.","direct migration background","209","0.132308249366663","0.114975747363974","0.149640751369353"
"5 on scale 1-7","2005","35-65 y.","indirect migration background","33","0.243695984658289","0.175891234446605","0.311500734869974"
"5 on scale 1-7","2005","66 and older","no migration background","528","0.15299556330626","0.140893629592843","0.165097497019677"
"5 on scale 1-7","2005","66 and older","direct migration background","60","0.149076123316417","0.112587544490848","0.185564702141985"
"5 on scale 1-7","2005","66 and older","indirect migration background","","","",""
"6 on scale 1-7","2005","16-34 y.","no migration background","1463","0.352304889037879","0.337730998575512","0.366878779500245"
"6 on scale 1-7","2005","16-34 y.","direct migration background","146","0.241513416448278","0.205006452907312","0.278020379989244"
"6 on scale 1-7","2005","16-34 y.","indirect migration background","172","0.278283810836611","0.244145164938137","0.312422456735084"
"6 on scale 1-7","2005","35-65 y.","no migration background","3412","0.330589415581637","0.321353532862423","0.339825298300852"
"6 on scale 1-7","2005","35-65 y.","direct migration background","416","0.282949778146175","0.259908077536323","0.305991478756026"
"6 on scale 1-7","2005","35-65 y.","indirect migration background","44","0.265379436335593","0.195644099209221","0.335114773461964"
"6 on scale 1-7","2005","66 and older","no migration background","1055","0.303498631720788","0.288042106587139","0.318955156854437"
"6 on scale 1-7","2005","66 and older","direct migration background","96","0.254709613145023","0.210072820997135","0.299346405292912"
"6 on scale 1-7","2005","66 and older","indirect migration background","","","",""
"7 Strongly agree","2005","16-34 y.","no migration background","1301","0.316570771514266","0.302379770269174","0.330761772759359"
"7 Strongly agree","2005","16-34 y.","direct migration background","237","0.429267542650255","0.387048202480012","0.471486882820497"
"7 Strongly agree","2005","16-34 y.","indirect migration background","279","0.402152654142521","0.364801010395037","0.439504297890006"
"7 Strongly agree","2005","35-65 y.","no migration background","3677","0.383458130917287","0.373911988429031","0.393004273405543"
"7 Strongly agree","2005","35-65 y.","direct migration background","682","0.468262039849764","0.442736298034977","0.493787781664551"
"7 Strongly agree","2005","35-65 y.","indirect migration background","57","0.386922829065671","0.309999604685671","0.463846053445671"
"7 Strongly agree","2005","66 and older","no migration background","1356","0.398082740479235","0.38162661534062","0.414538865617849"
"7 Strongly agree","2005","66 and older","direct migration background","163","0.468201295382447","0.417080513064594","0.519322077700301"
"7 Strongly agree","2005","66 and older","indirect migration background","","","",""
"1 Strongly disagree","2006","16-34 y.","no migration background","","","",""
"1 Strongly disagree","2006","16-34 y.","direct migration background","","","",""
"1 Strongly disagree","2006","16-34 y.","indirect migration background","","","",""
"1 Strongly disagree","2006","35-65 y.","no migration background","","","",""
"1 Strongly disagree","2006","35-65 y.","direct migration background","","","",""
"1 Strongly disagree","2006","35-65 y.","indirect migration background","","","",""
"1 Strongly disagree","2006","66 and older","no migration background","","","",""
"1 Strongly disagree","2006","66 and older","direct migration background","","","",""
"1 Strongly disagree","2006","66 and older","indirect migration background","","","",""
"2 on scale 1-7 ","2006","16-34 y.","no migration background","","","",""
"2 on scale 1-7 ","2006","16-34 y.","direct migration background","","","",""
"2 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2006","35-65 y.","no migration background","","","",""
"2 on scale 1-7 ","2006","35-65 y.","direct migration background","","","",""
"2 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2006","66 and older","no migration background","","","",""
"2 on scale 1-7 ","2006","66 and older","direct migration background","","","",""
"2 on scale 1-7 ","2006","66 and older","indirect migration background","","","",""
"3 on scale 1-7 ","2006","16-34 y.","no migration background","","","",""
"3 on scale 1-7 ","2006","16-34 y.","direct migration background","","","",""
"3 on scale 1-7 ","2006","16-34 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2006","35-65 y.","no migration background","","","",""
"3 on scale 1-7 ","2006","35-65 y.","direct migration background","","","",""
"3 on scale 1-7 ","2006","35-65 y.","indirect migration background","","","",""
"3 on scale 1-7 ","2006","66 and older","no migration background","","","",""
"3 on scale 1-7 ","2006","66 and older","direct migration background","","","",""
"3 on scale 1-7 ","2006","66 and older","indirect migration background","","","",""
"4 on scale 1-7","2006","16-34 y.","no migration background","","","",""
"4 on scale 1-7","2006","16-34 y.","direct migration background","","","",""
"4 on scale 1-7","2006","16-34 y.","indirect migration background","","","",""
"4 on scale 1-7","2006","35-65 y.","no migration background","","","",""
"4 on scale 1-7","2006","35-65 y.","direct migration background","","","",""
"4 on scale 1-7","2006","35-65 y.","indirect migration background","","","",""
"4 on scale 1-7","2006","66 and older","no migration background","","","",""
"4 on scale 1-7","2006","66 and older","direct migration background","","","",""
"4 on scale 1-7","2006","66 and older","indirect migration background","","","",""
