"plh0206i04","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","in school","","","",""
"1 Strongly disagree","2005","no migration background","inadequately","","","",""
"1 Strongly disagree","2005","no migration background","general elemantary","","","",""
"1 Strongly disagree","2005","no migration background","middle vocational","68","0.00904829280637809","0.00709621346241773","0.0110003721503384"
"1 Strongly disagree","2005","no migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","no migration background","higher vocational","","","",""
"1 Strongly disagree","2005","no migration background","higher education","","","",""
"1 Strongly disagree","2005","direct migration background","in school","","","",""
"1 Strongly disagree","2005","direct migration background","inadequately","","","",""
"1 Strongly disagree","2005","direct migration background","general elemantary","","","",""
"1 Strongly disagree","2005","direct migration background","middle vocational","","","",""
"1 Strongly disagree","2005","direct migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","direct migration background","higher vocational","","","",""
"1 Strongly disagree","2005","direct migration background","higher education","","","",""
"1 Strongly disagree","2005","indirect migration background","in school","","","",""
"1 Strongly disagree","2005","indirect migration background","inadequately","","","",""
"1 Strongly disagree","2005","indirect migration background","general elemantary","","","",""
"1 Strongly disagree","2005","indirect migration background","middle vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","","","",""
"1 Strongly disagree","2005","indirect migration background","higher vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","higher education","","","",""
"2 on scale 1-7 ","2005","no migration background","in school","","","",""
"2 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","no migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","no migration background","middle vocational","65","0.00852671308072408","0.0066312329717056","0.0104221931897426"
"2 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","no migration background","higher education","","","",""
"2 on scale 1-7 ","2005","direct migration background","in school","","","",""
"2 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"2 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"2 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"3 on scale 1-7 ","2005","no migration background","in school","","","",""
"3 on scale 1-7 ","2005","no migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","no migration background","general elemantary","35","0.02049424701687","0.0136599471051113","0.0273285469286288"
"3 on scale 1-7 ","2005","no migration background","middle vocational","192","0.020749542920183","0.0178109525135765","0.0236881333267895"
"3 on scale 1-7 ","2005","no migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","no migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","no migration background","higher education","71","0.0179440581006249","0.013698705698011","0.0221894105032389"
"3 on scale 1-7 ","2005","direct migration background","in school","","","",""
"3 on scale 1-7 ","2005","direct migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","direct migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","direct migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","direct migration background","higher education","","","",""
"3 on scale 1-7 ","2005","indirect migration background","in school","","","",""
"3 on scale 1-7 ","2005","indirect migration background","inadequately","","","",""
"3 on scale 1-7 ","2005","indirect migration background","general elemantary","","","",""
"3 on scale 1-7 ","2005","indirect migration background","middle vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher vocational","","","",""
"3 on scale 1-7 ","2005","indirect migration background","higher education","","","",""
"4 on scale 1-7","2005","no migration background","in school","68","0.128451902719172","0.0992117222392108","0.157692083199133"
"4 on scale 1-7","2005","no migration background","inadequately","","","",""
"4 on scale 1-7","2005","no migration background","general elemantary","167","0.107288452607718","0.0923602809121221","0.122216624303314"
"4 on scale 1-7","2005","no migration background","middle vocational","733","0.0821741930708799","0.0765126377633886","0.0878357483783712"
"4 on scale 1-7","2005","no migration background","vocational + Abi","92","0.111851889861998","0.0909082179507011","0.132795561773296"
"4 on scale 1-7","2005","no migration background","higher vocational","125","0.0937953460992996","0.0784411531618564","0.109149539036743"
"4 on scale 1-7","2005","no migration background","higher education","343","0.0938241585415128","0.08449915773213","0.103149159350896"
"4 on scale 1-7","2005","direct migration background","in school","","","",""
"4 on scale 1-7","2005","direct migration background","inadequately","","","",""
"4 on scale 1-7","2005","direct migration background","general elemantary","45","0.079816515495592","0.0574701207471395","0.102162910244044"
"4 on scale 1-7","2005","direct migration background","middle vocational","58","0.0773174475242317","0.0595794772879669","0.0950554177604964"
"4 on scale 1-7","2005","direct migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"4 on scale 1-7","2005","direct migration background","higher education","","","",""
"4 on scale 1-7","2005","indirect migration background","in school","","","",""
"4 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"4 on scale 1-7","2005","indirect migration background","general elemantary","","","",""
"4 on scale 1-7","2005","indirect migration background","middle vocational","","","",""
"4 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"4 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"4 on scale 1-7","2005","indirect migration background","higher education","","","",""
"5 on scale 1-7","2005","no migration background","in school","85","0.143700170606824","0.113044863652618","0.17435547756103"
"5 on scale 1-7","2005","no migration background","inadequately","","","",""
"5 on scale 1-7","2005","no migration background","general elemantary","286","0.162913077327838","0.145100047026641","0.180726107629036"
"5 on scale 1-7","2005","no migration background","middle vocational","1497","0.163845457757238","0.156215038915082","0.171475876599394"
"5 on scale 1-7","2005","no migration background","vocational + Abi","171","0.188850337857539","0.162842883583551","0.214857792131528"
"5 on scale 1-7","2005","no migration background","higher vocational","234","0.176993252109567","0.156892918900261","0.197093585318873"
"5 on scale 1-7","2005","no migration background","higher education","709","0.186940627777791","0.174472585168882","0.199408670386701"
"5 on scale 1-7","2005","direct migration background","in school","","","",""
"5 on scale 1-7","2005","direct migration background","inadequately","","","",""
"5 on scale 1-7","2005","direct migration background","general elemantary","102","0.18072218911081","0.148994006038029","0.21245037218359"
"5 on scale 1-7","2005","direct migration background","middle vocational","117","0.13466998789345","0.111999268195564","0.157340707591336"
"5 on scale 1-7","2005","direct migration background","vocational + Abi","32","0.129487988183907","0.0847142514598239","0.174261724907989"
"5 on scale 1-7","2005","direct migration background","higher vocational","","","",""
"5 on scale 1-7","2005","direct migration background","higher education","52","0.150977986264771","0.112977671741372","0.188978300788169"
"5 on scale 1-7","2005","indirect migration background","in school","","","",""
"5 on scale 1-7","2005","indirect migration background","inadequately","","","",""
"5 on scale 1-7","2005","indirect migration background","general elemantary","","","",""
"5 on scale 1-7","2005","indirect migration background","middle vocational","63","0.214661469673009","0.170694028682037","0.258628910663981"
"5 on scale 1-7","2005","indirect migration background","vocational + Abi","","","",""
"5 on scale 1-7","2005","indirect migration background","higher vocational","","","",""
"5 on scale 1-7","2005","indirect migration background","higher education","","","",""
"6 on scale 1-7","2005","no migration background","in school","180","0.338705700276937","0.29734644207081","0.380064958483064"
"6 on scale 1-7","2005","no migration background","inadequately","","","",""
"6 on scale 1-7","2005","no migration background","general elemantary","497","0.290865670299018","0.268958562630761","0.312772777967275"
"6 on scale 1-7","2005","no migration background","middle vocational","2984","0.321354379272916","0.311727145124326","0.330981613421506"
"6 on scale 1-7","2005","no migration background","vocational + Abi","323","0.398981370707641","0.366442030652743","0.43152071076254"
"6 on scale 1-7","2005","no migration background","higher vocational","484","0.339933382678289","0.314986631417865","0.364880133938712"
"6 on scale 1-7","2005","no migration background","higher education","1393","0.362125534623331","0.346755229726083","0.377495839520579"
"6 on scale 1-7","2005","direct migration background","in school","","","",""
"6 on scale 1-7","2005","direct migration background","inadequately","38","0.311636167121538","0.23598775889525","0.387284575347826"
"6 on scale 1-7","2005","direct migration background","general elemantary","129","0.231453007175007","0.196676136943625","0.266229877406388"
"6 on scale 1-7","2005","direct migration background","middle vocational","259","0.267141256565202","0.237756666760255","0.296525846370149"
"6 on scale 1-7","2005","direct migration background","vocational + Abi","60","0.265048245294379","0.206189215690141","0.323907274898617"
"6 on scale 1-7","2005","direct migration background","higher vocational","46","0.299661864705854","0.221805898790407","0.377517830621301"
