"plh0206i04","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","West Germany","67","0.013657930306432","0.0106587185573422","0.0166571420555217","1"
"1 Strongly disagree","2005","Not Employed","East Germany","13","","","","1"
"1 Strongly disagree","2005","Employed","West Germany","43","0.00495732746938143","0.00357293100631606","0.0063417239324468","1"
"1 Strongly disagree","2005","Employed","East Germany","13","","","","1"
"2 on scale 1-7 ","2005","Not Employed","East Germany","21","","","","2"
"2 on scale 1-7 ","2005","Employed","West Germany","77","0.00808307513149929","0.00631808702984811","0.00984806323315046","2"
"2 on scale 1-7 ","2005","Employed","East Germany","18","","","","2"
"2 on scale 1-7 ","2005","Not Employed","West Germany","51","0.0118124122776558","0.00902057630085853","0.0146042482544532","2"
"3 on scale 1-7 ","2005","Not Employed","East Germany","46","0.0260413497098858","0.0192298859846612","0.0328528134351105","3"
"3 on scale 1-7 ","2005","Employed","West Germany","221","0.0230945972737068","0.0201338776899523","0.0260553168574613","3"
"3 on scale 1-7 ","2005","Employed","East Germany","55","0.0176570916865207","0.0128980676311606","0.0224161157418809","3"
"3 on scale 1-7 ","2005","Not Employed","West Germany","138","0.0222193483781737","0.0184105561458909","0.0260281406104566","3"
"4 on scale 1-7","2005","Employed","East Germany","237","0.0883754234458007","0.0781188918294946","0.0986319550621068","4"
"4 on scale 1-7","2005","Not Employed","East Germany","208","0.098046794019859","0.0853279645144894","0.110765623525229","4"
"4 on scale 1-7","2005","Employed","West Germany","834","0.0841090957159386","0.078638190648506","0.0895800007833711","4"
"4 on scale 1-7","2005","Not Employed","West Germany","522","0.0929869795629053","0.0854825318625276","0.100491427263283","4"
"5 on scale 1-7","2005","Employed","West Germany","1754","0.175328674317712","0.167833482608531","0.182823866026893","5"
"5 on scale 1-7","2005","Not Employed","East Germany","348","0.147016576088272","0.131870787463476","0.162162364713067","5"
"5 on scale 1-7","2005","Not Employed","West Germany","974","0.165269267528277","0.155671501539648","0.174867033516905","5"
"5 on scale 1-7","2005","Employed","East Germany","479","0.162736571787532","0.149398274309582","0.176074869265481","5"
"6 on scale 1-7","2005","Employed","West Germany","3330","0.328093689673109","0.318838845247328","0.337348534098889","6"
