"plh0206i04","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","Male","27","","","","1"
"1 Strongly disagree","2005","Not Employed","Female","53","0.0143652618292277","0.01096342141832","0.0177671022401353","1"
"1 Strongly disagree","2005","Employed","Male","21","","","","1"
"1 Strongly disagree","2005","Employed","Female","35","0.00527770258122013","0.0034589929098622","0.00709641225257805","1"
"2 on scale 1-7 ","2005","Not Employed","Female","55","0.0154286289419319","0.0119050303241864","0.0189522275596774","2"
"2 on scale 1-7 ","2005","Employed","Male","50","0.00728605560469866","0.00525447368465179","0.00931763752474554","2"
"2 on scale 1-7 ","2005","Employed","Female","45","0.00881338334488697","0.00646732375784174","0.0111594429319322","2"
"2 on scale 1-7 ","2005","Not Employed","Male","17","","","","2"
"3 on scale 1-7 ","2005","Not Employed","Female","100","0.022448416703991","0.0182133343342596","0.0266834990737225","3"
"3 on scale 1-7 ","2005","Employed","Male","125","0.0184049621352625","0.0151941885703567","0.0216157357001682","3"
"3 on scale 1-7 ","2005","Employed","Female","151","0.026710832939813","0.0226636330566977","0.0307580328229283","3"
"3 on scale 1-7 ","2005","Not Employed","Male","84","0.0239055385302834","0.0185736471226048","0.029237429937962","3"
"4 on scale 1-7","2005","Employed","Female","523","0.0787631636019928","0.0720017544521169","0.0855245727518686","4"
"4 on scale 1-7","2005","Not Employed","Female","434","0.0965207783604643","0.0880783253068603","0.104963231414068","4"
"4 on scale 1-7","2005","Employed","Male","548","0.0898748121642814","0.0830428476476611","0.0967067766809016","4"
"4 on scale 1-7","2005","Not Employed","Male","296","0.0902709275097443","0.0802682539679874","0.100273601051501","4"
"5 on scale 1-7","2005","Employed","Male","1198","0.173732514848499","0.164681924211021","0.182783105485977","5"
"5 on scale 1-7","2005","Not Employed","Female","776","0.158235096942454","0.147801213573241","0.168668980311667","5"
"5 on scale 1-7","2005","Not Employed","Male","546","0.166315384721569","0.153318082678117","0.179312686765022","5"
"5 on scale 1-7","2005","Employed","Female","1035","0.172563252686014","0.163078378928","0.182048126444028","5"
"6 on scale 1-7","2005","Employed","Male","2350","0.335098888555304","0.323823252218201","0.346374524892407","6"
"6 on scale 1-7","2005","Employed","Female","2032","0.324694539872455","0.312940758268714","0.336448321476197","6"
"6 on scale 1-7","2005","Not Employed","Female","1427","0.294284623976628","0.281256024368429","0.307313223584826","6"
"6 on scale 1-7","2005","Not Employed","Male","999","0.314443977443038","0.298237851060406","0.33065010382567","6"
"7 Strongly agree","2005","Employed","Female","2276","0.383177124973617","0.370974029294276","0.395380220652959","7"
"7 Strongly agree","2005","Not Employed","Female","1855","0.398717193245303","0.384719030557175","0.412715355933432","7"
"7 Strongly agree","2005","Employed","Male","2440","0.371555367142095","0.360012297451452","0.383098436832739","7"
"7 Strongly agree","2005","Not Employed","Male","1184","0.388723592007555","0.371708849833885","0.405738334181226","7"
"1 Strongly disagree","2006","Not Employed","Male","","","","","1"
"1 Strongly disagree","2006","Not Employed","Female","","","","","1"
"1 Strongly disagree","2006","Employed","Male","","","","","1"
"1 Strongly disagree","2006","Employed","Female","","","","","1"
"2 on scale 1-7 ","2006","Employed","Male","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2006","Employed","Female","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","Male","","","","","2"
"3 on scale 1-7 ","2006","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2006","Employed","Female","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2006","Employed","Male","","","","","3"
"4 on scale 1-7","2006","Not Employed","Female","","","","","4"
"4 on scale 1-7","2006","Employed","Male","","","","","4"
"4 on scale 1-7","2006","Employed","Female","","","","","4"
"4 on scale 1-7","2006","Not Employed","Male","","","","","4"
"5 on scale 1-7","2006","Employed","Male","","","","","5"
"5 on scale 1-7","2006","Not Employed","Female","","","","","5"
"5 on scale 1-7","2006","Employed","Female","","","","","5"
"5 on scale 1-7","2006","Not Employed","Male","","","","","5"
"6 on scale 1-7","2006","Employed","Male","","","","","6"
