"plh0206i04","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","in school","","","",""
"1 Strongly disagree","2005","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2005","16-34 y.","general elemantary","","","",""
"1 Strongly disagree","2005","16-34 y.","middle vocational","","","",""
"1 Strongly disagree","2005","16-34 y.","vocational + Abi","","","",""
"1 Strongly disagree","2005","16-34 y.","higher vocational","","","",""
"1 Strongly disagree","2005","16-34 y.","higher education","","","",""
"1 Strongly disagree","2005","35-65 y.","in school","","","",""
"1 Strongly disagree","2005","35-65 y.","inadequately","","","",""
"1 Strongly disagree","2005","35-65 y.","general elemantary","","","",""
"1 Strongly disagree","2005","35-65 y.","middle vocational","39","0.00713361499414742","0.00499646734241817","0.00927076264587666"
"1 Strongly disagree","2005","35-65 y.","vocational + Abi","","","",""
"1 Strongly disagree","2005","35-65 y.","higher vocational","","","",""
"1 Strongly disagree","2005","35-65 y.","higher education","","","",""
"1 Strongly disagree","2005","66 and older","in school","","","",""
"1 Strongly disagree","2005","66 and older","inadequately","","","",""
"1 Strongly disagree","2005","66 and older","general elemantary","","","",""
"1 Strongly disagree","2005","66 and older","middle vocational","32","0.0193739602683488","0.0132640388702958","0.0254838816664019"
"1 Strongly disagree","2005","66 and older","vocational + Abi","","","",""
"1 Strongly disagree","2005","66 and older","higher vocational","","","",""
"1 Strongly disagree","2005","66 and older","higher education","","","",""
"2 on scale 1-7 ","2005","16-34 y.","in school","","","",""
"2 on scale 1-7 ","2005","16-34 y.","inadequately","","","",""
"2 on scale 1-7 ","2005","16-34 y.","general elemantary","","","",""
"2 on scale 1-7 ","2005","16-34 y.","middle vocational","","","",""
"2 on scale 1-7 ","2005","16-34 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher vocational","","","",""
"2 on scale 1-7 ","2005","16-34 y.","higher education","","","",""
"2 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"2 on scale 1-7 ","2005","35-65 y.","inadequately","","","",""
"2 on scale 1-7 ","2005","35-65 y.","general elemantary","","","",""
"2 on scale 1-7 ","2005","35-65 y.","middle vocational","39","0.00720241794039946","0.00505506314792695","0.00934977273287197"
"2 on scale 1-7 ","2005","35-65 y.","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher vocational","","","",""
"2 on scale 1-7 ","2005","35-65 y.","higher education","","","",""
"2 on scale 1-7 ","2005","66 and older","in school","","","",""
"2 on scale 1-7 ","2005","66 and older","inadequately","","","",""
"2 on scale 1-7 ","2005","66 and older","general elemantary","","","",""
"2 on scale 1-7 ","2005","66 and older","middle vocational","","","",""
"2 on scale 1-7 ","2005","66 and older","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","66 and older","higher vocational","","","",""
"2 on scale 1-7 ","2005","66 and older","higher education","","","",""
"3 on scale 1-7 ","2005","16-34 y.","in school","","","",""
"3 on scale 1-7 ","2005","16-34 y.","inadequately","","","",""
"3 on scale 1-7 ","2005","16-34 y.","general elemantary","","","",""
"3 on scale 1-7 ","2005","16-34 y.","middle vocational","48","0.0178311506328597","0.0124611605461973","0.0232011407195221"
"3 on scale 1-7 ","2005","16-34 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher vocational","","","",""
"3 on scale 1-7 ","2005","16-34 y.","higher education","","","",""
"3 on scale 1-7 ","2005","35-65 y.","in school","","","",""
"3 on scale 1-7 ","2005","35-65 y.","inadequately","","","",""
"3 on scale 1-7 ","2005","35-65 y.","general elemantary","","","",""
"3 on scale 1-7 ","2005","35-65 y.","middle vocational","129","0.0228958811619176","0.0190976324948462","0.0266941298289889"
"3 on scale 1-7 ","2005","35-65 y.","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","35-65 y.","higher vocational","","","",""
"3 on scale 1-7 ","2005","35-65 y.","higher education","54","0.0210741142432968","0.0159163390294542","0.0262318894571393"
"3 on scale 1-7 ","2005","66 and older","in school","","","",""
"3 on scale 1-7 ","2005","66 and older","inadequately","","","",""
"3 on scale 1-7 ","2005","66 and older","general elemantary","","","",""
"3 on scale 1-7 ","2005","66 and older","middle vocational","43","0.0205689682317214","0.01427726986416","0.0268606665992828"
"3 on scale 1-7 ","2005","66 and older","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","66 and older","higher vocational","","","",""
"3 on scale 1-7 ","2005","66 and older","higher education","","","",""
"4 on scale 1-7","2005","16-34 y.","in school","80","0.120280179154041","0.0952346731813862","0.145325685126696"
"4 on scale 1-7","2005","16-34 y.","inadequately","","","",""
"4 on scale 1-7","2005","16-34 y.","general elemantary","85","0.118421194491162","0.0965057571268029","0.140336631855521"
"4 on scale 1-7","2005","16-34 y.","middle vocational","178","0.0770946770953443","0.0662708338529247","0.0879185203377639"
"4 on scale 1-7","2005","16-34 y.","vocational + Abi","45","0.10168350967431","0.0733793030693922","0.129987716279228"
"4 on scale 1-7","2005","16-34 y.","higher vocational","","","",""
"4 on scale 1-7","2005","16-34 y.","higher education","52","0.103344623870362","0.0772308546113555","0.129458393129369"
"4 on scale 1-7","2005","35-65 y.","in school","","","",""
"4 on scale 1-7","2005","35-65 y.","inadequately","","","",""
"4 on scale 1-7","2005","35-65 y.","general elemantary","67","0.0688332407499173","0.0514944429990464","0.0861720385007883"
"4 on scale 1-7","2005","35-65 y.","middle vocational","470","0.0806818885415009","0.0737658846856386","0.0875978923973633"
"4 on scale 1-7","2005","35-65 y.","vocational + Abi","61","0.112254689054525","0.0868254317160815","0.137683946392968"
"4 on scale 1-7","2005","35-65 y.","higher vocational","102","0.0960071445404987","0.0785738666564021","0.113440422424595"
"4 on scale 1-7","2005","35-65 y.","higher education","260","0.0843107179313185","0.0743330671712997","0.0942883686913372"
"4 on scale 1-7","2005","66 and older","in school","","","",""
"4 on scale 1-7","2005","66 and older","inadequately","","","",""
"4 on scale 1-7","2005","66 and older","general elemantary","71","0.111292138946944","0.0886939633607059","0.133890314533181"
"4 on scale 1-7","2005","66 and older","middle vocational","167","0.0864592120226043","0.0740013270090677","0.098917097036141"
"4 on scale 1-7","2005","66 and older","vocational + Abi","","","",""
"4 on scale 1-7","2005","66 and older","higher vocational","","","",""
"4 on scale 1-7","2005","66 and older","higher education","59","0.102278516429715","0.0792308441211457","0.125326188738284"
"5 on scale 1-7","2005","16-34 y.","in school","120","0.184152051854196","0.154308295756593","0.213995807951798"
"5 on scale 1-7","2005","16-34 y.","inadequately","","","",""
"5 on scale 1-7","2005","16-34 y.","general elemantary","150","0.160428572422464","0.13553572725421","0.185321417590718"
"5 on scale 1-7","2005","16-34 y.","middle vocational","460","0.21067297349561","0.194125807607957","0.227220139383262"
"5 on scale 1-7","2005","16-34 y.","vocational + Abi","82","0.170510887918776","0.135290637569303","0.205731138268249"
"5 on scale 1-7","2005","16-34 y.","higher vocational","41","0.219470210284369","0.16295087933534","0.275989541233399"
"5 on scale 1-7","2005","16-34 y.","higher education","109","0.235767042982349","0.199353136795775","0.272180949168924"
"5 on scale 1-7","2005","35-65 y.","in school","","","",""
"5 on scale 1-7","2005","35-65 y.","inadequately","","","",""
"5 on scale 1-7","2005","35-65 y.","general elemantary","138","0.161547156328833","0.136341667760229","0.186752644897437"
"5 on scale 1-7","2005","35-65 y.","middle vocational","930","0.152476887448398","0.143348121439656","0.16160565345714"
"5 on scale 1-7","2005","35-65 y.","vocational + Abi","114","0.184578385062336","0.153327036105227","0.215829734019446"
"5 on scale 1-7","2005","35-65 y.","higher vocational","172","0.171098462353415","0.148813120362127","0.193383804344702"
"5 on scale 1-7","2005","35-65 y.","higher education","565","0.17606897313462","0.162391694836365","0.189746251432875"
"5 on scale 1-7","2005","66 and older","in school","","","",""
"5 on scale 1-7","2005","66 and older","inadequately","","","",""
"5 on scale 1-7","2005","66 and older","general elemantary","127","0.169768810402516","0.142792031141211","0.196745589663821"
"5 on scale 1-7","2005","66 and older","middle vocational","287","0.142253450723351","0.126769363645452","0.157737537801251"
"5 on scale 1-7","2005","66 and older","vocational + Abi","","","",""
"5 on scale 1-7","2005","66 and older","higher vocational","44","0.154168785126567","0.109933565521923","0.198404004731211"
"5 on scale 1-7","2005","66 and older","higher education","104","0.16036640725057","0.132456033378761","0.188276781122379"
"6 on scale 1-7","2005","16-34 y.","in school","214","0.303648296117473","0.268243643819747","0.3390529484152"
"6 on scale 1-7","2005","16-34 y.","inadequately","","","",""
"6 on scale 1-7","2005","16-34 y.","general elemantary","237","0.279757892177365","0.249311538998133","0.310204245356598"
"6 on scale 1-7","2005","16-34 y.","middle vocational","801","0.321549947903433","0.302597125919488","0.340502769887378"
"6 on scale 1-7","2005","16-34 y.","vocational + Abi","162","0.430873892670753","0.384498203123916","0.477249582217591"
"6 on scale 1-7","2005","16-34 y.","higher vocational","77","0.388488480834894","0.32192962081905","0.455047340850738"
"6 on scale 1-7","2005","16-34 y.","higher education","209","0.403425495997764","0.361340542197979","0.445510449797548"
"6 on scale 1-7","2005","35-65 y.","in school","","","",""
"6 on scale 1-7","2005","35-65 y.","inadequately","35","0.285356150338365","0.2065062284567","0.36420607222003"
"6 on scale 1-7","2005","35-65 y.","general elemantary","237","0.296133070268731","0.26486544666827","0.327400693869191"
"6 on scale 1-7","2005","35-65 y.","middle vocational","1914","0.311737742306929","0.299975071003473","0.323500413610385"
"6 on scale 1-7","2005","35-65 y.","vocational + Abi","195","0.32620091095416","0.288435428936052","0.363966392972268"
"6 on scale 1-7","2005","35-65 y.","higher vocational","402","0.350232535853662","0.322003112808044","0.37846195889928"
"6 on scale 1-7","2005","35-65 y.","higher education","1088","0.356710355174903","0.339508551840258","0.373912158509549"
"6 on scale 1-7","2005","66 and older","in school","","","",""
"6 on scale 1-7","2005","66 and older","inadequately","","","",""
"6 on scale 1-7","2005","66 and older","general elemantary","208","0.264953402058097","0.233242849526478","0.296663954589716"
"6 on scale 1-7","2005","66 and older","middle vocational","617","0.314959825676564","0.294369637693885","0.335550013659244"
"6 on scale 1-7","2005","66 and older","vocational + Abi","35","0.314956658778096","0.224813571693242","0.405099745862951"
"6 on scale 1-7","2005","66 and older","higher vocational","65","0.267079151396074","0.212881977602986","0.321276325189161"
"6 on scale 1-7","2005","66 and older","higher education","220","0.314170407861599","0.278863897127149","0.349476918596049"
"7 Strongly agree","2005","16-34 y.","in school","199","0.34490928933219","0.30831074987886","0.381507828785519"
"7 Strongly agree","2005","16-34 y.","inadequately","","","",""
"7 Strongly agree","2005","16-34 y.","general elemantary","333","0.398910314596429","0.365697007270541","0.432123621922318"
"7 Strongly agree","2005","16-34 y.","middle vocational","809","0.35557163789298","0.33614750678597","0.374995768999991"
"7 Strongly agree","2005","16-34 y.","vocational + Abi","134","0.254758859556691","0.213952853030466","0.295564866082916"
"7 Strongly agree","2005","16-34 y.","higher vocational","71","0.310018605341355","0.246860797145222","0.373176413537487"
"7 Strongly agree","2005","16-34 y.","higher education","136","0.22804120974662","0.192048332431981","0.26403408706126"
"7 Strongly agree","2005","35-65 y.","in school","","","",""
"7 Strongly agree","2005","35-65 y.","inadequately","59","0.499082174666111","0.411778586987518","0.586385762344704"
"7 Strongly agree","2005","35-65 y.","general elemantary","349","0.430451457834847","0.396541003859409","0.464361911810285"
"7 Strongly agree","2005","35-65 y.","middle vocational","2436","0.417871567606707","0.405346931750182","0.430396203463232"
"7 Strongly agree","2005","35-65 y.","vocational + Abi","201","0.343710187148456","0.305451393560851","0.381968980736062"
"7 Strongly agree","2005","35-65 y.","higher vocational","383","0.341835273922891","0.313766689119561","0.369903858726221"
"7 Strongly agree","2005","35-65 y.","higher education","979","0.350585172430628","0.333450701002523","0.367719643858733"
"7 Strongly agree","2005","66 and older","in school","","","",""
"7 Strongly agree","2005","66 and older","inadequately","","","",""
"7 Strongly agree","2005","66 and older","general elemantary","294","0.385466814834609","0.350494225286717","0.420439404382501"
"7 Strongly agree","2005","66 and older","middle vocational","796","0.408506215836418","0.386716621883406","0.430295809789429"
"7 Strongly agree","2005","66 and older","vocational + Abi","38","0.371006756412424","0.277258779439801","0.464754733385047"
"7 Strongly agree","2005","66 and older","higher vocational","111","0.428408472157407","0.367790692423912","0.489026251890902"
"7 Strongly agree","2005","66 and older","higher education","261","0.410229906843667","0.372817204083792","0.447642609603542"
"1 Strongly disagree","2006","16-34 y.","in school","","","",""
"1 Strongly disagree","2006","16-34 y.","inadequately","","","",""
"1 Strongly disagree","2006","16-34 y.","general elemantary","","","",""
"1 Strongly disagree","2006","16-34 y.","middle vocational","","","",""
"1 Strongly disagree","2006","16-34 y.","vocational + Abi","","","",""
"1 Strongly disagree","2006","16-34 y.","higher vocational","","","",""
