"plh0206i04","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Full Time","","","",""
"1 Strongly disagree","2005","Not Employed","Part Time","","","",""
"1 Strongly disagree","2005","Not Employed","Not Working","80","0.0126728952747283","0.0101989006873406","0.015146889862116"
"1 Strongly disagree","2005","Employed","Full Time","35","0.00476647651628296","0.00325891066276713","0.00627404236979879"
"1 Strongly disagree","2005","Employed","Part Time","21","","",""
"1 Strongly disagree","2005","Employed","Not Working","","","",""
"2 on scale 1-7 ","2005","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2005","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2005","Not Employed","Not Working","72","0.0118071281998421","0.00941808892136987","0.0141961674783143"
"2 on scale 1-7 ","2005","Employed","Full Time","66","0.00913335608247566","0.00705108214020954","0.0112156300247418"
"2 on scale 1-7 ","2005","Employed","Part Time","29","","",""
"2 on scale 1-7 ","2005","Employed","Not Working","","","",""
"3 on scale 1-7 ","2005","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2005","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2005","Not Employed","Not Working","184","0.0230239591878795","0.0197068310191001","0.0263410873566589"
"3 on scale 1-7 ","2005","Employed","Full Time","167","0.0203035674604015","0.0172164937111333","0.0233906412096697"
"3 on scale 1-7 ","2005","Employed","Part Time","109","0.025272085128421","0.0208370950521219","0.0297070752047201"
"3 on scale 1-7 ","2005","Employed","Not Working","","","",""
"4 on scale 1-7","2005","Not Employed","Full Time","","","",""
"4 on scale 1-7","2005","Not Employed","Part Time","","","",""
"4 on scale 1-7","2005","Not Employed","Not Working","730","0.094052175792271","0.0875961343592155","0.100508217225326"
"4 on scale 1-7","2005","Employed","Full Time","638","0.0838558778811655","0.0777890214211168","0.0899227343412143"
"4 on scale 1-7","2005","Employed","Part Time","433","0.0864399414777151","0.0784992888732675","0.0943805940821626"
"4 on scale 1-7","2005","Employed","Not Working","","","",""
"5 on scale 1-7","2005","Not Employed","Full Time","","","",""
"5 on scale 1-7","2005","Not Employed","Part Time","","","",""
"5 on scale 1-7","2005","Not Employed","Not Working","1322","0.161426696172533","0.153289243275493","0.169564149069572"
"5 on scale 1-7","2005","Employed","Full Time","1409","0.176531038702049","0.168185599061107","0.184876478342991"
"5 on scale 1-7","2005","Employed","Part Time","824","0.167696897964037","0.157140064177942","0.178253731750132"
"5 on scale 1-7","2005","Employed","Not Working","","","",""
"6 on scale 1-7","2005","Not Employed","Full Time","","","",""
"6 on scale 1-7","2005","Not Employed","Part Time","","","",""
"6 on scale 1-7","2005","Not Employed","Not Working","2426","0.302247283075055","0.292090357662254","0.312404208487856"
"6 on scale 1-7","2005","Employed","Full Time","2777","0.332491524001609","0.322179741440382","0.342803306562837"
"6 on scale 1-7","2005","Employed","Part Time","1605","0.326875535166399","0.313620853286575","0.340130217046223"
"6 on scale 1-7","2005","Employed","Not Working","","","",""
"7 Strongly agree","2005","Not Employed","Full Time","","","",""
"7 Strongly agree","2005","Not Employed","Part Time","","","",""
"7 Strongly agree","2005","Not Employed","Not Working","3039","0.394769862297692","0.383958944621568","0.405580779973816"
"7 Strongly agree","2005","Employed","Full Time","2926","0.372918159356016","0.362333327992697","0.383502990719335"
"7 Strongly agree","2005","Employed","Part Time","1790","0.383303088091759","0.369564646917103","0.397041529266415"
"7 Strongly agree","2005","Employed","Not Working","","","",""
"1 Strongly disagree","2006","Not Employed","Full Time","","","",""
"1 Strongly disagree","2006","Not Employed","Part Time","","","",""
"1 Strongly disagree","2006","Not Employed","Not Working","","","",""
"1 Strongly disagree","2006","Employed","Full Time","","","",""
"1 Strongly disagree","2006","Employed","Part Time","","","",""
"1 Strongly disagree","2006","Employed","Not Working","","","",""
"2 on scale 1-7 ","2006","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2006","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2006","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2006","Employed","Full Time","","","",""
"2 on scale 1-7 ","2006","Employed","Part Time","","","",""
"2 on scale 1-7 ","2006","Employed","Not Working","","","",""
"3 on scale 1-7 ","2006","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2006","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2006","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2006","Employed","Full Time","","","",""
"3 on scale 1-7 ","2006","Employed","Part Time","","","",""
"3 on scale 1-7 ","2006","Employed","Not Working","","","",""
"4 on scale 1-7","2006","Not Employed","Full Time","","","",""
"4 on scale 1-7","2006","Not Employed","Part Time","","","",""
"4 on scale 1-7","2006","Not Employed","Not Working","","","",""
"4 on scale 1-7","2006","Employed","Full Time","","","",""
"4 on scale 1-7","2006","Employed","Part Time","","","",""
"4 on scale 1-7","2006","Employed","Not Working","","","",""
"5 on scale 1-7","2006","Not Employed","Full Time","","","",""
"5 on scale 1-7","2006","Not Employed","Part Time","","","",""
"5 on scale 1-7","2006","Not Employed","Not Working","","","",""
"5 on scale 1-7","2006","Employed","Full Time","","","",""
"5 on scale 1-7","2006","Employed","Part Time","","","",""
"5 on scale 1-7","2006","Employed","Not Working","","","",""
"6 on scale 1-7","2006","Not Employed","Full Time","","","",""
"6 on scale 1-7","2006","Not Employed","Part Time","","","",""
"6 on scale 1-7","2006","Not Employed","Not Working","","","",""
"6 on scale 1-7","2006","Employed","Full Time","","","",""
"6 on scale 1-7","2006","Employed","Part Time","","","",""
"6 on scale 1-7","2006","Employed","Not Working","","","",""
"7 Strongly agree","2006","Not Employed","Full Time","","","",""
"7 Strongly agree","2006","Not Employed","Part Time","","","",""
"7 Strongly agree","2006","Not Employed","Not Working","","","",""
"7 Strongly agree","2006","Employed","Full Time","","","",""
"7 Strongly agree","2006","Employed","Part Time","","","",""
"7 Strongly agree","2006","Employed","Not Working","","","",""
"1 Strongly disagree","2007","Not Employed","Full Time","","","",""
"1 Strongly disagree","2007","Not Employed","Part Time","","","",""
"1 Strongly disagree","2007","Not Employed","Not Working","","","",""
"1 Strongly disagree","2007","Employed","Full Time","","","",""
"1 Strongly disagree","2007","Employed","Part Time","","","",""
"1 Strongly disagree","2007","Employed","Not Working","","","",""
"2 on scale 1-7 ","2007","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2007","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2007","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2007","Employed","Full Time","","","",""
"2 on scale 1-7 ","2007","Employed","Part Time","","","",""
"2 on scale 1-7 ","2007","Employed","Not Working","","","",""
"3 on scale 1-7 ","2007","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2007","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2007","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2007","Employed","Full Time","","","",""
"3 on scale 1-7 ","2007","Employed","Part Time","","","",""
"3 on scale 1-7 ","2007","Employed","Not Working","","","",""
"4 on scale 1-7","2007","Not Employed","Full Time","","","",""
"4 on scale 1-7","2007","Not Employed","Part Time","","","",""
"4 on scale 1-7","2007","Not Employed","Not Working","","","",""
"4 on scale 1-7","2007","Employed","Full Time","","","",""
"4 on scale 1-7","2007","Employed","Part Time","","","",""
"4 on scale 1-7","2007","Employed","Not Working","","","",""
"5 on scale 1-7","2007","Not Employed","Full Time","","","",""
"5 on scale 1-7","2007","Not Employed","Part Time","","","",""
"5 on scale 1-7","2007","Not Employed","Not Working","","","",""
"5 on scale 1-7","2007","Employed","Full Time","","","",""
"5 on scale 1-7","2007","Employed","Part Time","","","",""
"5 on scale 1-7","2007","Employed","Not Working","","","",""
"6 on scale 1-7","2007","Not Employed","Full Time","","","",""
"6 on scale 1-7","2007","Not Employed","Part Time","","","",""
"6 on scale 1-7","2007","Not Employed","Not Working","","","",""
"6 on scale 1-7","2007","Employed","Full Time","","","",""
"6 on scale 1-7","2007","Employed","Part Time","","","",""
"6 on scale 1-7","2007","Employed","Not Working","","","",""
"7 Strongly agree","2007","Not Employed","Full Time","","","",""
"7 Strongly agree","2007","Not Employed","Part Time","","","",""
"7 Strongly agree","2007","Not Employed","Not Working","","","",""
"7 Strongly agree","2007","Employed","Full Time","","","",""
"7 Strongly agree","2007","Employed","Part Time","","","",""
"7 Strongly agree","2007","Employed","Not Working","","","",""
"1 Strongly disagree","2008","Not Employed","Full Time","","","",""
"1 Strongly disagree","2008","Not Employed","Part Time","","","",""
"1 Strongly disagree","2008","Not Employed","Not Working","","","",""
"1 Strongly disagree","2008","Employed","Full Time","","","",""
"1 Strongly disagree","2008","Employed","Part Time","","","",""
"1 Strongly disagree","2008","Employed","Not Working","","","",""
"2 on scale 1-7 ","2008","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2008","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2008","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2008","Employed","Full Time","","","",""
"2 on scale 1-7 ","2008","Employed","Part Time","","","",""
"2 on scale 1-7 ","2008","Employed","Not Working","","","",""
"3 on scale 1-7 ","2008","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2008","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2008","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2008","Employed","Full Time","","","",""
"3 on scale 1-7 ","2008","Employed","Part Time","","","",""
"3 on scale 1-7 ","2008","Employed","Not Working","","","",""
"4 on scale 1-7","2008","Not Employed","Full Time","","","",""
"4 on scale 1-7","2008","Not Employed","Part Time","","","",""
"4 on scale 1-7","2008","Not Employed","Not Working","","","",""
"4 on scale 1-7","2008","Employed","Full Time","","","",""
"4 on scale 1-7","2008","Employed","Part Time","","","",""
"4 on scale 1-7","2008","Employed","Not Working","","","",""
"5 on scale 1-7","2008","Not Employed","Full Time","","","",""
"5 on scale 1-7","2008","Not Employed","Part Time","","","",""
"5 on scale 1-7","2008","Not Employed","Not Working","","","",""
"5 on scale 1-7","2008","Employed","Full Time","","","",""
"5 on scale 1-7","2008","Employed","Part Time","","","",""
"5 on scale 1-7","2008","Employed","Not Working","","","",""
"6 on scale 1-7","2008","Not Employed","Full Time","","","",""
"6 on scale 1-7","2008","Not Employed","Part Time","","","",""
"6 on scale 1-7","2008","Not Employed","Not Working","","","",""
"6 on scale 1-7","2008","Employed","Full Time","","","",""
"6 on scale 1-7","2008","Employed","Part Time","","","",""
"6 on scale 1-7","2008","Employed","Not Working","","","",""
"7 Strongly agree","2008","Not Employed","Full Time","","","",""
"7 Strongly agree","2008","Not Employed","Part Time","","","",""
"7 Strongly agree","2008","Not Employed","Not Working","","","",""
"7 Strongly agree","2008","Employed","Full Time","","","",""
"7 Strongly agree","2008","Employed","Part Time","","","",""
"7 Strongly agree","2008","Employed","Not Working","","","",""
"1 Strongly disagree","2009","Not Employed","Full Time","","","",""
"1 Strongly disagree","2009","Not Employed","Part Time","","","",""
"1 Strongly disagree","2009","Not Employed","Not Working","","","",""
"1 Strongly disagree","2009","Employed","Full Time","","","",""
"1 Strongly disagree","2009","Employed","Part Time","","","",""
"1 Strongly disagree","2009","Employed","Not Working","","","",""
"2 on scale 1-7 ","2009","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2009","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2009","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2009","Employed","Full Time","","","",""
"2 on scale 1-7 ","2009","Employed","Part Time","","","",""
"2 on scale 1-7 ","2009","Employed","Not Working","","","",""
"3 on scale 1-7 ","2009","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2009","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2009","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2009","Employed","Full Time","","","",""
"3 on scale 1-7 ","2009","Employed","Part Time","","","",""
"3 on scale 1-7 ","2009","Employed","Not Working","","","",""
"4 on scale 1-7","2009","Not Employed","Full Time","","","",""
"4 on scale 1-7","2009","Not Employed","Part Time","","","",""
"4 on scale 1-7","2009","Not Employed","Not Working","","","",""
"4 on scale 1-7","2009","Employed","Full Time","","","",""
"4 on scale 1-7","2009","Employed","Part Time","","","",""
"4 on scale 1-7","2009","Employed","Not Working","","","",""
"5 on scale 1-7","2009","Not Employed","Full Time","","","",""
"5 on scale 1-7","2009","Not Employed","Part Time","","","",""
"5 on scale 1-7","2009","Not Employed","Not Working","","","",""
"5 on scale 1-7","2009","Employed","Full Time","","","",""
"5 on scale 1-7","2009","Employed","Part Time","","","",""
"5 on scale 1-7","2009","Employed","Not Working","","","",""
"6 on scale 1-7","2009","Not Employed","Full Time","","","",""
"6 on scale 1-7","2009","Not Employed","Part Time","","","",""
"6 on scale 1-7","2009","Not Employed","Not Working","","","",""
"6 on scale 1-7","2009","Employed","Full Time","","","",""
"6 on scale 1-7","2009","Employed","Part Time","","","",""
"6 on scale 1-7","2009","Employed","Not Working","","","",""
"7 Strongly agree","2009","Not Employed","Full Time","","","",""
