"plh0206i04","year","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","119","0.00851388213089726","0.00715232618110949","0.00987543808068502","1"
"1 Strongly disagree","2005","direct migration background","14","","","","1"
"1 Strongly disagree","2005","indirect migration background","3","","","","1"
"2 on scale 1-7 ","2005","no migration background","136","0.00945750181933282","0.00802315845017322","0.0108918451884924","2"
"2 on scale 1-7 ","2005","indirect migration background","8","","","","2"
"2 on scale 1-7 ","2005","direct migration background","23","","","","2"
"3 on scale 1-7 ","2005","no migration background","376","0.0211839393234161","0.0190499990395369","0.0233178796072953","3"
"3 on scale 1-7 ","2005","direct migration background","61","0.0304636628746268","0.0235328966550544","0.0373944290941992","3"
"3 on scale 1-7 ","2005","indirect migration background","23","","","","3"
"4 on scale 1-7","2005","no migration background","1565","0.0906900785111691","0.0864344450943778","0.0949457119279604","4"
"4 on scale 1-7","2005","indirect migration background","71","0.0853136053216812","0.0662862608814025","0.10434094976196","4"
"4 on scale 1-7","2005","direct migration background","165","0.0759218738729468","0.0652400368179249","0.0866037109279687","4"
"5 on scale 1-7","2005","no migration background","3032","0.169394115277896","0.163835392469758","0.174952838086034","5"
"5 on scale 1-7","2005","direct migration background","359","0.151785344046393","0.137315096853775","0.166255591239012","5"
"5 on scale 1-7","2005","indirect migration background","164","0.205532482728283","0.178008502992666","0.2330564624639","5"
"6 on scale 1-7","2005","indirect migration background","220","0.27544583660096","0.245016922308147","0.305874750893772","6"
"6 on scale 1-7","2005","direct migration background","658","0.267868658625842","0.250009393061941","0.285727924189743","6"
"6 on scale 1-7","2005","no migration background","5930","0.329146109170254","0.322182463081468","0.336109755259041","6"
"7 Strongly agree","2005","indirect migration background","339","0.398821068075475","0.365468917334183","0.432173218816767","7"
"7 Strongly agree","2005","no migration background","6334","0.371614373767034","0.364453141995503","0.378775605538566","7"
"7 Strongly agree","2005","direct migration background","1082","0.458407879203384","0.438313696346526","0.478502062060241","7"
"1 Strongly disagree","2006","no migration background","","","","","1"
"1 Strongly disagree","2006","direct migration background","","","","","1"
"1 Strongly disagree","2006","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","no migration background","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","no migration background","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","","","","","3"
"4 on scale 1-7","2006","indirect migration background","","","","","4"
"4 on scale 1-7","2006","no migration background","","","","","4"
"4 on scale 1-7","2006","direct migration background","","","","","4"
"5 on scale 1-7","2006","indirect migration background","","","","","5"
"5 on scale 1-7","2006","no migration background","","","","","5"
"5 on scale 1-7","2006","direct migration background","","","","","5"
"6 on scale 1-7","2006","indirect migration background","","","","","6"
"6 on scale 1-7","2006","direct migration background","","","","","6"
"6 on scale 1-7","2006","no migration background","","","","","6"
