"plh0206i04","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","West Germany","Male","42","0.00684988054106167","0.00497922043382484","0.0087205406482985","1"
"1 Strongly disagree","2005","West Germany","Female","68","0.00976563522586429","0.00763355688638234","0.0118977135653462","1"
"1 Strongly disagree","2005","East Germany","Male","6","","","","1"
"1 Strongly disagree","2005","East Germany","Female","20","","","","1"
"2 on scale 1-7 ","2005","West Germany","Female","73","0.011360189941475","0.0090624770776743","0.0136579028052758","2"
"2 on scale 1-7 ","2005","East Germany","Male","12","","","","2"
"2 on scale 1-7 ","2005","East Germany","Female","27","","","","2"
"2 on scale 1-7 ","2005","West Germany","Male","55","0.00759692171877432","0.00562763562827348","0.00956620780927515","2"
"3 on scale 1-7 ","2005","West Germany","Female","198","0.0251469631741316","0.0217523033588221","0.0285416229894411","3"
"3 on scale 1-7 ","2005","East Germany","Male","48","0.0202518553281482","0.0146362135180405","0.0258674971382559","3"
"3 on scale 1-7 ","2005","East Germany","Female","53","0.022676121846258","0.0169812089891053","0.0283710347034108","3"
"3 on scale 1-7 ","2005","West Germany","Male","161","0.0201987624758814","0.017008126121263","0.0233893988304998","3"
"4 on scale 1-7","2005","East Germany","Female","220","0.0829937617228343","0.0724403639652065","0.0935471594804621","4"
"4 on scale 1-7","2005","West Germany","Female","737","0.0881071278627167","0.0819615695386406","0.0942526861867929","4"
"4 on scale 1-7","2005","East Germany","Male","225","0.102953408615006","0.0908380121400646","0.115068805089947","4"
"4 on scale 1-7","2005","West Germany","Male","619","0.0870091222225361","0.0806167574544305","0.0934014869906417","4"
"5 on scale 1-7","2005","East Germany","Male","404","0.153519883055365","0.139148437234994","0.167891328875735","5"
"5 on scale 1-7","2005","West Germany","Female","1388","0.167638694202904","0.159539776458877","0.17573761194693","5"
"5 on scale 1-7","2005","West Germany","Male","1340","0.175413611238826","0.166787885169116","0.184039337308535","5"
"5 on scale 1-7","2005","East Germany","Female","423","0.157522443074683","0.143586581406455","0.17145830474291","5"
"6 on scale 1-7","2005","East Germany","Male","838","0.339933589503904","0.321049301189555","0.358817877818253","6"
"6 on scale 1-7","2005","East Germany","Female","874","0.318055741078458","0.300239770142671","0.335871712014245","6"
"6 on scale 1-7","2005","West Germany","Female","2585","0.30855669529889","0.298542185700644","0.318571204897136","6"
"6 on scale 1-7","2005","West Germany","Male","2511","0.325640216039222","0.315011989937053","0.336268442141391","6"
"7 Strongly agree","2005","East Germany","Female","1008","0.395459343963823","0.376754800417675","0.414163887509971","7"
"7 Strongly agree","2005","West Germany","Female","3123","0.389424694294019","0.37885249664724","0.399996891940798","7"
"7 Strongly agree","2005","East Germany","Male","884","0.376726055181978","0.357408058778571","0.396044051585385","7"
"7 Strongly agree","2005","West Germany","Male","2740","0.377291485763699","0.366298217128903","0.388284754398495","7"
"1 Strongly disagree","2006","West Germany","Male","","","","","1"
"1 Strongly disagree","2006","West Germany","Female","","","","","1"
"1 Strongly disagree","2006","East Germany","Male","","","","","1"
"1 Strongly disagree","2006","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2006","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2006","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2006","East Germany","Female","","","","","2"
"2 on scale 1-7 ","2006","West Germany","Male","","","","","2"
"3 on scale 1-7 ","2006","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2006","East Germany","Female","","","","","3"
"3 on scale 1-7 ","2006","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2006","East Germany","Male","","","","","3"
"4 on scale 1-7","2006","West Germany","Female","","","","","4"
"4 on scale 1-7","2006","East Germany","Male","","","","","4"
"4 on scale 1-7","2006","East Germany","Female","","","","","4"
"4 on scale 1-7","2006","West Germany","Male","","","","","4"
"5 on scale 1-7","2006","East Germany","Male","","","","","5"
"5 on scale 1-7","2006","West Germany","Female","","","","","5"
"5 on scale 1-7","2006","East Germany","Female","","","","","5"
"5 on scale 1-7","2006","West Germany","Male","","","","","5"
"6 on scale 1-7","2006","East Germany","Male","","","","","6"
"6 on scale 1-7","2006","West Germany","Female","","","","","6"
"6 on scale 1-7","2006","East Germany","Female","","","","","6"
"6 on scale 1-7","2006","West Germany","Male","","","","","6"
"7 Strongly agree","2006","West Germany","Female","","","","","7"
"7 Strongly agree","2006","East Germany","Male","","","","","7"
"7 Strongly agree","2006","East Germany","Female","","","","","7"
"7 Strongly agree","2006","West Germany","Male","","","","","7"
"1 Strongly disagree","2007","West Germany","Male","","","","","1"
"1 Strongly disagree","2007","West Germany","Female","","","","","1"
"1 Strongly disagree","2007","East Germany","Male","","","","","1"
"1 Strongly disagree","2007","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2007","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2007","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2007","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2007","East Germany","Female","","","","","2"
"3 on scale 1-7 ","2007","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2007","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2007","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2007","East Germany","Female","","","","","3"
"4 on scale 1-7","2007","West Germany","Male","","","","","4"
"4 on scale 1-7","2007","West Germany","Female","","","","","4"
"4 on scale 1-7","2007","East Germany","Male","","","","","4"
"4 on scale 1-7","2007","East Germany","Female","","","","","4"
"5 on scale 1-7","2007","West Germany","Male","","","","","5"
"5 on scale 1-7","2007","West Germany","Female","","","","","5"
"5 on scale 1-7","2007","East Germany","Male","","","","","5"
"5 on scale 1-7","2007","East Germany","Female","","","","","5"
"6 on scale 1-7","2007","East Germany","Male","","","","","6"
"6 on scale 1-7","2007","West Germany","Male","","","","","6"
"6 on scale 1-7","2007","West Germany","Female","","","","","6"
"6 on scale 1-7","2007","East Germany","Female","","","","","6"
"7 Strongly agree","2007","West Germany","Male","","","","","7"
"7 Strongly agree","2007","West Germany","Female","","","","","7"
"7 Strongly agree","2007","East Germany","Male","","","","","7"
"7 Strongly agree","2007","East Germany","Female","","","","","7"
"1 Strongly disagree","2008","West Germany","Female","","","","","1"
"1 Strongly disagree","2008","East Germany","Male","","","","","1"
"1 Strongly disagree","2008","West Germany","Male","","","","","1"
"1 Strongly disagree","2008","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2008","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2008","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2008","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2008","East Germany","Female","","","","","2"
"3 on scale 1-7 ","2008","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2008","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2008","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2008","East Germany","Female","","","","","3"
"4 on scale 1-7","2008","West Germany","Female","","","","","4"
"4 on scale 1-7","2008","East Germany","Male","","","","","4"
"4 on scale 1-7","2008","West Germany","Male","","","","","4"
"4 on scale 1-7","2008","East Germany","Female","","","","","4"
"5 on scale 1-7","2008","East Germany","Male","","","","","5"
"5 on scale 1-7","2008","West Germany","Male","","","","","5"
"5 on scale 1-7","2008","West Germany","Female","","","","","5"
"5 on scale 1-7","2008","East Germany","Female","","","","","5"
"6 on scale 1-7","2008","West Germany","Female","","","","","6"
"6 on scale 1-7","2008","East Germany","Female","","","","","6"
"6 on scale 1-7","2008","West Germany","Male","","","","","6"
"6 on scale 1-7","2008","East Germany","Male","","","","","6"
"7 Strongly agree","2008","West Germany","Male","","","","","7"
"7 Strongly agree","2008","West Germany","Female","","","","","7"
"7 Strongly agree","2008","East Germany","Male","","","","","7"
"7 Strongly agree","2008","East Germany","Female","","","","","7"
"1 Strongly disagree","2009","West Germany","Female","","","","","1"
"1 Strongly disagree","2009","East Germany","Male","","","","","1"
"1 Strongly disagree","2009","East Germany","Female","","","","","1"
"1 Strongly disagree","2009","West Germany","Male","","","","","1"
"2 on scale 1-7 ","2009","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2009","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2009","East Germany","Female","","","","","2"
"2 on scale 1-7 ","2009","West Germany","Male","","","","","2"
"3 on scale 1-7 ","2009","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2009","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2009","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2009","East Germany","Female","","","","","3"
"4 on scale 1-7","2009","West Germany","Female","","","","","4"
"4 on scale 1-7","2009","East Germany","Male","","","","","4"
"4 on scale 1-7","2009","West Germany","Male","","","","","4"
"4 on scale 1-7","2009","East Germany","Female","","","","","4"
"5 on scale 1-7","2009","West Germany","Male","","","","","5"
"5 on scale 1-7","2009","East Germany","Male","","","","","5"
"5 on scale 1-7","2009","West Germany","Female","","","","","5"
"5 on scale 1-7","2009","East Germany","Female","","","","","5"
"6 on scale 1-7","2009","West Germany","Female","","","","","6"
"6 on scale 1-7","2009","West Germany","Male","","","","","6"
"6 on scale 1-7","2009","East Germany","Male","","","","","6"
"6 on scale 1-7","2009","East Germany","Female","","","","","6"
"7 Strongly agree","2009","West Germany","Male","","","","","7"
"7 Strongly agree","2009","West Germany","Female","","","","","7"
"7 Strongly agree","2009","East Germany","Male","","","","","7"
"7 Strongly agree","2009","East Germany","Female","","","","","7"
"1 Strongly disagree","2010","West Germany","Male","39","0.00805801994691348","0.0057869136886687","0.0103291262051583","1"
"1 Strongly disagree","2010","West Germany","Female","50","0.0084418261622039","0.00623104655611665","0.0106526057682911","1"
"1 Strongly disagree","2010","East Germany","Male","9","","","","1"
"1 Strongly disagree","2010","East Germany","Female","17","","","","1"
"2 on scale 1-7 ","2010","West Germany","Male","53","0.0115444368764483","0.00883084143222093","0.0142580323206756","2"
"2 on scale 1-7 ","2010","West Germany","Female","70","0.0129273609364625","0.0101977695312236","0.0156569523417014","2"
"2 on scale 1-7 ","2010","East Germany","Male","19","","","","2"
"2 on scale 1-7 ","2010","East Germany","Female","18","","","","2"
