"plh0206i04","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Male","","","",""
"1 Strongly disagree","2005","16-34 y.","Female","","","",""
"1 Strongly disagree","2005","35-65 y.","Male","","","",""
"1 Strongly disagree","2005","35-65 y.","Female","42","0.00840886632416443","0.00609314190461149","0.0107245907437174"
"1 Strongly disagree","2005","66 and older","Male","","","",""
"1 Strongly disagree","2005","66 and older","Female","34","0.0168428124105082","0.0112750820084963","0.0224105428125201"
"2 on scale 1-7 ","2005","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2005","35-65 y.","Male","38","0.00726580658730329","0.00504438177918859","0.00948723139541799"
"2 on scale 1-7 ","2005","35-65 y.","Female","48","0.00971533183236367","0.0072278456290049","0.0122028180357224"
"2 on scale 1-7 ","2005","66 and older","Male","","","",""
"2 on scale 1-7 ","2005","66 and older","Female","","","",""
"3 on scale 1-7 ","2005","16-34 y.","Male","51","0.0205615712661382","0.0150481532984353","0.0260749892338412"
"3 on scale 1-7 ","2005","16-34 y.","Female","80","0.0257214980691831","0.0198284339362673","0.0316145622020989"
"3 on scale 1-7 ","2005","35-65 y.","Male","113","0.0206264396382835","0.016908866396524","0.0243440128800429"
"3 on scale 1-7 ","2005","35-65 y.","Female","126","0.0239841866474892","0.0201040880793782","0.0278642852156001"
"3 on scale 1-7 ","2005","66 and older","Male","45","0.0185053807213117","0.0121455359585417","0.0248652254840817"
"3 on scale 1-7 ","2005","66 and older","Female","45","0.0251454409194874","0.0183712262655057","0.0319196555734691"
"4 on scale 1-7","2005","16-34 y.","Male","253","0.100297376335813","0.0886266340936276","0.111968118577998"
"4 on scale 1-7","2005","16-34 y.","Female","246","0.0896197537018453","0.0789865345723628","0.100252972831328"
"4 on scale 1-7","2005","35-65 y.","Male","453","0.0861757711130457","0.078835752957364","0.0935157892687273"
"4 on scale 1-7","2005","35-65 y.","Female","519","0.0796249186612378","0.0727596306652235","0.0864902066572521"
