"plh0206i04","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","66","0.0136433038131722","0.0107622553562625","0.0165243522700819"
"1 Strongly disagree","2005","lower secondary degree","direct migration background","","","",""
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","no migration background","36","0.00622192231103388","0.00415762804160569","0.00828621658046208"
"1 Strongly disagree","2005","secondary school degree","direct migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","indirect migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","no migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","direct migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","","","",""
"1 Strongly disagree","2005","Other degree","no migration background","","","",""
"1 Strongly disagree","2005","Other degree","direct migration background","","","",""
"1 Strongly disagree","2005","Other degree","indirect migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","50","0.0107191511571503","0.00816166207983418","0.0132766402344664"
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","no migration background","43","0.00782023081399658","0.00550779557857269","0.0101326660494205"
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","34","0.00913139753772723","0.00641918422495867","0.0118436108504958"
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","no migration background","134","0.0205288088972843","0.0170071158625392","0.0240505019320295"
"3 on scale 1-7 ","2005","lower secondary degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","no migration background","104","0.0180776360055527","0.014580004893727","0.0215752671173784"
"3 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","no migration background","100","0.0206317273733038","0.0165786210633219","0.0246848336832858"
"3 on scale 1-7 ","2005","college entrance qualification","direct migration background","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","no migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"4 on scale 1-7","2005","lower secondary degree","no migration background","496","0.086011899590476","0.0790484677424793","0.0929753314384728"
"4 on scale 1-7","2005","lower secondary degree","direct migration background","37","0.0679123596236332","0.0477134583761957","0.0881112608710707"
"4 on scale 1-7","2005","lower secondary degree","indirect migration background","","","",""
"4 on scale 1-7","2005","secondary school degree","no migration background","486","0.0882572958058184","0.0808103864863725","0.0957042051252643"
"4 on scale 1-7","2005","secondary school degree","direct migration background","","","",""
"4 on scale 1-7","2005","secondary school degree","indirect migration background","","","",""
"4 on scale 1-7","2005","college entrance qualification","no migration background","462","0.0987054096150036","0.0902008653807017","0.107209953849306"
"4 on scale 1-7","2005","college entrance qualification","direct migration background","","","",""
"4 on scale 1-7","2005","college entrance qualification","indirect migration background","","","",""
"4 on scale 1-7","2005","Other degree","no migration background","","","",""
"4 on scale 1-7","2005","Other degree","direct migration background","77","0.0933861040665879","0.0752883042010915","0.111483903932084"
"4 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","no migration background","78","0.11868072937158","0.0924056924350919","0.144955766308069"
"4 on scale 1-7","2005","no degree/no degree yet","direct migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"5 on scale 1-7","2005","lower secondary degree","no migration background","987","0.154499190591103","0.145522961932459","0.163475419249748"
"5 on scale 1-7","2005","lower secondary degree","direct migration background","91","0.15414832399652","0.125158774137695","0.183137873855345"
"5 on scale 1-7","2005","lower secondary degree","indirect migration background","41","0.164054905900992","0.118332264850083","0.209777546951902"
"5 on scale 1-7","2005","secondary school degree","no migration background","943","0.166949551925564","0.157159322057091","0.176739781794038"
"5 on scale 1-7","2005","secondary school degree","direct migration background","35","0.167954131601494","0.120659543195387","0.215248720007601"
"5 on scale 1-7","2005","secondary school degree","indirect migration background","33","0.18834763517041","0.134562138039237","0.242133132301583"
"5 on scale 1-7","2005","college entrance qualification","no migration background","938","0.204423905278407","0.192925069079359","0.215922741477454"
"5 on scale 1-7","2005","college entrance qualification","direct migration background","42","0.148894777571673","0.106114989079205","0.191674566064141"
"5 on scale 1-7","2005","college entrance qualification","indirect migration background","48","0.244437805267121","0.18411936777553","0.304756242758713"
"5 on scale 1-7","2005","Other degree","no migration background","","","",""
"5 on scale 1-7","2005","Other degree","direct migration background","147","0.142569172225789","0.120822849556155","0.164315494895423"
"5 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","no migration background","95","0.138875586712742","0.110780362456103","0.16697081096938"
"5 on scale 1-7","2005","no degree/no degree yet","direct migration background","33","0.149424086031472","0.101880924322615","0.196967247740329"
"5 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"6 on scale 1-7","2005","lower secondary degree","no migration background","1960","0.302913783802135","0.291501395112109","0.314326172492162"
"6 on scale 1-7","2005","lower secondary degree","direct migration background","161","0.230646720235171","0.196827662152325","0.264465778318017"
"6 on scale 1-7","2005","lower secondary degree","indirect migration background","59","0.24010201964514","0.187364054075506","0.292839985214775"
"6 on scale 1-7","2005","secondary school degree","no migration background","1891","0.340483434100338","0.328043288697959","0.352923579502716"
"6 on scale 1-7","2005","secondary school degree","direct migration background","77","0.310227541355287","0.251703329936056","0.368751752774518"
"6 on scale 1-7","2005","secondary school degree","indirect migration background","63","0.332538693273298","0.267729858644726","0.397347527901871"
"6 on scale 1-7","2005","college entrance qualification","no migration background","1773","0.369103171538202","0.355343747810604","0.3828625952658"
"6 on scale 1-7","2005","college entrance qualification","direct migration background","82","0.276660094154196","0.22290102434238","0.330419163966012"
"6 on scale 1-7","2005","college entrance qualification","indirect migration background","55","0.278086848618312","0.215199470676671","0.340974226559953"
