"plh0206i04","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","(0) in school","","","",""
"1 Strongly disagree","2005","no migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","no migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","no migration background","(1c) basic vocational qualification","50","0.0134357998380887","0.0102111877504009","0.0166604119257765"
"1 Strongly disagree","2005","no migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","no migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","no migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","no migration background","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(0) in school","","","",""
"1 Strongly disagree","2005","direct migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","direct migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","direct migration background","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","direct migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","direct migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","direct migration background","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(0) in school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","indirect migration background","(1b) general elementary school","","","",""
"1 Strongly disagree","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","indirect migration background","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","indirect migration background","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","indirect migration background","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","no migration background","(0) in school","","","",""
"2 on scale 1-7 ","2005","no migration background","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","no migration background","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2005","no migration background","(1c) basic vocational qualification","35","0.00937572528111583","0.00667649486708777","0.0120749556951439"
"2 on scale 1-7 ","2005","no migration background","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","no migration background","(2a) intermediate vocational","35","0.00785037586488294","0.00527810544562588","0.01042264628414"
"2 on scale 1-7 ","2005","no migration background","(2c_gen) general maturity certificate","","","",""
