"ple0009","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","no migration background","Urban Area","1134","0.115746283757856","0.109848179916249","0.121644387599463"
"Yes, strongly limited","2011","no migration background","Rural Area","730","0.116092564813154","0.108366645729445","0.123818483896864"
"Yes, strongly limited","2011","direct migration background","Urban Area","141","0.0884897408312076","0.0742913737747793","0.102688107887636"
"Yes, strongly limited","2011","direct migration background","Rural Area","57","0.119972337823744","0.0904391493282081","0.149505526319281"
"Yes, strongly limited","2011","indirect migration background","Urban Area","13","","",""
"Yes, strongly limited","2011","indirect migration background","Rural Area","7","","",""
"Yes, somewhat limited","2011","no migration background","Urban Area","2427","0.224701079609552","0.217006097602459","0.232396061616645"
"Yes, somewhat limited","2011","no migration background","Rural Area","1458","0.233180335826315","0.222981816080246","0.243378855572385"
"Yes, somewhat limited","2011","direct migration background","Urban Area","320","0.225765709953132","0.204864263181809","0.246667156724454"
"Yes, somewhat limited","2011","direct migration background","Rural Area","95","0.182783689369978","0.147655250726023","0.217912128013932"
"Yes, somewhat limited","2011","indirect migration background","Urban Area","65","0.0889581889032479","0.0670896525273408","0.110826725279155"
"Yes, somewhat limited","2011","indirect migration background","Rural Area","19","","",""
"No, not limited","2011","no migration background","Urban Area","7741","0.659552636632592","0.650816485119594","0.668288788145589"
"No, not limited","2011","no migration background","Rural Area","4416","0.65072709936053","0.639228989581482","0.662225209139579"
"No, not limited","2011","direct migration background","Urban Area","1076","0.685744549215661","0.662536761192661","0.70895233723866"
"No, not limited","2011","direct migration background","Rural Area","313","0.697243972806278","0.655483981668478","0.739003963944078"
"No, not limited","2011","indirect migration background","Urban Area","573","0.899682917455274","0.8766053632002","0.922760471710348"
"No, not limited","2011","indirect migration background","Rural Area","110","0.800291418454006","0.733101969336895","0.867480867571117"
"Yes, strongly limited","2012","no migration background","Urban Area","1343","0.110688754687436","0.10552272219293","0.115854787181942"
"Yes, strongly limited","2012","no migration background","Rural Area","885","0.12173043275664","0.114871139915382","0.128589725597898"
"Yes, strongly limited","2012","direct migration background","Urban Area","184","0.096488917522952","0.0842177422681046","0.108760092777799"
"Yes, strongly limited","2012","direct migration background","Rural Area","71","0.0941628012464425","0.0733990386149349","0.11492656387795"
"Yes, strongly limited","2012","indirect migration background","Urban Area","48","0.0327472788853326","0.021765818551742","0.0437287392189232"
"Yes, strongly limited","2012","indirect migration background","Rural Area","12","","",""
"Yes, somewhat limited","2012","no migration background","Urban Area","3524","0.270881569824055","0.263563993553125","0.278199146094984"
"Yes, somewhat limited","2012","no migration background","Rural Area","2300","0.286140791688168","0.276659619923845","0.29562196345249"
"Yes, somewhat limited","2012","direct migration background","Urban Area","487","0.241163351273501","0.223384221358318","0.258942481188685"
"Yes, somewhat limited","2012","direct migration background","Rural Area","173","0.24282033247895","0.212335536608617","0.273305128349283"
"Yes, somewhat limited","2012","indirect migration background","Urban Area","172","0.173075939215621","0.149733100424314","0.196418778006929"
"Yes, somewhat limited","2012","indirect migration background","Rural Area","39","0.204063985464256","0.153287496405779","0.254840474522732"
"No, not limited","2012","no migration background","Urban Area","9302","0.618429675488509","0.610431131324024","0.626428219652994"
"No, not limited","2012","no migration background","Rural Area","5544","0.592128775555192","0.581819326400622","0.602438224709763"
"No, not limited","2012","direct migration background","Urban Area","1553","0.662347731203547","0.642693386788264","0.682002075618829"
"No, not limited","2012","direct migration background","Rural Area","516","0.663016866274608","0.629411574891926","0.696622157657289"
"No, not limited","2012","indirect migration background","Urban Area","789","0.794176781899046","0.769230358843638","0.819123204954454"
