"ple0009","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No, not limited","2011","higher education","Male","1830","0.737952999587345","0.720561466898976","0.755344532275714","3"
"No, not limited","2011","higher vocational","Male","592","0.657435924065048","0.626379639755361","0.688492208374736","3"
"No, not limited","2011","higher education","Female","1570","0.731912194426988","0.712998174396381","0.750826214457595","3"
"No, not limited","2011","higher vocational","Female","380","0.691700318045042","0.65296587678455","0.730434759305534","3"
"No, not limited","2011","vocational + Abi","Female","580","0.737167837589219","0.705686689231568","0.76864898594687","3"
"No, not limited","2011","middle vocational","Female","3688","0.632888226186594","0.620246709941121","0.645529742432068","3"
"No, not limited","2011","vocational + Abi","Male","345","0.751156000657987","0.711298732332799","0.791013268983175","3"
"No, not limited","2011","middle vocational","Male","3334","0.678075426804907","0.664976280621391","0.691174572988422","3"
"No, not limited","2011","general elemantary","Female","783","0.473675283411071","0.448356663054457","0.498993903767685","3"
"No, not limited","2011","general elemantary","Male","469","0.74397051921296","0.710774431588071","0.77716660683785","3"
"No, not limited","2011","inadequately","Male","54","0.592792249919009","0.490718900998608","0.69486559883941","3"
"No, not limited","2011","inadequately","Female","65","0.402141395119295","0.321776070258799","0.482506719979792","3"
"No, not limited","2011","in school","Male","154","0.948903045513257","0.914995292433878","0.982810798592637","3"
"No, not limited","2011","in school","Female","140","0.908100780080831","0.862023954174612","0.95417760598705","3"
"Yes, somewhat limited","2011","higher education","Male","474","0.197713478360906","0.181962164106284","0.213464792615528","2"
"Yes, somewhat limited","2011","higher education","Female","417","0.207210049636833","0.189903906207346","0.224516193066321","2"
"Yes, somewhat limited","2011","higher vocational","Female","118","0.21267852418963","0.178355176662768","0.247001871716491","2"
"Yes, somewhat limited","2011","higher vocational","Male","208","0.229553895444705","0.202032824185716","0.257074966703694","2"
"Yes, somewhat limited","2011","vocational + Abi","Female","125","0.214542322232178","0.185183001340778","0.243901643123578","2"
"Yes, somewhat limited","2011","vocational + Abi","Male","80","0.169003262046357","0.134455010204396","0.203551513888318","2"
"Yes, somewhat limited","2011","middle vocational","Female","1282","0.245546475298334","0.234258407728313","0.256834542868354","2"
"Yes, somewhat limited","2011","middle vocational","Male","987","0.205314993928226","0.193990083799543","0.216639904056909","2"
"Yes, somewhat limited","2011","general elemantary","Female","432","0.305045537519117","0.281698418120029","0.328392656918205","2"
"Yes, somewhat limited","2011","general elemantary","Male","132","0.178961780151561","0.149805918282653","0.208117642020469","2"
"Yes, somewhat limited","2011","inadequately","Female","48","0.343035103272606","0.265227786838341","0.420842419706871","2"
"Yes, somewhat limited","2011","inadequately","Male","20","","","","2"
"Yes, somewhat limited","2011","in school","Male","8","","","","2"
"Yes, somewhat limited","2011","in school","Female","9","","","","2"
"Yes, strongly limited","2011","in school","Male","","","","","1"
"Yes, strongly limited","2011","in school","Female","2","","","","1"
"Yes, strongly limited","2011","inadequately","Male","15","","","","1"
"Yes, strongly limited","2011","inadequately","Female","30","0.254823501608099","0.183401932602225","0.326245070613973","1"
"Yes, strongly limited","2011","general elemantary","Male","63","0.0770677006354787","0.056782225952605","0.0973531753183525","1"
"Yes, strongly limited","2011","general elemantary","Female","279","0.221279179069812","0.200230058225635","0.242328299913989","1"
"Yes, strongly limited","2011","middle vocational","Male","566","0.116609579266867","0.10761107393162","0.125608084602114","1"
"Yes, strongly limited","2011","middle vocational","Female","615","0.121565298515072","0.112994997921271","0.130135599108873","1"
"Yes, strongly limited","2011","vocational + Abi","Male","27","","","","1"
"Yes, strongly limited","2011","vocational + Abi","Female","46","0.0482898401786036","0.0329575030732265","0.0636221772839807","1"
"Yes, strongly limited","2011","higher vocational","Male","97","0.113010180490247","0.0922911241494774","0.133729236831016","1"
"Yes, strongly limited","2011","higher vocational","Female","48","0.0956211577653285","0.0709548602591767","0.12028745527148","1"
"Yes, strongly limited","2011","higher education","Male","152","0.064333522051749","0.0546303639206523","0.0740366801828458","1"
"Yes, strongly limited","2011","higher education","Female","120","0.0608777559361784","0.0506682152428253","0.0710872966295314","1"
"No, not limited","2012","higher education","Male","2254","0.714934358781227","0.699052813509548","0.730815904052907","3"
"No, not limited","2012","higher vocational","Female","424","0.629209801682598","0.592553635871129","0.665865967494067","3"
"No, not limited","2012","higher vocational","Male","714","0.646680807146348","0.618433285565646","0.674928328727049","3"
"No, not limited","2012","higher education","Female","2095","0.687492527701506","0.6707746724093","0.704210382993713","3"
"No, not limited","2012","middle vocational","Female","4667","0.580157198036219","0.568901069609133","0.591413326463305","3"
"No, not limited","2012","vocational + Abi","Male","496","0.717341978769942","0.683014560511978","0.751669397027906","3"
"No, not limited","2012","general elemantary","Female","958","0.459326047516608","0.436823281593587","0.481828813439629","3"
"No, not limited","2012","vocational + Abi","Female","948","0.695189153990229","0.67003009990081","0.720348208079648","3"
"No, not limited","2012","middle vocational","Male","3752","0.615344932029156","0.602922353083099","0.627767510975213","3"
"No, not limited","2012","inadequately","Male","94","0.519342826540851","0.440175285047275","0.598510368034427","3"
"No, not limited","2012","inadequately","Female","112","0.36516711885618","0.302115009400187","0.428219228312173","3"
"No, not limited","2012","general elemantary","Male","654","0.657925197108716","0.627789695888309","0.688060698329124","3"
"No, not limited","2012","in school","Male","202","0.911634888035649","0.874299343624138","0.948970432447161","3"
"No, not limited","2012","in school","Female","211","0.869892382966967","0.827852193674795","0.911932572259139","3"
"Yes, somewhat limited","2012","higher education","Male","670","0.2196604032281","0.205095589141767","0.234225217314434","2"
"Yes, somewhat limited","2012","higher education","Female","707","0.248859629254166","0.233265750810436","0.264453507697896","2"
"Yes, somewhat limited","2012","higher vocational","Male","288","0.266129074693875","0.240013009056302","0.292245140331448","2"
"Yes, somewhat limited","2012","higher vocational","Female","177","0.263771068007812","0.23032807076505","0.297214065250574","2"
"Yes, somewhat limited","2012","middle vocational","Female","1960","0.295879457352776","0.285469384820759","0.306289529884794","2"
"Yes, somewhat limited","2012","vocational + Abi","Male","128","0.203610436799209","0.172912431337546","0.234308442260873","2"
"Yes, somewhat limited","2012","vocational + Abi","Female","266","0.24995965800163","0.226294746799331","0.273624569203929","2"
"Yes, somewhat limited","2012","middle vocational","Male","1480","0.268497171190909","0.25718112831962","0.279813214062198","2"
"Yes, somewhat limited","2012","general elemantary","Female","601","0.340774695231734","0.319372503732244","0.362176886731224","2"
"Yes, somewhat limited","2012","inadequately","Female","68","0.333489044797405","0.271748776298682","0.395229313296128","2"
"Yes, somewhat limited","2012","general elemantary","Male","197","0.237520408972929","0.21048741206007","0.264553405885788","2"
"Yes, somewhat limited","2012","inadequately","Male","34","0.320003693582372","0.246088597117024","0.393918790047719","2"
"Yes, somewhat limited","2012","in school","Female","33","0.123290594057922","0.0822065351695827","0.164374652946262","2"
"Yes, somewhat limited","2012","in school","Male","18","","","","2"
"Yes, strongly limited","2012","higher education","Male","180","0.0654052379906724","0.0567075230255321","0.0741029529558127","1"
"Yes, strongly limited","2012","in school","Male","2","","","","1"
"Yes, strongly limited","2012","in school","Female","2","","","","1"
"Yes, strongly limited","2012","inadequately","Male","25","","","","1"
"Yes, strongly limited","2012","inadequately","Female","44","0.301343836346415","0.241255941950225","0.361431730742605","1"
"Yes, strongly limited","2012","general elemantary","Male","101","0.104554393918355","0.0851177908292608","0.123990997007449","1"
"Yes, strongly limited","2012","general elemantary","Female","325","0.199899257251658","0.181840595279781","0.217957919223536","1"
"Yes, strongly limited","2012","middle vocational","Male","660","0.116157896779935","0.107976481550398","0.124339312009471","1"
"Yes, strongly limited","2012","middle vocational","Female","758","0.123963344611004","0.116447451015575","0.131479238206434","1"
"Yes, strongly limited","2012","vocational + Abi","Male","37","0.0790475844308486","0.0584787227115534","0.0996164461501438","1"
"Yes, strongly limited","2012","vocational + Abi","Female","72","0.0548511880081414","0.0424068808452518","0.067295495171031","1"
"Yes, strongly limited","2012","higher vocational","Male","98","0.0871901181597774","0.0705185847130752","0.10386165160648","1"
"Yes, strongly limited","2012","higher vocational","Female","66","0.10701913030959","0.0835586467017981","0.130479613917382","1"
"Yes, strongly limited","2012","higher education","Female","151","0.063647843044328","0.0548428742646319","0.0724528118240241","1"
"No, not limited","2013","higher education","Male","2596","0.742935867619042","0.728300143707667","0.757571591530417","3"
"No, not limited","2013","higher vocational","Female","414","0.611596685258897","0.574041494180732","0.649151876337061","3"
"No, not limited","2013","higher vocational","Male","705","0.652073305015134","0.623412889300746","0.680733720729522","3"
"No, not limited","2013","higher education","Female","2579","0.721236250620539","0.706157781891003","0.736314719350075","3"
"No, not limited","2013","general elemantary","Female","1331","0.484003438661906","0.46353978515233","0.504467092171482","3"
"No, not limited","2013","middle vocational","Male","4234","0.639117060528687","0.6272542085217","0.650979912535674","3"
"No, not limited","2013","middle vocational","Female","5082","0.597585582481534","0.586687478604384","0.608483686358684","3"
"No, not limited","2013","vocational + Abi","Male","659","0.77540472350722","0.747333665853612","0.803475781160828","3"
"No, not limited","2013","vocational + Abi","Female","1133","0.742740937110764","0.720671285008876","0.764810589212653","3"
"No, not limited","2013","in school","Male","287","0.912756265378535","0.881393638455474","0.944118892301597","3"
"No, not limited","2013","in school","Female","279","0.89365486790425","0.859557018589288","0.927752717219212","3"
"No, not limited","2013","inadequately","Male","163","0.613797464219703","0.556042825306949","0.671552103132456","3"
"No, not limited","2013","inadequately","Female","209","0.487968718606618","0.43626222296246","0.539675214250776","3"
"No, not limited","2013","general elemantary","Male","1026","0.702645295095095","0.678752832804799","0.72653775738539","3"
"Yes, somewhat limited","2013","higher vocational","Male","276","0.261692701954696","0.235243974255265","0.288141429654127","2"
"Yes, somewhat limited","2013","higher vocational","Female","174","0.280248371296309","0.245641779719031","0.314854962873587","2"
"Yes, somewhat limited","2013","higher education","Male","649","0.200826938921404","0.187410130904109","0.214243746938699","2"
"Yes, somewhat limited","2013","higher education","Female","659","0.219289017198439","0.205374956210274","0.233203078186603","2"
"Yes, somewhat limited","2013","general elemantary","Female","618","0.306499996175215","0.287621212197258","0.325378780153173","2"
"Yes, somewhat limited","2013","middle vocational","Male","1420","0.24249619895621","0.231909498934838","0.253082898977582","2"
"Yes, somewhat limited","2013","middle vocational","Female","1937","0.276452472232655","0.266513124322372","0.286391820142939","2"
"Yes, somewhat limited","2013","vocational + Abi","Male","147","0.169634463222317","0.144388848599836","0.194880077844798","2"
"Yes, somewhat limited","2013","vocational + Abi","Female","277","0.189226477438162","0.169450762372616","0.209002192503709","2"
"Yes, somewhat limited","2013","in school","Male","24","","","","2"
"Yes, somewhat limited","2013","in school","Female","29","","","","2"
"Yes, somewhat limited","2013","inadequately","Male","67","0.222690972000318","0.173337816113311","0.272044127887325","2"
"Yes, somewhat limited","2013","inadequately","Female","94","0.256494132485365","0.211320835982201","0.30166742898853","2"
"Yes, somewhat limited","2013","general elemantary","Male","269","0.214786640662451","0.193320552761496","0.236252728563405","2"
"Yes, strongly limited","2013","vocational + Abi","Female","97","0.068032585451073","0.055319519009794","0.0807456518923521","1"
"Yes, strongly limited","2013","vocational + Abi","Male","43","0.0549608132704634","0.0396306870812494","0.0702909394596773","1"
"Yes, strongly limited","2013","higher vocational","Male","80","0.08623399303017","0.0693433125618164","0.103124673498524","1"
"Yes, strongly limited","2013","higher vocational","Female","59","0.108154943444795","0.0842237783613953","0.132086108528194","1"
"Yes, strongly limited","2013","higher education","Male","180","0.0562371934595538","0.0485217471840449","0.0639526397350626","1"
"Yes, strongly limited","2013","in school","Male","","","","","1"
"Yes, strongly limited","2013","in school","Female","6","","","","1"
"Yes, strongly limited","2013","inadequately","Male","43","0.16351156377998","0.119641226401216","0.207381901158743","1"
"Yes, strongly limited","2013","inadequately","Female","56","0.255537148908017","0.210419194109087","0.300655103706947","1"
"Yes, strongly limited","2013","general elemantary","Male","111","0.0825680642424549","0.0681817875434128","0.0969543409414971","1"
"Yes, strongly limited","2013","general elemantary","Female","342","0.209496565162878","0.192832694717343","0.226160435608414","1"
"Yes, strongly limited","2013","middle vocational","Male","642","0.118386740515103","0.110406677518822","0.126366803511384","1"
"Yes, strongly limited","2013","middle vocational","Female","759","0.125961945285811","0.118588015940554","0.133335874631068","1"
"Yes, strongly limited","2013","higher education","Female","159","0.0594747321810228","0.0515213509709061","0.0674281133911394","1"
"No, not limited","2014","general elemantary","Female","","","","","3"
"No, not limited","2014","middle vocational","Male","","","","","3"
"No, not limited","2014","vocational + Abi","Male","","","","","3"
"No, not limited","2014","vocational + Abi","Female","","","","","3"
"No, not limited","2014","middle vocational","Female","","","","","3"
"No, not limited","2014","higher vocational","Female","","","","","3"
"No, not limited","2014","higher education","Male","","","","","3"
"No, not limited","2014","higher vocational","Male","","","","","3"
"No, not limited","2014","higher education","Female","","","","","3"
"No, not limited","2014","in school","Male","","","","","3"
"No, not limited","2014","in school","Female","","","","","3"
"No, not limited","2014","inadequately","Male","","","","","3"
"No, not limited","2014","inadequately","Female","","","","","3"
"No, not limited","2014","general elemantary","Male","","","","","3"
"Yes, somewhat limited","2014","vocational + Abi","Female","","","","","2"
"Yes, somewhat limited","2014","higher vocational","Male","","","","","2"
"Yes, somewhat limited","2014","higher vocational","Female","","","","","2"
"Yes, somewhat limited","2014","higher education","Male","","","","","2"
"Yes, somewhat limited","2014","higher education","Female","","","","","2"
"Yes, somewhat limited","2014","middle vocational","Female","","","","","2"
"Yes, somewhat limited","2014","general elemantary","Female","","","","","2"
"Yes, somewhat limited","2014","middle vocational","Male","","","","","2"
"Yes, somewhat limited","2014","vocational + Abi","Male","","","","","2"
"Yes, somewhat limited","2014","in school","Female","","","","","2"
"Yes, somewhat limited","2014","inadequately","Male","","","","","2"
"Yes, somewhat limited","2014","inadequately","Female","","","","","2"
"Yes, somewhat limited","2014","in school","Male","","","","","2"
"Yes, somewhat limited","2014","general elemantary","Male","","","","","2"
"Yes, strongly limited","2014","vocational + Abi","Female","","","","","1"
"Yes, strongly limited","2014","higher vocational","Male","","","","","1"
"Yes, strongly limited","2014","higher vocational","Female","","","","","1"
"Yes, strongly limited","2014","higher education","Male","","","","","1"
"Yes, strongly limited","2014","higher education","Female","","","","","1"
"Yes, strongly limited","2014","middle vocational","Male","","","","","1"
"Yes, strongly limited","2014","general elemantary","Female","","","","","1"
"Yes, strongly limited","2014","middle vocational","Female","","","","","1"
"Yes, strongly limited","2014","vocational + Abi","Male","","","","","1"
"Yes, strongly limited","2014","general elemantary","Male","","","","","1"
"Yes, strongly limited","2014","in school","Male","","","","","1"
"Yes, strongly limited","2014","in school","Female","","","","","1"
"Yes, strongly limited","2014","inadequately","Male","","","","","1"
"Yes, strongly limited","2014","inadequately","Female","","","","","1"
"No, not limited","2015","higher education","Female","2394","0.715749994261729","0.700104850815973","0.731395137707484","3"
"No, not limited","2015","higher education","Male","2433","0.756586571958233","0.741664089931595","0.771509053984871","3"
"No, not limited","2015","general elemantary","Female","989","0.479840169329357","0.456637773179762","0.503042565478952","3"
"No, not limited","2015","middle vocational","Male","3535","0.618157249358456","0.605194298375829","0.631120200341082","3"
"No, not limited","2015","middle vocational","Female","4091","0.573641894190013","0.561713413412875","0.58557037496715","3"
"No, not limited","2015","vocational + Abi","Male","634","0.748745947429526","0.718857895418825","0.778633999440227","3"
"No, not limited","2015","vocational + Abi","Female","992","0.69917370665048","0.674664040879452","0.723683372421507","3"
"No, not limited","2015","higher vocational","Female","367","0.605126534361969","0.565102316473043","0.645150752250895","3"
"No, not limited","2015","higher vocational","Male","596","0.646126569823161","0.6153449831698","0.676908156476522","3"
"No, not limited","2015","in school","Male","153","0.93008249525758","0.891172622143587","0.968992368371572","3"
"No, not limited","2015","in school","Female","171","0.872597631664699","0.826843662732953","0.918351600596446","3"
"No, not limited","2015","inadequately","Male","141","0.550970792311482","0.48509473212602","0.616846852496944","3"
"No, not limited","2015","inadequately","Female","183","0.441952912161931","0.387023280095012","0.496882544228851","3"
"No, not limited","2015","general elemantary","Male","859","0.692609449710939","0.666147847767688","0.71907105165419","3"
"Yes, somewhat limited","2015","vocational + Abi","Female","260","0.214563551498508","0.19262436858979","0.236502734407226","2"
"Yes, somewhat limited","2015","higher vocational","Male","242","0.23917261370762","0.211712203712307","0.266633023702934","2"
"Yes, somewhat limited","2015","higher vocational","Female","156","0.295003356020241","0.257663057712787","0.332343654327695","2"
"Yes, somewhat limited","2015","higher education","Male","587","0.186315451902177","0.17277628459051","0.199854619213844","2"
"Yes, somewhat limited","2015","general elemantary","Female","520","0.330208945930433","0.308367558627446","0.35205033323342","2"
"Yes, somewhat limited","2015","higher education","Female","642","0.217782343468967","0.20346627481134","0.232098412126594","2"
"Yes, somewhat limited","2015","middle vocational","Male","1298","0.259482845369232","0.247786935626919","0.271178755111544","2"
"Yes, somewhat limited","2015","middle vocational","Female","1820","0.294427011452125","0.283433479552761","0.305420543351489","2"
"Yes, somewhat limited","2015","in school","Male","10","","","","2"
"Yes, somewhat limited","2015","vocational + Abi","Male","144","0.206472814930821","0.178580396326095","0.234365233535546","2"
"Yes, somewhat limited","2015","in school","Female","30","0.120739208353114","0.0760280395505177","0.165450377155709","2"
"Yes, somewhat limited","2015","inadequately","Male","40","0.176528260698632","0.126032199409485","0.227024321987779","2"
"Yes, somewhat limited","2015","inadequately","Female","79","0.302777039584523","0.251957517516407","0.353596561652639","2"
"Yes, somewhat limited","2015","general elemantary","Male","205","0.193849179431032","0.171178381641056","0.216519977221008","2"
"Yes, strongly limited","2015","vocational + Abi","Female","93","0.0862627418510124","0.071258666214117","0.101266817487908","1"
"Yes, strongly limited","2015","higher vocational","Male","89","0.114700816469219","0.0941874702285086","0.135214162709928","1"
"Yes, strongly limited","2015","higher vocational","Female","50","0.0998701096177898","0.0753206953259428","0.124419523909637","1"
"Yes, strongly limited","2015","higher education","Male","157","0.0570979761395897","0.0490296559465546","0.0651662963326248","1"
"Yes, strongly limited","2015","higher education","Female","157","0.0664676622693042","0.0578275672770817","0.0751077572615266","1"
"Yes, strongly limited","2015","inadequately","Female","52","0.255270048253545","0.207043896589775","0.303496199917316","1"
"Yes, strongly limited","2015","inadequately","Male","38","0.272500946989886","0.213531608262003","0.331470285717769","1"
"Yes, strongly limited","2015","general elemantary","Male","104","0.113541370858028","0.0953471705251601","0.131735571190896","1"
"Yes, strongly limited","2015","general elemantary","Female","272","0.18995088474021","0.171733229976508","0.208168539503913","1"
"Yes, strongly limited","2015","middle vocational","Male","563","0.122359905272312","0.113616312661432","0.131103497883193","1"
"Yes, strongly limited","2015","middle vocational","Female","692","0.131931094357862","0.123768501688399","0.140093687027324","1"
"Yes, strongly limited","2015","vocational + Abi","Male","31","0.0447812376396534","0.0305293201803928","0.0590331550989139","1"
"Yes, strongly limited","2015","in school","Female","3","","","","1"
"Yes, strongly limited","2015","in school","Male","2","","","","1"
"No, not limited","2016","higher vocational","Male","","","","","3"
"No, not limited","2016","higher vocational","Female","","","","","3"
"No, not limited","2016","higher education","Male","429","0.880039766849398","0.851271092498055","0.908808441200741","3"
"No, not limited","2016","higher education","Female","209","0.806960446135916","0.759260323748864","0.854660568522968","3"
"No, not limited","2016","vocational + Abi","Female","26","","","","3"
"No, not limited","2016","general elemantary","Female","215","0.755192107995846","0.706042975770517","0.804341240221176","3"
"No, not limited","2016","middle vocational","Male","409","0.863211597258407","0.832940458140513","0.893482736376301","3"
"No, not limited","2016","vocational + Abi","Male","61","0.903337025963007","0.836902127268011","0.969771924658003","3"
"No, not limited","2016","middle vocational","Female","206","0.769275390326595","0.718646879621579","0.819903901031611","3"
"No, not limited","2016","in school","Male","15","","","","3"
"No, not limited","2016","in school","Female","7","","","","3"
"No, not limited","2016","inadequately","Male","725","0.793941893596667","0.767777181396419","0.820106605796914","3"
"No, not limited","2016","inadequately","Female","435","0.630722855383219","0.59384797305635","0.667597737710087","3"
"No, not limited","2016","general elemantary","Male","443","0.840176476472709","0.809154368460683","0.871198584484735","3"
"Yes, somewhat limited","2016","vocational + Abi","Female","6","","","","2"
"Yes, somewhat limited","2016","higher education","Female","46","0.166033344005661","0.121061342383256","0.211005345628065","2"
"Yes, somewhat limited","2016","higher vocational","Male","","","","","2"
"Yes, somewhat limited","2016","higher vocational","Female","","","","","2"
"Yes, somewhat limited","2016","higher education","Male","42","0.0813706533866371","0.057162920962608","0.105578385810666","2"
"Yes, somewhat limited","2016","general elemantary","Female","64","0.20093889421044","0.155135630392773","0.246742158028107","2"
"Yes, somewhat limited","2016","middle vocational","Female","47","0.158933755144669","0.114996750430219","0.202870759859119","2"
"Yes, somewhat limited","2016","vocational + Abi","Male","12","","","","2"
"Yes, somewhat limited","2016","middle vocational","Male","64","0.101431341671698","0.0748358998283147","0.128026783515082","2"
"Yes, somewhat limited","2016","in school","Male","2","","","","2"
"Yes, somewhat limited","2016","in school","Female","2","","","","2"
"Yes, somewhat limited","2016","inadequately","Male","142","0.140634724143412","0.118146149305622","0.163123298981202","2"
"Yes, somewhat limited","2016","inadequately","Female","150","0.243067921715256","0.21029407460271","0.275841768827801","2"
"Yes, somewhat limited","2016","general elemantary","Male","66","0.121283108352144","0.0936461436973856","0.148920073006903","2"
"Yes, strongly limited","2016","vocational + Abi","Female","1","","","","1"
"Yes, strongly limited","2016","higher vocational","Male","","","","","1"
"Yes, strongly limited","2016","higher vocational","Female","","","","","1"
"Yes, strongly limited","2016","higher education","Male","19","","","","1"
"Yes, strongly limited","2016","higher education","Female","8","","","","1"
"Yes, strongly limited","2016","in school","Male","","","","","1"
"Yes, strongly limited","2016","inadequately","Female","73","0.126209222901526","0.100835486795989","0.151582959007062","1"
"Yes, strongly limited","2016","in school","Female","","","","","1"
"Yes, strongly limited","2016","inadequately","Male","51","0.0654233822599212","0.0494277761081876","0.0814189884116548","1"
"Yes, strongly limited","2016","middle vocational","Male","22","","","","1"
"Yes, strongly limited","2016","general elemantary","Male","27","","","","1"
"Yes, strongly limited","2016","general elemantary","Female","15","","","","1"
"Yes, strongly limited","2016","middle vocational","Female","13","","","","1"
"Yes, strongly limited","2016","vocational + Abi","Male","3","","","","1"
"No, not limited","2017","in school","Male","182","0.824083965613733","0.771707219173343","0.876460712054122","3"
"No, not limited","2017","middle vocational","Male","3765","0.620234567036798","0.607628632168522","0.632840501905075","3"
"No, not limited","2017","middle vocational","Female","4258","0.580157229688936","0.568392256633447","0.591922202744426","3"
"No, not limited","2017","vocational + Abi","Male","663","0.762429950181244","0.733869214245082","0.790990686117406","3"
"No, not limited","2017","vocational + Abi","Female","1029","0.678078746266346","0.653820715078452","0.702336777454241","3"
"No, not limited","2017","higher vocational","Male","619","0.667789765218248","0.637743639695915","0.697835890740581","3"
"No, not limited","2017","higher vocational","Female","351","0.572551408295667","0.532734280114489","0.612368536476845","3"
"No, not limited","2017","higher education","Male","2721","0.746317041657608","0.732001676931517","0.760632406383698","3"
"No, not limited","2017","higher education","Female","2544","0.714209334842397","0.699065518943404","0.72935315074139","3"
"No, not limited","2017","in school","Female","186","0.840880368218969","0.791986111297998","0.88977462513994","3"
"No, not limited","2017","inadequately","Male","658","0.618495592613571","0.585916630842447","0.651074554384696","3"
"No, not limited","2017","inadequately","Female","535","0.425618283776574","0.391714551938997","0.459522015614151","3"
"No, not limited","2017","general elemantary","Female","1094","0.479414287900529","0.456998164198948","0.501830411602109","3"
"No, not limited","2017","general elemantary","Male","1013","0.677632799167868","0.652973474346991","0.702292123988745","3"
