"ple0009","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","no migration background","(0) in school","2","","",""
"Yes, strongly limited","2011","no migration background","(1a) inadequately completed","22","","",""
"Yes, strongly limited","2011","no migration background","(1b) general elementary school","264","0.240298565862848","0.216184441315056","0.264412690410641"
"Yes, strongly limited","2011","no migration background","(1c) basic vocational qualification","781","0.170199474341367","0.159607646700471","0.180791301982263"
"Yes, strongly limited","2011","no migration background","(2b) intermediate general qualification","34","0.072993810581586","0.0488792882058655","0.0971083329573066"
"Yes, strongly limited","2011","no migration background","(2a) intermediate vocational","393","0.0903235751751591","0.0821260673390597","0.0985210830112584"
"Yes, strongly limited","2011","no migration background","(2c_gen) general maturity certificate","16","","",""
"Yes, strongly limited","2011","no migration background","(2c_voc) vocational maturity certificate","83","0.07815870992058","0.0634077152919763","0.0929097045491837"
"Yes, strongly limited","2011","no migration background","(3a) lower tertiary education","125","0.0804490592018337","0.0672894745576615","0.0936086438460059"
"Yes, strongly limited","2011","no migration background","(3b) higher tertiary education","122","0.0553449433587275","0.0462835399549475","0.0644063467625075"
"Yes, strongly limited","2011","direct migration background","(0) in school","","","",""
"Yes, strongly limited","2011","direct migration background","(1a) inadequately completed","21","","",""
"Yes, strongly limited","2011","direct migration background","(1b) general elementary school","50","0.134865813661646","0.100476685840038","0.169254941483254"
"Yes, strongly limited","2011","direct migration background","(1c) basic vocational qualification","55","0.110817041074195","0.0833573863059038","0.138276695842487"
"Yes, strongly limited","2011","direct migration background","(2b) intermediate general qualification","2","","",""
"Yes, strongly limited","2011","direct migration background","(2a) intermediate vocational","6","","",""
"Yes, strongly limited","2011","direct migration background","(2c_gen) general maturity certificate","8","","",""
"Yes, strongly limited","2011","direct migration background","(2c_voc) vocational maturity certificate","23","","",""
"Yes, strongly limited","2011","direct migration background","(3a) lower tertiary education","3","","",""
"Yes, strongly limited","2011","direct migration background","(3b) higher tertiary education","20","","",""
"Yes, strongly limited","2011","indirect migration background","(0) in school","","","",""
"Yes, strongly limited","2011","indirect migration background","(1a) inadequately completed","1","","",""
"Yes, strongly limited","2011","indirect migration background","(1b) general elementary school","4","","",""
"Yes, strongly limited","2011","indirect migration background","(1c) basic vocational qualification","5","","",""
"Yes, strongly limited","2011","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes, strongly limited","2011","indirect migration background","(2a) intermediate vocational","5","","",""
"Yes, strongly limited","2011","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes, strongly limited","2011","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes, strongly limited","2011","indirect migration background","(3a) lower tertiary education","","","",""
"Yes, strongly limited","2011","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes, somewhat limited","2011","no migration background","(0) in school","14","","",""
"Yes, somewhat limited","2011","no migration background","(1a) inadequately completed","38","0.292431624657632","0.211381855663986","0.373481393651278"
"Yes, somewhat limited","2011","no migration background","(1b) general elementary school","380","0.306330762414068","0.280314436733973","0.332347088094164"
"Yes, somewhat limited","2011","no migration background","(1c) basic vocational qualification","1284","0.274549614584004","0.261971393556071","0.287127835611937"
"Yes, somewhat limited","2011","no migration background","(2b) intermediate general qualification","76","0.160582742872888","0.12654719765362","0.194618288092155"
