"ple0009","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, strongly limited","2011","lower secondary degree","in school","","","",""
"Yes, strongly limited","2011","lower secondary degree","inadequately","","","",""
"Yes, strongly limited","2011","lower secondary degree","general elemantary","267","0.219760439680943","0.197769272602237","0.24175160675965"
"Yes, strongly limited","2011","lower secondary degree","middle vocational","744","0.164143502800876","0.153598744491045","0.174688261110706"
"Yes, strongly limited","2011","lower secondary degree","vocational + Abi","","","",""
"Yes, strongly limited","2011","lower secondary degree","higher vocational","57","0.136066748027672","0.102126019886537","0.170007476168806"
"Yes, strongly limited","2011","lower secondary degree","higher education","20","","",""
"Yes, strongly limited","2011","secondary school degree","in school","","","",""
"Yes, strongly limited","2011","secondary school degree","inadequately","","","",""
"Yes, strongly limited","2011","secondary school degree","general elemantary","36","0.0654279687051601","0.0444743368849814","0.0863816005253388"
"Yes, strongly limited","2011","secondary school degree","middle vocational","347","0.0864406146413956","0.0780588765323423","0.0948223527504489"
"Yes, strongly limited","2011","secondary school degree","vocational + Abi","3","","",""
"Yes, strongly limited","2011","secondary school degree","higher vocational","52","0.0771263000522769","0.056424403441894","0.0978281966626597"
"Yes, strongly limited","2011","secondary school degree","higher education","58","0.100123606795837","0.0767771541828326","0.12347005940884"
"Yes, strongly limited","2011","college entrance qualification","in school","","","",""
"Yes, strongly limited","2011","college entrance qualification","inadequately","","","",""
"Yes, strongly limited","2011","college entrance qualification","general elemantary","","","",""
"Yes, strongly limited","2011","college entrance qualification","middle vocational","19","","",""
"Yes, strongly limited","2011","college entrance qualification","vocational + Abi","52","0.0544155141550626","0.0406027768955796","0.0682282514145456"
"Yes, strongly limited","2011","college entrance qualification","higher vocational","30","0.120646458158479","0.0864250783759482","0.154867837941009"
"Yes, strongly limited","2011","college entrance qualification","higher education","180","0.0560459748051609","0.0483973947099174","0.0636945549004043"
"Yes, strongly limited","2011","Other degree","in school","","","",""
"Yes, strongly limited","2011","Other degree","inadequately","12","","",""
"Yes, strongly limited","2011","Other degree","general elemantary","39","0.137317722845409","0.0955619456278775","0.17907350006294"
"Yes, strongly limited","2011","Other degree","middle vocational","49","0.111621511947429","0.0815770221928916","0.141666001701967"
"Yes, strongly limited","2011","Other degree","vocational + Abi","18","","",""
"Yes, strongly limited","2011","Other degree","higher vocational","5","","",""
"Yes, strongly limited","2011","Other degree","higher education","13","","",""
"Yes, strongly limited","2011","no degree/no degree yet","in school","2","","",""
"Yes, strongly limited","2011","no degree/no degree yet","inadequately","33","0.213012909173554","0.154485953771406","0.271539864575701"
"Yes, strongly limited","2011","no degree/no degree yet","general elemantary","","","",""
"Yes, strongly limited","2011","no degree/no degree yet","middle vocational","11","","",""
"Yes, strongly limited","2011","no degree/no degree yet","vocational + Abi","","","",""
"Yes, strongly limited","2011","no degree/no degree yet","higher vocational","","","",""
"Yes, strongly limited","2011","no degree/no degree yet","higher education","","","",""
"Yes, somewhat limited","2011","lower secondary degree","in school","","","",""
"Yes, somewhat limited","2011","lower secondary degree","inadequately","","","",""
"Yes, somewhat limited","2011","lower secondary degree","general elemantary","407","0.298647068311658","0.274341433215452","0.322952703407864"
"Yes, somewhat limited","2011","lower secondary degree","middle vocational","1224","0.265031904910438","0.252467490778512","0.277596319042363"
"Yes, somewhat limited","2011","lower secondary degree","vocational + Abi","1","","",""
"Yes, somewhat limited","2011","lower secondary degree","higher vocational","106","0.28618248827415","0.24143999471371","0.33092498183459"
"Yes, somewhat limited","2011","lower secondary degree","higher education","65","0.3862298453669","0.311485199742778","0.460974490991023"
"Yes, somewhat limited","2011","secondary school degree","in school","","","",""
"Yes, somewhat limited","2011","secondary school degree","inadequately","","","",""
"Yes, somewhat limited","2011","secondary school degree","general elemantary","84","0.140891180710803","0.111410521326259","0.170371840095347"
"Yes, somewhat limited","2011","secondary school degree","middle vocational","831","0.204401903030746","0.192373828589247","0.216429977472245"
"Yes, somewhat limited","2011","secondary school degree","vocational + Abi","4","","",""
"Yes, somewhat limited","2011","secondary school degree","higher vocational","136","0.236512239971931","0.203538697937732","0.26948578200613"
"Yes, somewhat limited","2011","secondary school degree","higher education","166","0.302596717227641","0.266866527021245","0.338326907434037"
"Yes, somewhat limited","2011","college entrance qualification","in school","","","",""
"Yes, somewhat limited","2011","college entrance qualification","inadequately","","","",""
"Yes, somewhat limited","2011","college entrance qualification","general elemantary","","","",""
"Yes, somewhat limited","2011","college entrance qualification","middle vocational","73","0.0893796167637644","0.0692810291935159","0.109478204334013"
"Yes, somewhat limited","2011","college entrance qualification","vocational + Abi","180","0.202243232103897","0.177784132783391","0.226702331424403"
"Yes, somewhat limited","2011","college entrance qualification","higher vocational","68","0.139440198514911","0.10304509214901","0.175835304880812"
"Yes, somewhat limited","2011","college entrance qualification","higher education","608","0.179776080056715","0.167006831155391","0.192545328958039"
"Yes, somewhat limited","2011","Other degree","in school","","","",""
"Yes, somewhat limited","2011","Other degree","inadequately","7","","",""
"Yes, somewhat limited","2011","Other degree","general elemantary","73","0.301365845347309","0.245698596350477","0.357033094344141"
"Yes, somewhat limited","2011","Other degree","middle vocational","106","0.272484423499418","0.230004487461765","0.31496435953707"
"Yes, somewhat limited","2011","Other degree","vocational + Abi","20","","",""
"Yes, somewhat limited","2011","Other degree","higher vocational","14","","",""
"Yes, somewhat limited","2011","Other degree","higher education","39","0.16238587954461","0.114409078352129","0.21036268073709"
"Yes, somewhat limited","2011","no degree/no degree yet","in school","17","","",""
"Yes, somewhat limited","2011","no degree/no degree yet","inadequately","61","0.320461668754211","0.253755777520036","0.387167559988385"
"Yes, somewhat limited","2011","no degree/no degree yet","general elemantary","","","",""
"Yes, somewhat limited","2011","no degree/no degree yet","middle vocational","19","","",""
"Yes, somewhat limited","2011","no degree/no degree yet","vocational + Abi","","","",""
"Yes, somewhat limited","2011","no degree/no degree yet","higher vocational","1","","",""
"Yes, somewhat limited","2011","no degree/no degree yet","higher education","2","","",""
"No, not limited","2011","lower secondary degree","in school","","","",""
"No, not limited","2011","lower secondary degree","inadequately","","","",""
"No, not limited","2011","lower secondary degree","general elemantary","688","0.481592492007399","0.455056518041723","0.508128465973074"
"No, not limited","2011","lower secondary degree","middle vocational","2772","0.570824592288687","0.556734051159703","0.58491513341767"
"No, not limited","2011","lower secondary degree","vocational + Abi","9","","",""
"No, not limited","2011","lower secondary degree","higher vocational","229","0.577750763698178","0.528856291995829","0.626645235400528"
"No, not limited","2011","lower secondary degree","higher education","78","0.49711217009102","0.420355336735176","0.573869003446863"
