"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","3.22","3","265","1","1","5","6","3.01","3.43","3","3"
"2005","college entrance qualification","indirect migration background","3.13","3","196","1","2","4","5","2.91","3.35","3","3"
"2005","college entrance qualification","no migration background","3.01","3","4722","1","2","4","5","2.97","3.05","3","3"
"2005","lower secondary degree","direct migration background","3.4","3","596","1","2","5","6","3.25","3.55","3","4"
"2005","lower secondary degree","indirect migration background","3.84","4","252","2","2","5","6","3.61","4.07","4","4"
"2005","lower secondary degree","no migration background","3.34","3","6221","1","2","5","6","3.3","3.38","3","3"
"2005","no degree/no degree yet","direct migration background","3.19","3","214","1","1","5","6","2.94","3.44","3","3"
"2005","no degree/no degree yet","indirect migration background","3.56","3","97","1","2","5","6","3.21","3.91","3","4"
"2005","no degree/no degree yet","no migration background","3.75","4","582","1","2","5","7","3.6","3.9","4","4"
"2005","Other degree","direct migration background","3.28","3","993","1","2","5","6","3.17","3.39","3","3"
"2005","Other degree","indirect migration background","","","","","","","","","","",""
"2005","Other degree","no migration background","3.23","3","110","1","2","5","6","2.85","3.61","2","3"
"2005","secondary school degree","direct migration background","3.34","3","241","1","2","5","6","3.12","3.56","3","3"
"2005","secondary school degree","indirect migration background","3.59","3","202","1","2","5","6","3.35","3.83","3","4"
"2005","secondary school degree","no migration background","3.25","3","5566","1","2","4","6","3.21","3.29","3","3"
"2006","college entrance qualification","direct migration background","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2007","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2007","Other degree","direct migration background","","","","","","","","","","",""
"2007","Other degree","indirect migration background","","","","","","","","","","",""
"2007","Other degree","no migration background","","","","","","","","","","",""
"2007","secondary school degree","direct migration background","","","","","","","","","","",""
"2007","secondary school degree","indirect migration background","","","","","","","","","","",""
"2007","secondary school degree","no migration background","","","","","","","","","","",""
"2008","college entrance qualification","direct migration background","","","","","","","","","","",""
"2008","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2008","college entrance qualification","no migration background","","","","","","","","","","",""
"2008","lower secondary degree","direct migration background","","","","","","","","","","",""
"2008","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2008","lower secondary degree","no migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2008","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2008","Other degree","direct migration background","","","","","","","","","","",""
"2008","Other degree","indirect migration background","","","","","","","","","","",""
"2008","Other degree","no migration background","","","","","","","","","","",""
"2008","secondary school degree","direct migration background","","","","","","","","","","",""
"2008","secondary school degree","indirect migration background","","","","","","","","","","",""
"2008","secondary school degree","no migration background","","","","","","","","","","",""
"2009","college entrance qualification","direct migration background","","","","","","","","","","",""
"2009","college entrance qualification","indirect migration background","","","","","","","","","","",""
"2009","college entrance qualification","no migration background","","","","","","","","","","",""
"2009","lower secondary degree","direct migration background","","","","","","","","","","",""
"2009","lower secondary degree","indirect migration background","","","","","","","","","","",""
"2009","lower secondary degree","no migration background","","","","","","","","","","",""
"2009","no degree/no degree yet","direct migration background","","","","","","","","","","",""
"2009","no degree/no degree yet","indirect migration background","","","","","","","","","","",""
"2009","no degree/no degree yet","no migration background","","","","","","","","","","",""
"2009","Other degree","direct migration background","","","","","","","","","","",""
"2009","Other degree","indirect migration background","","","","","","","","","","",""
"2009","Other degree","no migration background","","","","","","","","","","",""
"2009","secondary school degree","direct migration background","","","","","","","","","","",""
"2009","secondary school degree","indirect migration background","","","","","","","","","","",""
"2009","secondary school degree","no migration background","","","","","","","","","","",""
"2010","college entrance qualification","direct migration background","3.09","3","206","1","2","4","5","2.88","3.3","3","3"
"2010","college entrance qualification","indirect migration background","3.31","3","179","1","2","4","5","3.07","3.55","3","3"
"2010","college entrance qualification","no migration background","2.88","3","4275","1","2","4","5","2.83","2.93","2","3"
"2010","lower secondary degree","direct migration background","3.61","4","361","1","2","5","6","3.42","3.8","3","4"
"2010","lower secondary degree","indirect migration background","3.73","4","180","1","2","5","7","3.45","4.01","3","4"
"2010","lower secondary degree","no migration background","3.3","3","4814","1","2","5","6","3.25","3.35","3","3"
"2010","no degree/no degree yet","direct migration background","3.41","3","85","1","1","5","6","3","3.82","2","4"
"2010","no degree/no degree yet","indirect migration background","2.58","2","49","1","1","3","5","2.03","3.13","2","4"
