"year","bula_h","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Baden-Württemberg","direct migration background","3.38","3","539","3.23","3.53","1","2","5","6"
"2005","Baden-Württemberg","indirect migration background","3.71","4","212","3.48","3.94","2","2","5","6"
"2005","Baden-Württemberg","no migration background","3.19","3","1768","3.11","3.27","1","2","4","6"
"2005","Bavaria","direct migration background","3.36","3","338","3.17","3.55","1","2","5","6"
"2005","Bavaria","indirect migration background","4.15","4","124","3.87","4.43","2","3","5","6"
"2005","Bavaria","no migration background","3.47","4","2436","3.4","3.54","1","2","5","6"
"2005","Berlin","direct migration background","3.65","4","53","3.12","4.18","1","2","6","6"
"2005","Berlin","indirect migration background","4.05","4","36","3.38","4.72","2","2","6","6"
"2005","Berlin","no migration background","3.18","3","667","3.05","3.31","1","2","4","6"
"2005","Brandenburg","direct migration background","","","","","","","","",""
"2005","Brandenburg","indirect migration background","","","","","","","","",""
"2005","Brandenburg","no migration background","3.26","3","869","3.15","3.37","1","2","4","6"
"2005","Bremen","direct migration background","","","","","","","","",""
"2005","Bremen","indirect migration background","","","","","","","","",""
"2005","Bremen","no migration background","3.11","3","127","2.79","3.43","1","1","4","6"
"2005","Hamburg","direct migration background","","","","","","","","",""
"2005","Hamburg","indirect migration background","","","","","","","","",""
"2005","Hamburg","no migration background","3.17","3","261","2.98","3.36","1","2","4","6"
"2005","Hesse","direct migration background","3.13","3","216","2.88","3.38","1","1","5","6"
"2005","Hesse","indirect migration background","3.29","3","69","2.8","3.78","1","2","5","7"
"2005","Hesse","no migration background","3.36","3","1080","3.26","3.46","1","2","5","6"
"2005","Lower Saxony","direct migration background","3.17","3","198","2.92","3.42","1","1","5","6"
"2005","Lower Saxony","indirect migration background","3.73","3","49","3.21","4.25","2","2","6","7"
"2005","Lower Saxony","no migration background","3.16","3","1535","3.07","3.25","1","2","4","6"
"2005","Mecklenburg-Western Pomerania","direct migration background","","","","","","","","",""
"2005","Mecklenburg-Western Pomerania","indirect migration background","","","","","","","","",""
"2005","Mecklenburg-Western Pomerania","no migration background","3.32","3","487","3.17","3.47","1","2","5","6"
"2005","North Rhine-Westphalia","direct migration background","3.22","3","644","3.07","3.37","1","1","4","6"
"2005","North Rhine-Westphalia","indirect migration background","3.31","3","238","3.08","3.54","1","2","4","6"
"2005","North Rhine-Westphalia","no migration background","3.22","3","3453","3.16","3.28","1","2","4","6"
"2005","Rhineland-Palatinate,Saarland","direct migration background","3.2","3","180","2.93","3.47","1","2","4","5"
"2005","Rhineland-Palatinate,Saarland","indirect migration background","3.2","3","49","2.69","3.71","1","2","5","6"
"2005","Rhineland-Palatinate,Saarland","no migration background","2.96","3","1004","2.85","3.07","1","1","4","6"
"2005","Saxony","direct migration background","","","","","","","","",""
"2005","Saxony","indirect migration background","","","","","","","","",""
"2005","Saxony","no migration background","3.24","3","1490","3.15","3.33","1","2","4","6"
"2005","Saxony-Anhalt","direct migration background","","","","","","","","",""
"2005","Saxony-Anhalt","indirect migration background","","","","","","","","",""
"2005","Saxony-Anhalt","no migration background","3.37","3","868","3.25","3.49","1","2","5","6"
"2005","Schleswig-Holstein","direct migration background","3.3","3","58","2.83","3.77","1","1","4","6"
"2005","Schleswig-Holstein","indirect migration background","","","","","","","","",""
"2005","Schleswig-Holstein","no migration background","3.21","3","560","3.07","3.35","1","2","4","6"
"2005","Thuringia","direct migration background","","","","","","","","",""
"2005","Thuringia","indirect migration background","","","","","","","","",""
"2005","Thuringia","no migration background","3.34","3","868","3.23","3.45","1","2","5","6"
"2006","Baden-Württemberg","direct migration background","","","","","","","","",""
"2006","Baden-Württemberg","indirect migration background","","","","","","","","",""
"2006","Baden-Württemberg","no migration background","","","","","","","","",""
"2006","Bavaria","direct migration background","","","","","","","","",""
"2006","Bavaria","indirect migration background","","","","","","","","",""
"2006","Bavaria","no migration background","","","","","","","","",""
"2006","Berlin","direct migration background","","","","","","","","",""
"2006","Berlin","indirect migration background","","","","","","","","",""
"2006","Berlin","no migration background","","","","","","","","",""
"2006","Brandenburg","direct migration background","","","","","","","","",""
"2006","Brandenburg","indirect migration background","","","","","","","","",""
"2006","Brandenburg","no migration background","","","","","","","","",""
"2006","Bremen","direct migration background","","","","","","","","",""
"2006","Bremen","indirect migration background","","","","","","","","",""
"2006","Bremen","no migration background","","","","","","","","",""
"2006","Hamburg","direct migration background","","","","","","","","",""
"2006","Hamburg","indirect migration background","","","","","","","","",""
"2006","Hamburg","no migration background","","","","","","","","",""
"2006","Hesse","direct migration background","","","","","","","","",""
"2006","Hesse","indirect migration background","","","","","","","","",""
