"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","3.29","3","2359","1","2","5","6","7","3.22","3.36","1","7","3","3"
"2005","indirect migration background","3.61","3","827","1","2","5","6","7","3.49","3.73","1","7","3","4"
"2005","no migration background","3.25","3","17473","1","2","4","6","7","3.22","3.28","1","7","3","3"
"2006","direct migration background","","","","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","","","","",""
"2009","direct migration background","","","","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","","","","",""
"2010","direct migration background","3.28","3","1458","1","2","5","6","7","3.19","3.37","1","7","3","3"
"2010","indirect migration background","3.43","3","654","1","2","5","6","7","3.29","3.57","1","7","3","3"
"2010","no migration background","3.15","3","14542","1","2","4","6","7","3.12","3.18","1","7","3","3"
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","","","","","","","","","","","","","",""
"2012","indirect migration background","","","","","","","","","","","","","",""
"2012","no migration background","","","","","","","","","","","","","",""
"2013","direct migration background","","","","","","","","","","","","","",""
"2013","indirect migration background","","","","","","","","","","","","","",""
"2013","no migration background","","","","","","","","","","","","","",""
"2014","direct migration background","","","","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","","","","",""
"2015","direct migration background","2.81","2","5772","1","1","4","6","7","2.76","2.86","1","7","2","2"
"2015","indirect migration background","2.97","3","1684","1","2","4","6","7","2.88","3.06","1","7","2","3"
"2015","no migration background","2.92","3","19262","1","2","4","5","7","2.9","2.94","1","7","2","2"
"2016","direct migration background","2.13","1","4309","1","1","3","5","7","2.08","2.18","1","7","1","1"
"2016","indirect migration background","","","","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","","","","",""
"2017","direct migration background","1.92","1","2853","1","1","2","4","7","1.86","1.98","1","7","1","1"
"2017","indirect migration background","","","","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","","","","",""
"2018","direct migration background","2.27","1","418","1","1","3","7","7","2.08","2.46","1","7","1","1"
"2018","indirect migration background","","","","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","","","","",""
"2019","direct migration background","2.3","1","275","1","1","3","5","7","2.08","2.52","1","7","1","2"
"2019","indirect migration background","","","","","","","","","","","","","",""
"2019","no migration background","","","","","","","","","","","","","",""
