"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","Baden-Württemberg","college entrance qualification","2.81","3","604","1","2","4","5","2.69","2.93","2","3"
"2005","Baden-Württemberg","lower secondary degree","3.42","3","856","1","2","4","6","3.3","3.54","3","3"
"2005","Baden-Württemberg","no degree/no degree yet","3.78","4","153","1","2","5","6","3.5","4.06","3","4"
"2005","Baden-Württemberg","Other degree","3.52","3","267","1","2","5","6","3.3","3.74","3","4"
"2005","Baden-Württemberg","secondary school degree","3.14","3","582","1","2","4","6","3.01","3.27","3","3"
"2005","Bavaria","college entrance qualification","3.19","3","709","1","2","4","5","3.08","3.3","3","3"
"2005","Bavaria","lower secondary degree","3.58","4","1183","1","2","5","6","3.48","3.68","3","4"
"2005","Bavaria","no degree/no degree yet","3.72","4","109","1","3","5","6","3.4","4.04","3","4"
"2005","Bavaria","Other degree","3.53","4","148","1","2","5","6","3.23","3.83","3","4"
"2005","Bavaria","secondary school degree","3.48","4","705","1","2","5","6","3.36","3.6","3","4"
"2005","Berlin","college entrance qualification","3.13","3","278","1","2","4","6","2.94","3.32","2","3"
"2005","Berlin","lower secondary degree","2.87","2","135","1","1","4","5","2.57","3.17","2","3"
"2005","Berlin","no degree/no degree yet","4.4","4","35","2","2","6","7","3.77","5.03","4","5"
"2005","Berlin","Other degree","3.23","3","32","1","2","4","6","2.6","3.86","2","4"
"2005","Berlin","secondary school degree","3.48","3","252","1","2","5","6","3.27","3.69","2","3"
"2005","Brandenburg","college entrance qualification","3.14","3","209","1","2","4","5","2.92","3.36","2","3"
"2005","Brandenburg","lower secondary degree","3.36","3","235","1","2","4","6","3.13","3.59","3","4"
"2005","Brandenburg","no degree/no degree yet","3.01","2","30","1","2","4","6","2.33","3.69","2","4"
"2005","Brandenburg","Other degree","","","","","","","","","","",""
"2005","Brandenburg","secondary school degree","3.24","3","387","1","2","4","6","3.07","3.41","3","3"
"2005","Bremen","college entrance qualification","2.65","2","37","1","1","5","5","2.04","3.26","1","3"
"2005","Bremen","lower secondary degree","3.08","3","44","1","1","4","6","2.49","3.67","2","4"
"2005","Bremen","no degree/no degree yet","","","","","","","","","","",""
"2005","Bremen","Other degree","","","","","","","","","","",""
"2005","Bremen","secondary school degree","3.2","3","45","1","1","5","5","2.7","3.7","2","4"
"2005","Hamburg","college entrance qualification","3.45","3","108","1","2","4","7","3.16","3.74","2","3"
"2005","Hamburg","lower secondary degree","3.25","3","70","1","2","4","6","2.84","3.66","2","3"
"2005","Hamburg","no degree/no degree yet","","","","","","","","","","",""
"2005","Hamburg","Other degree","","","","","","","","","","",""
"2005","Hamburg","secondary school degree","2.63","2","88","1","1","4","5","2.31","2.95","2","3"
"2005","Hesse","college entrance qualification","3.04","3","406","1","2","4","5","2.89","3.19","2","3"
"2005","Hesse","lower secondary degree","3.54","3.81","431","1","2","5","6","3.36","3.72","3","4"
"2005","Hesse","no degree/no degree yet","3.62","4","55","1","1","6","6","3.08","4.16","2","5"
"2005","Hesse","Other degree","2.83","2","107","1","1","4","7","2.49","3.17","2","3"
"2005","Hesse","secondary school degree","3.4","3","342","1","2","4","6","3.23","3.57","3","4"
"2005","Lower Saxony","college entrance qualification","3.06","3","404","1","2","4","5","2.91","3.21","2","3"
"2005","Lower Saxony","lower secondary degree","3.23","3","638","1","2","4","6","3.09","3.37","3","3"
"2005","Lower Saxony","no degree/no degree yet","3.18","3","82","1","1","4","6","2.77","3.59","3","4"
"2005","Lower Saxony","Other degree","2.92","2","84","1","1","4","6","2.53","3.31","2","3"
