"year","age_gr","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","college entrance qualification","3.32","3","1574","3.24","3.4","1","2","4","6"
"2005","16-34 y.","lower secondary degree","3.96","4","945","3.85","4.07","2","3","5","7"
"2005","16-34 y.","no degree/no degree yet","3.74","4","691","3.61","3.87","1","2","5","6"
"2005","16-34 y.","Other degree","3.65","4","157","3.36","3.94","1","2","5","6"
"2005","16-34 y.","secondary school degree","3.66","4","1609","3.57","3.75","1","2","5","6"
"2005","35-65 y.","college entrance qualification","2.97","3","3041","2.92","3.02","1","2","4","5"
"2005","35-65 y.","lower secondary degree","3.4","3","3714","3.34","3.46","1","2","5","6"
"2005","35-65 y.","no degree/no degree yet","3.36","3","140","3.04","3.68","1","2","5","6"
"2005","35-65 y.","Other degree","3.25","3","789","3.12","3.38","1","2","5","6"
"2005","35-65 y.","secondary school degree","3.17","3","3859","3.12","3.22","1","2","4","6"
"2005","66 and older","college entrance qualification","2.53","2","568","2.4","2.66","1","1","4","5"
"2005","66 and older","lower secondary degree","3.07","3","2410","3","3.14","1","1","4","6"
"2005","66 and older","no degree/no degree yet","2.85","2","62","2.36","3.34","1","1","4","6"
"2005","66 and older","Other degree","2.95","3","175","2.69","3.21","1","1","4","5"
"2005","66 and older","secondary school degree","2.86","3","541","2.72","3","1","1","4","5"
"2006","16-34 y.","college entrance qualification","","","","","","","","",""
"2006","16-34 y.","lower secondary degree","","","","","","","","",""
"2006","16-34 y.","no degree/no degree yet","","","","","","","","",""
"2006","16-34 y.","Other degree","","","","","","","","",""
"2006","16-34 y.","secondary school degree","","","","","","","","",""
"2006","35-65 y.","college entrance qualification","","","","","","","","",""
"2006","35-65 y.","lower secondary degree","","","","","","","","",""
"2006","35-65 y.","no degree/no degree yet","","","","","","","","",""
"2006","35-65 y.","Other degree","","","","","","","","",""
"2006","35-65 y.","secondary school degree","","","","","","","","",""
"2006","66 and older","college entrance qualification","","","","","","","","",""
"2006","66 and older","lower secondary degree","","","","","","","","",""
"2006","66 and older","no degree/no degree yet","","","","","","","","",""
"2006","66 and older","Other degree","","","","","","","","",""
"2006","66 and older","secondary school degree","","","","","","","","",""
"2007","16-34 y.","college entrance qualification","","","","","","","","",""
"2007","16-34 y.","lower secondary degree","","","","","","","","",""
