"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Female","3.18","3","1244","1","1","4","6","7","3.08","3.28","1","7","3","3"
"2005","direct migration background","Male","3.42","3","1115","1","2","5","6","7","3.31","3.53","1","7","3","4"
"2005","indirect migration background","Female","3.38","3","425","1","2","5","6","7","3.21","3.55","1","7","3","4"
"2005","indirect migration background","Male","3.85","4","402","1","2","5","7","7","3.67","4.03","1","7","4","4"
"2005","no migration background","Female","3.08","3","9109","1","2","4","6","7","3.05","3.11","1","7","3","3"
"2005","no migration background","Male","3.43","3","8364","1","2","5","6","7","3.39","3.47","1","7","3","3"
"2006","direct migration background","Female","","","","","","","","","","","","","",""
"2006","direct migration background","Male","","","","","","","","","","","","","",""
"2006","indirect migration background","Female","","","","","","","","","","","","","",""
"2006","indirect migration background","Male","","","","","","","","","","","","","",""
"2006","no migration background","Female","","","","","","","","","","","","","",""
"2006","no migration background","Male","","","","","","","","","","","","","",""
"2007","direct migration background","Female","","","","","","","","","","","","","",""
"2007","direct migration background","Male","","","","","","","","","","","","","",""
"2007","indirect migration background","Female","","","","","","","","","","","","","",""
"2007","indirect migration background","Male","","","","","","","","","","","","","",""
"2007","no migration background","Female","","","","","","","","","","","","","",""
"2007","no migration background","Male","","","","","","","","","","","","","",""
"2008","direct migration background","Female","","","","","","","","","","","","","",""
"2008","direct migration background","Male","","","","","","","","","","","","","",""
"2008","indirect migration background","Female","","","","","","","","","","","","","",""
"2008","indirect migration background","Male","","","","","","","","","","","","","",""
"2008","no migration background","Female","","","","","","","","","","","","","",""
"2008","no migration background","Male","","","","","","","","","","","","","",""
"2009","direct migration background","Female","","","","","","","","","","","","","",""
"2009","direct migration background","Male","","","","","","","","","","","","","",""
"2009","indirect migration background","Female","","","","","","","","","","","","","",""
"2009","indirect migration background","Male","","","","","","","","","","","","","",""
"2009","no migration background","Female","","","","","","","","","","","","","",""
"2009","no migration background","Male","","","","","","","","","","","","","",""
"2010","direct migration background","Female","3.15","3","800","1","2","5","6","7","3.03","3.27","1","7","3","3"
"2010","direct migration background","Male","3.42","3","658","1","2","5","6","7","3.28","3.56","1","7","3","3"
"2010","indirect migration background","Female","3.24","3","341","1","2","4","6","7","3.05","3.43","1","7","3","3"
"2010","indirect migration background","Male","3.6","3","313","1","2","5","6","7","3.4","3.8","1","7","3","4"
"2010","no migration background","Female","2.97","3","7580","1","2","4","5","7","2.93","3.01","1","7","3","3"
"2010","no migration background","Male","3.33","3","6962","1","2","4","6","7","3.29","3.37","1","7","3","3"
"2011","direct migration background","Female","","","","","","","","","","","","","",""
"2011","direct migration background","Male","","","","","","","","","","","","","",""
"2011","indirect migration background","Female","","","","","","","","","","","","","",""
"2011","indirect migration background","Male","","","","","","","","","","","","","",""
"2011","no migration background","Female","","","","","","","","","","","","","",""
"2011","no migration background","Male","","","","","","","","","","","","","",""
"2012","direct migration background","Female","","","","","","","","","","","","","",""
"2012","direct migration background","Male","","","","","","","","","","","","","",""
"2012","indirect migration background","Female","","","","","","","","","","","","","",""
"2012","indirect migration background","Male","","","","","","","","","","","","","",""
"2012","no migration background","Female","","","","","","","","","","","","","",""
"2012","no migration background","Male","","","","","","","","","","","","","",""
"2013","direct migration background","Female","","","","","","","","","","","","","",""
"2013","direct migration background","Male","","","","","","","","","","","","","",""
"2013","indirect migration background","Female","","","","","","","","","","","","","",""
"2013","indirect migration background","Male","","","","","","","","","","","","","",""
"2013","no migration background","Female","","","","","","","","","","","","","",""
"2013","no migration background","Male","","","","","","","","","","","","","",""
"2014","direct migration background","Female","","","","","","","","","","","","","",""
"2014","direct migration background","Male","","","","","","","","","","","","","",""
"2014","indirect migration background","Female","","","","","","","","","","","","","",""
"2014","indirect migration background","Male","","","","","","","","","","","","","",""
"2014","no migration background","Female","","","","","","","","","","","","","",""
"2014","no migration background","Male","","","","","","","","","","","","","",""
"2015","direct migration background","Female","2.66","2","3113","1","1","4","5","7","2.6","2.72","1","7","2","2"
"2015","direct migration background","Male","2.97","3","2659","1","1","4","6","7","2.9","3.04","1","7","2","3"
"2015","indirect migration background","Female","2.83","2","914","1","1","4","6","7","2.71","2.95","1","7","2","2"
"2015","indirect migration background","Male","3.09","3","770","1","2","4","6","7","2.96","3.22","1","7","3","3"
"2015","no migration background","Female","2.7","2","10401","1","1","4","5","7","2.67","2.73","1","7","2","2"
"2015","no migration background","Male","3.16","3","8861","1","2","4","6","7","3.13","3.19","1","7","3","3"
"2016","direct migration background","Female","1.9","1","1629","1","1","2","4","7","1.82","1.98","1","7","1","1"
"2016","direct migration background","Male","2.25","1","2680","1","1","3","5","7","2.19","2.31","1","7","1","1"
"2016","indirect migration background","Female","","","","","","","","","","","","","",""
"2016","indirect migration background","Male","","","","","","","","","","","","","",""
"2016","no migration background","Female","","","","","","","","","","","","","",""
"2016","no migration background","Male","","","","","","","","","","","","","",""
"2017","direct migration background","Female","1.83","1","1219","1","1","2","4","7","1.74","1.92","1","7","1","1"
"2017","direct migration background","Male","1.97","1","1634","1","1","2","5","7","1.89","2.05","1","7","1","1"
"2017","indirect migration background","Female","","","","","","","","","","","","","",""
"2017","indirect migration background","Male","","","","","","","","","","","","","",""
"2017","no migration background","Female","","","","","","","","","","","","","",""
"2017","no migration background","Male","","","","","","","","","","","","","",""
"2018","direct migration background","Female","2.17","1","223","1","1","2","7","7","1.92","2.42","1","7","1","1"
"2018","direct migration background","Male","2.39","1","195","1","1","4","7","7","2.1","2.68","1","7","1","2"
"2018","indirect migration background","Female","","","","","","","","","","","","","",""
"2018","indirect migration background","Male","","","","","","","","","","","","","",""
"2018","no migration background","Female","","","","","","","","","","","","","",""
"2018","no migration background","Male","","","","","","","","","","","","","",""
"2019","direct migration background","Female","2.21","1","140","1","1","3","5","7","1.91","2.51","1","7","1","2"
"2019","direct migration background","Male","2.41","1","135","1","1","4","5","7","2.08","2.74","1","7","1","2"
"2019","indirect migration background","Female","","","","","","","","","","","","","",""
"2019","indirect migration background","Male","","","","","","","","","","","","","",""
"2019","no migration background","Female","","","","","","","","","","","","","",""
"2019","no migration background","Male","","","","","","","","","","","","","",""
