"year","age_gr","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","direct migration background","3.69","4","528","3.54","3.84","1","2","5","6"
"2005","16-34 y.","indirect migration background","3.69","4","660","3.55","3.83","1","2","5","6"
"2005","16-34 y.","no migration background","3.62","4","4123","3.57","3.67","1","2","5","6"
"2005","35-65 y.","direct migration background","3.21","3","1467","3.12","3.3","1","2","4","6"
"2005","35-65 y.","indirect migration background","3.33","3","155","3.06","3.6","2","2","5","6"
"2005","35-65 y.","no migration background","3.23","3","9960","3.2","3.26","1","2","4","6"
"2005","66 and older","direct migration background","2.97","3","364","2.78","3.16","1","1","4","6"
"2005","66 and older","indirect migration background","","","","","","","","",""
"2005","66 and older","no migration background","2.96","3","3390","2.9","3.02","1","1","4","6"
"2006","16-34 y.","direct migration background","","","","","","","","",""
"2006","16-34 y.","indirect migration background","","","","","","","","",""
"2006","16-34 y.","no migration background","","","","","","","","",""
"2006","35-65 y.","direct migration background","","","","","","","","",""
"2006","35-65 y.","indirect migration background","","","","","","","","",""
"2006","35-65 y.","no migration background","","","","","","","","",""
"2006","66 and older","direct migration background","","","","","","","","",""
"2006","66 and older","indirect migration background","","","","","","","","",""
"2006","66 and older","no migration background","","","","","","","","",""
"2007","16-34 y.","direct migration background","","","","","","","","",""
"2007","16-34 y.","indirect migration background","","","","","","","","",""
"2007","16-34 y.","no migration background","","","","","","","","",""
"2007","35-65 y.","direct migration background","","","","","","","","",""
"2007","35-65 y.","indirect migration background","","","","","","","","",""
"2007","35-65 y.","no migration background","","","","","","","","",""
"2007","66 and older","direct migration background","","","","","","","","",""
"2007","66 and older","indirect migration background","","","","","","","","",""
"2007","66 and older","no migration background","","","","","","","","",""
"2008","16-34 y.","direct migration background","","","","","","","","",""
"2008","16-34 y.","indirect migration background","","","","","","","","",""
"2008","16-34 y.","no migration background","","","","","","","","",""
"2008","35-65 y.","direct migration background","","","","","","","","",""
"2008","35-65 y.","indirect migration background","","","","","","","","",""
"2008","35-65 y.","no migration background","","","","","","","","",""
"2008","66 and older","direct migration background","","","","","","","","",""
"2008","66 and older","indirect migration background","","","","","","","","",""
"2008","66 and older","no migration background","","","","","","","","",""
"2009","16-34 y.","direct migration background","","","","","","","","",""
"2009","16-34 y.","indirect migration background","","","","","","","","",""
"2009","16-34 y.","no migration background","","","","","","","","",""
"2009","35-65 y.","direct migration background","","","","","","","","",""
"2009","35-65 y.","indirect migration background","","","","","","","","",""
"2009","35-65 y.","no migration background","","","","","","","","",""
"2009","66 and older","direct migration background","","","","","","","","",""
"2009","66 and older","indirect migration background","","","","","","","","",""
"2009","66 and older","no migration background","","","","","","","","",""
"2010","16-34 y.","direct migration background","3.32","3","239","3.09","3.55","1","2","5","6"
"2010","16-34 y.","indirect migration background","3.51","3","444","3.34","3.68","1","2","5","6"
"2010","16-34 y.","no migration background","3.5","3","2892","3.44","3.56","1","2","5","6"
"2010","35-65 y.","direct migration background","3.33","3","910","3.22","3.44","1","2","5","6"
"2010","35-65 y.","indirect migration background","3.11","3","204","2.87","3.35","1","2","4","5"
"2010","35-65 y.","no migration background","3.13","3","7941","3.09","3.17","1","2","4","6"
"2010","66 and older","direct migration background","3.07","3","309","2.87","3.27","1","1","4","6"
"2010","66 and older","indirect migration background","","","","","","","","",""
"2010","66 and older","no migration background","2.94","3","3709","2.89","2.99","1","1","4","6"
"2011","16-34 y.","direct migration background","","","","","","","","",""
"2011","16-34 y.","indirect migration background","","","","","","","","",""
"2011","16-34 y.","no migration background","","","","","","","","",""
"2011","35-65 y.","direct migration background","","","","","","","","",""
"2011","35-65 y.","indirect migration background","","","","","","","","",""
"2011","35-65 y.","no migration background","","","","","","","","",""
"2011","66 and older","direct migration background","","","","","","","","",""
"2011","66 and older","indirect migration background","","","","","","","","",""
"2011","66 and older","no migration background","","","","","","","","",""
"2012","16-34 y.","direct migration background","","","","","","","","",""
"2012","16-34 y.","indirect migration background","","","","","","","","",""
"2012","16-34 y.","no migration background","","","","","","","","",""
"2012","35-65 y.","direct migration background","","","","","","","","",""
"2012","35-65 y.","indirect migration background","","","","","","","","",""
"2012","35-65 y.","no migration background","","","","","","","","",""
"2012","66 and older","direct migration background","","","","","","","","",""
"2012","66 and older","indirect migration background","","","","","","","","",""
"2012","66 and older","no migration background","","","","","","","","",""
"2013","16-34 y.","direct migration background","","","","","","","","",""
"2013","16-34 y.","indirect migration background","","","","","","","","",""
"2013","16-34 y.","no migration background","","","","","","","","",""
"2013","35-65 y.","direct migration background","","","","","","","","",""
"2013","35-65 y.","indirect migration background","","","","","","","","",""
"2013","35-65 y.","no migration background","","","","","","","","",""
"2013","66 and older","direct migration background","","","","","","","","",""
"2013","66 and older","indirect migration background","","","","","","","","",""
"2013","66 and older","no migration background","","","","","","","","",""
"2014","16-34 y.","direct migration background","","","","","","","","",""
"2014","16-34 y.","indirect migration background","","","","","","","","",""
"2014","16-34 y.","no migration background","","","","","","","","",""
"2014","35-65 y.","direct migration background","","","","","","","","",""
"2014","35-65 y.","indirect migration background","","","","","","","","",""
"2014","35-65 y.","no migration background","","","","","","","","",""
"2014","66 and older","direct migration background","","","","","","","","",""
"2014","66 and older","indirect migration background","","","","","","","","",""
"2014","66 and older","no migration background","","","","","","","","",""
"2015","16-34 y.","direct migration background","2.91","2","1883","2.83","2.99","1","1","4","6"
"2015","16-34 y.","indirect migration background","3.02","3","996","2.91","3.13","1","2","4","6"
"2015","16-34 y.","no migration background","3.14","3","3760","3.09","3.19","1","2","4","6"
"2015","35-65 y.","direct migration background","2.79","2","3459","2.73","2.85","1","1","4","5"
"2015","35-65 y.","indirect migration background","2.87","2","683","2.74","3","1","2","4","5"
"2015","35-65 y.","no migration background","2.9","3","10996","2.87","2.93","1","2","4","5"
"2015","66 and older","direct migration background","2.73","2","430","2.57","2.89","1","1","4","6"
"2015","66 and older","indirect migration background","","","","","","","","",""
"2015","66 and older","no migration background","2.83","2","4506","2.78","2.88","1","1","4","5"
"2016","16-34 y.","direct migration background","2.22","1","2454","2.15","2.29","1","1","3","5"
"2016","16-34 y.","indirect migration background","","","","","","","","",""
"2016","16-34 y.","no migration background","","","","","","","","",""
"2016","35-65 y.","direct migration background","1.92","1","1827","1.85","1.99","1","1","2","4"
"2016","35-65 y.","indirect migration background","","","","","","","","",""
"2016","35-65 y.","no migration background","","","","","","","","",""
"2016","66 and older","direct migration background","","","","","","","","",""
"2016","66 and older","indirect migration background","","","","","","","","",""
"2016","66 and older","no migration background","","","","","","","","",""
