"year","pgisced97","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","general elemantary","Ostdeutschland, neue Bundeslaender","3.44","3","341","3.24","3.64","1","2","5","6"
"2005","general elemantary","Westdeutschland, alte Bundeslaender","3.47","3","2056","3.39","3.55","1","2","5","6"
"2005","higher education","Ostdeutschland, neue Bundeslaender","2.87","3","1253","2.78","2.96","1","2","4","5"
"2005","higher education","Westdeutschland, alte Bundeslaender","2.95","3","2908","2.89","3.01","1","2","4","5"
"2005","higher vocational","Ostdeutschland, neue Bundeslaender","3.09","3","421","2.93","3.25","1","2","4","5"
"2005","higher vocational","Westdeutschland, alte Bundeslaender","3.04","3","1135","2.94","3.14","1","2","4","6"
"2005","in school","Ostdeutschland, neue Bundeslaender","3.79","4","147","3.51","4.07","1","2","5","7"
"2005","in school","Westdeutschland, alte Bundeslaender","3.78","4","500","3.62","3.94","1","2","5","6"
"2005","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2005","inadequately","Westdeutschland, alte Bundeslaender","3.39","3","213","3.12","3.66","1","1","5","7"
"2005","middle vocational","Ostdeutschland, neue Bundeslaender","3.42","3","2632","3.35","3.49","1","2","5","6"
"2005","middle vocational","Westdeutschland, alte Bundeslaender","3.3","3","7603","3.26","3.34","1","2","4","6"
"2005","vocational + Abi","Ostdeutschland, neue Bundeslaender","3.31","3","162","3.05","3.57","1","2","4","6"
"2005","vocational + Abi","Westdeutschland, alte Bundeslaender","3.17","3","970","3.07","3.27","1","2","4","6"
"2006","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
