"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","general elemantary","","","","","","","","","","",""
"2005","college entrance qualification","higher education","2.9","3","3156","1","2","4","5","2.85","2.95","2","3"
"2005","college entrance qualification","higher vocational","2.83","3","345","1","2","4","5","2.66","3","2","3"
"2005","college entrance qualification","in school","","","","","","","","","","",""
"2005","college entrance qualification","inadequately","","","","","","","","","","",""
"2005","college entrance qualification","middle vocational","3.47","4","730","1","2","5","6","3.35","3.59","3","4"
"2005","college entrance qualification","vocational + Abi","3.16","3","952","1","2","4","6","3.06","3.26","3","3"
"2005","lower secondary degree","general elemantary","3.46","3","1491","1","2","5","6","3.37","3.55","3","4"
"2005","lower secondary degree","higher education","3.08","3","182","1","2","4","5","2.83","3.33","3","3"
"2005","lower secondary degree","higher vocational","3.07","3","452","1","2","4","6","2.92","3.22","3","3"
"2005","lower secondary degree","in school","","","","","","","","","","",""
"2005","lower secondary degree","inadequately","","","","","","","","","","",""
"2005","lower secondary degree","middle vocational","3.36","3","4922","1","2","5","6","3.31","3.41","3","3"
"2005","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"2005","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"2005","no degree/no degree yet","higher education","","","","","","","","","","",""
"2005","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"2005","no degree/no degree yet","in school","3.78","4","647","1","2","5","6","3.64","3.92","4","4"
"2005","no degree/no degree yet","inadequately","3.37","3","194","1","1","5","7","3.09","3.65","3","4"
"2005","no degree/no degree yet","middle vocational","2.69","3","46","1","1","4","5","2.22","3.16","1","3"
"2005","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"2005","Other degree","general elemantary","3.08","3","331","1","2","4","5","2.88","3.28","3","3"
"2005","Other degree","higher education","3.15","3","186","1","2","4","6","2.91","3.39","3","3"
"2005","Other degree","higher vocational","3.48","3","55","1","2","4","6","2.98","3.98","2","3"
"2005","Other degree","in school","","","","","","","","","","",""
"2005","Other degree","inadequately","3.76","4","37","1","2","5","7","3.04","4.48","3","5"
"2005","Other degree","middle vocational","3.42","4","390","1","1","5","6","3.23","3.61","3","4"
