"ple0020","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","higher education","4045","0.998298582676266","0.997029149468313","0.99956801588422","2"
"No","2009","higher vocational","1336","0.999366329486512","0.99801794377988","1.00071471519314","2"
"No","2009","vocational + Abi","1002","0.998770376671083","0.996601591685428","1.00093916165674","2"
"No","2009","middle vocational","9090","0.997946451952607","0.997016905449923","0.998875998455292","2"
"No","2009","general elemantary","1793","0.985780734412951","0.980329463817361","0.991232005008542","2"
"No","2009","inadequately","167","0.968077488501668","0.94157367753482","0.994581299468515","2"
"No","2009","in school","313","1","1","1","2"
"Yes","2009","in school","","","","","1"
"Yes","2009","inadequately","2","","","","1"
"Yes","2009","general elemantary","19","","","","1"
"Yes","2009","middle vocational","21","","","","1"
"Yes","2009","vocational + Abi","1","","","","1"
"Yes","2009","higher vocational","2","","","","1"
"Yes","2009","higher education","4","","","","1"
"No","2010","higher education","","","","","2"
"No","2010","vocational + Abi","","","","","2"
"No","2010","higher vocational","","","","","2"
"No","2010","general elemantary","","","","","2"
"No","2010","middle vocational","","","","","2"
"No","2010","in school","","","","","2"
"No","2010","inadequately","","","","","2"
"Yes","2010","in school","","","","","1"
"Yes","2010","inadequately","","","","","1"
"Yes","2010","general elemantary","","","","","1"
"Yes","2010","middle vocational","","","","","1"
"Yes","2010","vocational + Abi","","","","","1"
"Yes","2010","higher vocational","","","","","1"
"Yes","2010","higher education","","","","","1"
"No","2011","higher education","4592","0.998232057201166","0.997018056224172","0.999446058178161","2"
"No","2011","vocational + Abi","1209","1","1","1","2"
"No","2011","higher vocational","1452","0.999160466655688","0.997671782782083","1.00064915052929","2"
"No","2011","general elemantary","2160","0.981203617982259","0.975513239752568","0.986893996211951","2"
"No","2011","middle vocational","10524","0.997115806305929","0.996092400109128","0.99813921250273","2"
"No","2011","inadequately","232","0.990825841563533","0.97858385464881","1.00306782847826","2"
"No","2011","in school","313","1","1","1","2"
"Yes","2011","general elemantary","28","","","","1"
"Yes","2011","middle vocational","24","","","","1"
"Yes","2011","in school","","","","","1"
"Yes","2011","inadequately","1","","","","1"
"Yes","2011","higher education","8","","","","1"
"Yes","2011","vocational + Abi","","","","","1"
"Yes","2011","higher vocational","2","","","","1"
"No","2012","vocational + Abi","","","","","2"
"No","2012","higher education","","","","","2"
"No","2012","higher vocational","","","","","2"
"No","2012","general elemantary","","","","","2"
"No","2012","middle vocational","","","","","2"
"No","2012","in school","","","","","2"
"No","2012","inadequately","","","","","2"
"Yes","2012","higher vocational","","","","","1"
"Yes","2012","higher education","","","","","1"
"Yes","2012","inadequately","","","","","1"
"Yes","2012","in school","","","","","1"
"Yes","2012","general elemantary","","","","","1"
"Yes","2012","middle vocational","","","","","1"
"Yes","2012","vocational + Abi","","","","","1"
"No","2013","vocational + Abi","1103","1","1","1","2"
"No","2013","higher education","4471","0.997852675188942","0.996496898599804","0.999208451778081","2"
"No","2013","higher vocational","1325","0.994560610720487","0.99061218734489","0.998509034096083","2"
"No","2013","general elemantary","1847","0.985995988014055","0.980664406148383","0.991327569879727","2"
"No","2013","middle vocational","9427","0.996732357116932","0.995582266526409","0.997882447707454","2"
"No","2013","in school","260","1","1","1","2"
"No","2013","inadequately","193","0.971841298215544","0.948622765312279","0.995059831118809","2"
"Yes","2013","higher vocational","8","","","","1"
"Yes","2013","higher education","7","","","","1"
"Yes","2013","middle vocational","32","0.00326764288306816","0.0021175522925458","0.00441773347359052","1"
"Yes","2013","in school","","","","","1"
"Yes","2013","inadequately","2","","","","1"
"Yes","2013","general elemantary","19","","","","1"
"Yes","2013","vocational + Abi","","","","","1"
"No","2014","general elemantary","","","","","2"
"No","2014","higher education","","","","","2"
"No","2014","middle vocational","","","","","2"
"No","2014","vocational + Abi","","","","","2"
"No","2014","higher vocational","","","","","2"
"No","2014","in school","","","","","2"
"No","2014","inadequately","","","","","2"
"Yes","2014","higher vocational","","","","","1"
"Yes","2014","higher education","","","","","1"
"Yes","2014","inadequately","","","","","1"
"Yes","2014","general elemantary","","","","","1"
"Yes","2014","middle vocational","","","","","1"
"Yes","2014","in school","","","","","1"
"Yes","2014","vocational + Abi","","","","","1"
"No","2015","general elemantary","2669","0.985981501296843","0.981537045459267","0.990425957134419","2"
"No","2015","vocational + Abi","1960","0.999627288514493","0.998772980001688","1.0004815970273","2"
"No","2015","higher vocational","1526","0.997670595691598","0.995256609776429","1.00008458160677","2"
"No","2015","higher education","5883","0.997546841218241","0.996283823774082","0.998809858662401","2"
"No","2015","middle vocational","11677","0.99609742415652","0.994968206435355","0.997226641877684","2"
"No","2015","in school","352","1","1","1","2"
"No","2015","inadequately","407","0.987801853379173","0.977202452302851","0.998401254455495","2"
"Yes","2015","higher vocational","6","","","","1"
"Yes","2015","higher education","10","","","","1"
"Yes","2015","middle vocational","34","0.00390257584348032","0.002773358122316","0.00503179356464464","1"
"Yes","2015","vocational + Abi","1","","","","1"
"Yes","2015","inadequately","5","","","","1"
"Yes","2015","in school","","","","","1"
"Yes","2015","general elemantary","19","","","","1"
"No","2016","general elemantary","","","","","2"
"No","2016","middle vocational","","","","","2"
"No","2016","vocational + Abi","","","","","2"
"No","2016","higher education","","","","","2"
"No","2016","higher vocational","","","","","2"
"No","2016","in school","","","","","2"
"No","2016","inadequately","","","","","2"
"Yes","2016","higher vocational","","","","","1"
"Yes","2016","higher education","","","","","1"
"Yes","2016","middle vocational","","","","","1"
"Yes","2016","vocational + Abi","","","","","1"
"Yes","2016","inadequately","","","","","1"
"Yes","2016","in school","","","","","1"
"Yes","2016","general elemantary","","","","","1"
"No","2017","inadequately","453","0.984701787130218","0.973448932618877","0.995954641641558","2"
"No","2017","general elemantary","2749","0.988779980013677","0.984854718006986","0.992705242020367","2"
"No","2017","in school","411","0.999767788650757","0.998296524089787","1.00123905321173","2"
"No","2017","higher vocational","1543","0.998405322028715","0.996416328878903","1.00039431517853","2"
