"ple0020","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Male","1985","0.996962328789336","0.994547499705447","0.999377157873225","2"
"No","2009","16-34 y.","Male","1926","1","1","1","2"
"No","2009","16-34 y.","Female","2080","1","1","1","2"
"No","2009","66 and older","Female","2192","0.98260769926008","0.977174579236843","0.988040819283316","2"
"No","2009","35-65 y.","Male","4720","0.998283954897268","0.997103551331416","0.99946435846312","2"
"No","2009","35-65 y.","Female","5173","0.998115310114292","0.996933963403139","0.999296656825445","2"
"Yes","2009","16-34 y.","Male","","","","","1"
"Yes","2009","16-34 y.","Female","","","","","1"
"Yes","2009","35-65 y.","Male","3","","","","1"
"Yes","2009","35-65 y.","Female","5","","","","1"
"Yes","2009","66 and older","Male","10","","","","1"
"Yes","2009","66 and older","Female","32","0.0173923007399204","0.0119591807166838","0.022825420763157","1"
"No","2010","66 and older","Male","","","","","2"
"No","2010","16-34 y.","Male","","","","","2"
"No","2010","66 and older","Female","","","","","2"
"No","2010","16-34 y.","Female","","","","","2"
"No","2010","35-65 y.","Male","","","","","2"
"No","2010","35-65 y.","Female","","","","","2"
"Yes","2010","16-34 y.","Male","","","","","1"
"Yes","2010","16-34 y.","Female","","","","","1"
"Yes","2010","35-65 y.","Male","","","","","1"
"Yes","2010","35-65 y.","Female","","","","","1"
"Yes","2010","66 and older","Male","","","","","1"
"Yes","2010","66 and older","Female","","","","","1"
"No","2011","16-34 y.","Male","2040","0.999144500250075","0.997876116459727","1.00041288404042","2"
"No","2011","66 and older","Male","2465","0.992640416290644","0.989278535320089","0.996002297261199","2"
"No","2011","66 and older","Female","2669","0.981388504746516","0.976297364281611","0.98647964521142","2"
"No","2011","16-34 y.","Female","2266","1","1","1","2"
"No","2011","35-65 y.","Male","5311","0.999132072498821","0.998340392575553","0.999923752422089","2"
"No","2011","35-65 y.","Female","6045","0.999013051754826","0.998221690159017","0.999804413350635","2"
"Yes","2011","16-34 y.","Male","1","","","","1"
"Yes","2011","16-34 y.","Female","","","","","1"
"Yes","2011","35-65 y.","Male","4","","","","1"
"Yes","2011","35-65 y.","Female","3","","","","1"
"Yes","2011","66 and older","Male","18","","","","1"
"Yes","2011","66 and older","Female","38","0.0186114952534842","0.0135203547885795","0.0237026357183889","1"
"No","2012","16-34 y.","Male","","","","","2"
"No","2012","16-34 y.","Female","","","","","2"
"No","2012","66 and older","Male","","","","","2"
"No","2012","66 and older","Female","","","","","2"
"No","2012","35-65 y.","Male","","","","","2"
"No","2012","35-65 y.","Female","","","","","2"
"Yes","2012","16-34 y.","Male","","","","","1"
"Yes","2012","16-34 y.","Female","","","","","1"
"Yes","2012","35-65 y.","Male","","","","","1"
"Yes","2012","35-65 y.","Female","","","","","1"
"Yes","2012","66 and older","Male","","","","","1"
"Yes","2012","66 and older","Female","","","","","1"
"No","2013","16-34 y.","Male","1741","1","1","1","2"
"No","2013","16-34 y.","Female","1967","0.999126828735988","0.997821873627789","1.00043178384419","2"
"No","2013","35-65 y.","Male","4722","0.998871314789856","0.997913824597003","0.999828804982709","2"
"No","2013","35-65 y.","Female","5526","0.99763739448387","0.996358507943022","0.998916281024718","2"
"No","2013","66 and older","Male","2392","0.992845052343827","0.989479365854047","0.996210738833608","2"
"No","2013","66 and older","Female","2555","0.984612712760059","0.979875088842576","0.989350336677542","2"
"Yes","2013","16-34 y.","Male","","","","","1"
"Yes","2013","16-34 y.","Female","1","","","","1"
"Yes","2013","35-65 y.","Male","2","","","","1"
"Yes","2013","35-65 y.","Female","10","","","","1"
"Yes","2013","66 and older","Male","17","","","","1"
"Yes","2013","66 and older","Female","38","0.0153872872399409","0.0106496633224577","0.020124911157424","1"
"No","2014","16-34 y.","Male","","","","","2"
"No","2014","16-34 y.","Female","","","","","2"
"No","2014","35-65 y.","Male","","","","","2"
"No","2014","35-65 y.","Female","","","","","2"
"No","2014","66 and older","Male","","","","","2"
"No","2014","66 and older","Female","","","","","2"
"Yes","2014","16-34 y.","Male","","","","","1"
"Yes","2014","16-34 y.","Female","","","","","1"
"Yes","2014","35-65 y.","Male","","","","","1"
"Yes","2014","35-65 y.","Female","","","","","1"
"Yes","2014","66 and older","Male","","","","","1"
"Yes","2014","66 and older","Female","","","","","1"
"No","2015","16-34 y.","Male","2641","0.999972739572342","0.999773652941472","1.00017182620321","2"
"No","2015","16-34 y.","Female","3126","0.999785456970657","0.999272211257463","1.00029870268385","2"
"No","2015","35-65 y.","Male","6459","0.997012735969967","0.995682534575781","0.998342937364154","2"
"No","2015","35-65 y.","Female","7976","0.998709097930333","0.997921451737715","0.999496744122951","2"
"No","2015","66 and older","Male","2385","0.991917092570955","0.988341474030542","0.995492711111368","2"
