"ple0020","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Mecklenburg-Western Pomerania","475","0.998302739823451","0.994604884149081","1.00200059549782","2"
"No","2009","Lower Saxony","1642","0.998094957610848","0.995989048885412","1.00020086633628","2"
"No","2009","Bremen","120","1","1","1","2"
"No","2009","Schleswig-Holstein","514","0.996034342069618","0.990611611566222","1.00145707257301","2"
"No","2009","Hamburg","271","1","1","1","2"
"No","2009","Brandenburg","792","0.994193514199873","0.988912021623938","0.999475006775808","2"
"No","2009","North Rhine-Westphalia","3637","0.996962416735767","0.995175917586539","0.998748915884995","2"
"No","2009","Saxony","1372","0.999003529151301","0.997335243037323","1.00067181526528","2"
"No","2009","Thuringia","821","0.997074249193816","0.993388688788952","1.00075980959868","2"
"No","2009","Saxony-Anhalt","770","0.995423610652855","0.990662537080085","1.00018468422562","2"
"No","2009","Baden-Württemberg","2109","0.992972032820024","0.989414339700716","0.996529725939332","2"
"No","2009","Bavaria","2625","0.997894552910568","0.996142085693267","0.999647020127869","2"
"No","2009","Berlin","683","0.993855251811213","0.988007355725918","0.999703147896508","2"
"No","2009","Hesse","1221","0.993191476368879","0.988588424991005","0.997794527746754","2"
"No","2009","Rhineland-Palatinate,Saarland","1024","0.99737922011679","0.99425236109993","1.00050607913365","2"
"Yes","2009","Schleswig-Holstein","2","","","","1"
"Yes","2009","Hamburg","","","","","1"
"Yes","2009","Lower Saxony","5","","","","1"
"Yes","2009","Bremen","","","","","1"
"Yes","2009","North Rhine-Westphalia","8","","","","1"
"Yes","2009","Hesse","5","","","","1"
"Yes","2009","Rhineland-Palatinate,Saarland","3","","","","1"
"Yes","2009","Baden-Württemberg","9","","","","1"
"Yes","2009","Bavaria","3","","","","1"
"Yes","2009","Berlin","3","","","","1"
"Yes","2009","Brandenburg","3","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","1","","","","1"
"Yes","2009","Saxony","2","","","","1"
"Yes","2009","Saxony-Anhalt","2","","","","1"
"Yes","2009","Thuringia","4","","","","1"
"No","2010","Mecklenburg-Western Pomerania","","","","","2"
"No","2010","Brandenburg","","","","","2"
"No","2010","Schleswig-Holstein","","","","","2"
"No","2010","Hamburg","","","","","2"
"No","2010","Lower Saxony","","","","","2"
"No","2010","Saxony","","","","","2"
"No","2010","North Rhine-Westphalia","","","","","2"
"No","2010","Saxony-Anhalt","","","","","2"
"No","2010","Thuringia","","","","","2"
"No","2010","Bremen","","","","","2"
"No","2010","Hesse","","","","","2"
"No","2010","Rhineland-Palatinate,Saarland","","","","","2"
"No","2010","Baden-Württemberg","","","","","2"
"No","2010","Bavaria","","","","","2"
"No","2010","Berlin","","","","","2"
"Yes","2010","Schleswig-Holstein","","","","","1"
"Yes","2010","Hamburg","","","","","1"
"Yes","2010","Lower Saxony","","","","","1"
"Yes","2010","Bremen","","","","","1"
"Yes","2010","North Rhine-Westphalia","","","","","1"
"Yes","2010","Hesse","","","","","1"
"Yes","2010","Rhineland-Palatinate,Saarland","","","","","1"
"Yes","2010","Baden-Württemberg","","","","","1"
"Yes","2010","Bavaria","","","","","1"
"Yes","2010","Berlin","","","","","1"
"Yes","2010","Brandenburg","","","","","1"
"Yes","2010","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2010","Saxony","","","","","1"
"Yes","2010","Saxony-Anhalt","","","","","1"
"Yes","2010","Thuringia","","","","","1"
"No","2011","North Rhine-Westphalia","4140","0.995391772589267","0.993332439718095","0.997451105460438","2"
"No","2011","Hamburg","315","1","1","1","2"
"No","2011","Lower Saxony","1916","0.997810468168718","0.995719742090919","0.999901194246518","2"
"No","2011","Bremen","126","0.994096321954596","0.980772715485787","1.0074199284234","2"
"No","2011","Mecklenburg-Western Pomerania","518","0.998467098267356","0.995101297160739","1.00183289937397","2"
"No","2011","Schleswig-Holstein","651","0.995181663413244","0.9898704805993","1.00049284622719","2"
"No","2011","Thuringia","889","0.999762193488754","0.998749184466585","1.00077520251092","2"
"No","2011","Brandenburg","885","0.993858289479307","0.988722536649115","0.998994042309499","2"
"No","2011","Saxony","1405","0.996116498154921","0.992870073266502","0.999362923043339","2"
"No","2011","Saxony-Anhalt","868","0.998995216992179","0.996889954223171","1.00110047976119","2"
"No","2011","Hesse","1412","0.992394328988912","0.987870834446321","0.996917823531502","2"
"No","2011","Rhineland-Palatinate,Saarland","1210","0.9985353483787","0.996382340241395","1.000688356516","2"
"No","2011","Baden-Württemberg","2492","0.994462455977372","0.991552960042248","0.997371951912495","2"
"No","2011","Bavaria","3188","0.994200904791739","0.991570500827084","0.996831308756395","2"
"No","2011","Berlin","781","0.997774231629226","0.994473400281202","1.00107506297725","2"
"Yes","2011","Schleswig-Holstein","2","","","","1"
"Yes","2011","Hamburg","","","","","1"
"Yes","2011","Lower Saxony","4","","","","1"
"Yes","2011","Bremen","1","","","","1"
"Yes","2011","North Rhine-Westphalia","15","","","","1"
"Yes","2011","Hesse","5","","","","1"
"Yes","2011","Rhineland-Palatinate,Saarland","2","","","","1"
"Yes","2011","Baden-Württemberg","7","","","","1"
"Yes","2011","Bavaria","13","","","","1"
"Yes","2011","Berlin","2","","","","1"
"Yes","2011","Brandenburg","4","","","","1"
"Yes","2011","Mecklenburg-Western Pomerania","1","","","","1"
"Yes","2011","Saxony","5","","","","1"
"Yes","2011","Saxony-Anhalt","2","","","","1"
"Yes","2011","Thuringia","1","","","","1"
"No","2012","Schleswig-Holstein","","","","","2"
"No","2012","Hamburg","","","","","2"
"No","2012","Mecklenburg-Western Pomerania","","","","","2"
"No","2012","Saxony","","","","","2"
"No","2012","Saxony-Anhalt","","","","","2"
"No","2012","Thuringia","","","","","2"
"No","2012","Lower Saxony","","","","","2"
"No","2012","Bremen","","","","","2"
"No","2012","North Rhine-Westphalia","","","","","2"
"No","2012","Brandenburg","","","","","2"
"No","2012","Hesse","","","","","2"
"No","2012","Rhineland-Palatinate,Saarland","","","","","2"
"No","2012","Baden-Württemberg","","","","","2"
"No","2012","Bavaria","","","","","2"
"No","2012","Berlin","","","","","2"
"Yes","2012","Hesse","","","","","1"
"Yes","2012","Rhineland-Palatinate,Saarland","","","","","1"
"Yes","2012","Baden-Württemberg","","","","","1"
"Yes","2012","Bavaria","","","","","1"
"Yes","2012","Berlin","","","","","1"
"Yes","2012","Schleswig-Holstein","","","","","1"
"Yes","2012","Hamburg","","","","","1"
"Yes","2012","Lower Saxony","","","","","1"
"Yes","2012","Bremen","","","","","1"
"Yes","2012","North Rhine-Westphalia","","","","","1"
"Yes","2012","Brandenburg","","","","","1"
"Yes","2012","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2012","Saxony","","","","","1"
"Yes","2012","Saxony-Anhalt","","","","","1"
"Yes","2012","Thuringia","","","","","1"
"No","2013","Schleswig-Holstein","593","1","1","1","2"
"No","2013","Hamburg","312","1","1","1","2"
"No","2013","Lower Saxony","1780","0.995809923200279","0.992812487452553","0.998807358948005","2"
"No","2013","North Rhine-Westphalia","3723","0.996401835858344","0.994481573658063","0.998322098058626","2"
"No","2013","Bremen","120","1","1","1","2"
"No","2013","Brandenburg","783","0.994384581103834","0.989163878010485","0.999605284197182","2"
"No","2013","Mecklenburg-Western Pomerania","453","0.992453592477418","0.984501752643104","1.00040543231173","2"
"No","2013","Saxony","1333","0.992824981694349","0.988309337778278","0.997340625610419","2"
"No","2013","Saxony-Anhalt","761","0.996703625770036","0.992639167341346","1.00076808419873","2"
"No","2013","Thuringia","804","0.996157480991804","0.991888901865349","1.00042606011826","2"
"No","2013","Hesse","1290","0.993419218388242","0.989015513321632","0.997822923454853","2"
"No","2013","Rhineland-Palatinate,Saarland","1097","0.99495044003367","0.990767440404866","0.999133439662474","2"
"No","2013","Baden-Württemberg","2134","0.998002210717905","0.996109054635884","0.999895366799927","2"
"No","2013","Bavaria","2952","0.993673379896751","0.990819449031548","0.996527310761954","2"
"No","2013","Berlin","768","0.994888222246854","0.989857705867113","0.999918738626596","2"
"Yes","2013","Hesse","5","","","","1"
"Yes","2013","Rhineland-Palatinate,Saarland","6","","","","1"
"Yes","2013","Baden-Württemberg","3","","","","1"
"Yes","2013","Bavaria","13","","","","1"
"Yes","2013","Berlin","4","","","","1"
"Yes","2013","Schleswig-Holstein","","","","","1"
"Yes","2013","Hamburg","","","","","1"
"Yes","2013","Lower Saxony","4","","","","1"
"Yes","2013","Bremen","","","","","1"
"Yes","2013","North Rhine-Westphalia","12","","","","1"
"Yes","2013","Brandenburg","4","","","","1"
"Yes","2013","Mecklenburg-Western Pomerania","2","","","","1"
"Yes","2013","Saxony","9","","","","1"
"Yes","2013","Saxony-Anhalt","3","","","","1"
"Yes","2013","Thuringia","3","","","","1"
"No","2014","North Rhine-Westphalia","","","","","2"
"No","2014","Brandenburg","","","","","2"
"No","2014","Mecklenburg-Western Pomerania","","","","","2"
"No","2014","Schleswig-Holstein","","","","","2"
"No","2014","Hamburg","","","","","2"
"No","2014","Lower Saxony","","","","","2"
"No","2014","Bremen","","","","","2"
"No","2014","Saxony","","","","","2"
"No","2014","Saxony-Anhalt","","","","","2"
"No","2014","Thuringia","","","","","2"
"No","2014","Hesse","","","","","2"
"No","2014","Rhineland-Palatinate,Saarland","","","","","2"
"No","2014","Baden-Württemberg","","","","","2"
"No","2014","Bavaria","","","","","2"
"No","2014","Berlin","","","","","2"
"Yes","2014","Hesse","","","","","1"
"Yes","2014","Rhineland-Palatinate,Saarland","","","","","1"
"Yes","2014","Baden-Württemberg","","","","","1"
"Yes","2014","Bavaria","","","","","1"
"Yes","2014","Berlin","","","","","1"
"Yes","2014","Schleswig-Holstein","","","","","1"
"Yes","2014","Hamburg","","","","","1"
"Yes","2014","Lower Saxony","","","","","1"
"Yes","2014","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2014","Saxony","","","","","1"
"Yes","2014","Saxony-Anhalt","","","","","1"
"Yes","2014","Thuringia","","","","","1"
"Yes","2014","Bremen","","","","","1"
"Yes","2014","North Rhine-Westphalia","","","","","1"
"Yes","2014","Brandenburg","","","","","1"
"No","2015","Schleswig-Holstein","874","0.995695302494077","0.991359888387464","1.00003071660069","2"
"No","2015","Hamburg","423","0.979022264790744","0.965445328177089","0.992599201404398","2"
"No","2015","Lower Saxony","2425","0.997519342303069","0.995541511951138","0.999497172655001","2"
"No","2015","Bremen","172","1","1","1","2"
"No","2015","North Rhine-Westphalia","5177","0.996676874115935","0.995110849102278","0.998242899129592","2"
"No","2015","Brandenburg","987","0.997179338470196","0.993875699221531","1.00048297771886","2"
"No","2015","Mecklenburg-Western Pomerania","560","0.994998830146341","0.989166702501138","1.00083095779154","2"
"No","2015","Saxony","1522","0.991987213823688","0.987516969834477","0.996457457812899","2"
"No","2015","Saxony-Anhalt","881","0.991598686254953","0.985595481155134","0.997601891354771","2"
"No","2015","Thuringia","923","0.996386473565533","0.992521717145362","1.0002512299857","2"
"No","2015","Hesse","1709","0.997238628591915","0.994753600126673","0.999723657057157","2"
"No","2015","Rhineland-Palatinate,Saarland","1498","0.995058382548638","0.991513291096675","0.998603474000601","2"
"No","2015","Baden-Württemberg","2992","0.994669094381432","0.992064679106922","0.997273509655941","2"
"No","2015","Bavaria","4037","0.996437753722582","0.994602193885798","0.998273313559365","2"
"No","2015","Berlin","915","0.998393947736445","0.995800776707926","1.00098711876496","2"
"Yes","2015","Hesse","4","","","","1"
"Yes","2015","Rhineland-Palatinate,Saarland","5","","","","1"
"Yes","2015","Baden-Württemberg","11","","","","1"
"Yes","2015","Bavaria","10","","","","1"
"Yes","2015","Berlin","1","","","","1"
"Yes","2015","Schleswig-Holstein","2","","","","1"
"Yes","2015","Hamburg","5","","","","1"
"Yes","2015","Lower Saxony","5","","","","1"
"Yes","2015","Bremen","","","","","1"
"Yes","2015","North Rhine-Westphalia","11","","","","1"
"Yes","2015","Mecklenburg-Western Pomerania","2","","","","1"
"Yes","2015","Brandenburg","3","","","","1"
"Yes","2015","Saxony","6","","","","1"
"Yes","2015","Saxony-Anhalt","7","","","","1"
"Yes","2015","Thuringia","3","","","","1"
"No","2016","Schleswig-Holstein","","","","","2"
"No","2016","Hamburg","","","","","2"
"No","2016","Lower Saxony","","","","","2"
"No","2016","Bremen","","","","","2"
"No","2016","North Rhine-Westphalia","","","","","2"
"No","2016","Brandenburg","","","","","2"
"No","2016","Mecklenburg-Western Pomerania","","","","","2"
"No","2016","Saxony","","","","","2"
"No","2016","Saxony-Anhalt","","","","","2"
"No","2016","Thuringia","","","","","2"
"No","2016","Hesse","","","","","2"
"No","2016","Rhineland-Palatinate,Saarland","","","","","2"
"No","2016","Baden-Württemberg","","","","","2"
"No","2016","Bavaria","","","","","2"
"No","2016","Berlin","","","","","2"
"Yes","2016","Hesse","","","","","1"
"Yes","2016","Rhineland-Palatinate,Saarland","","","","","1"
"Yes","2016","Baden-Württemberg","","","","","1"
"Yes","2016","Bavaria","","","","","1"
"Yes","2016","Berlin","","","","","1"
"Yes","2016","North Rhine-Westphalia","","","","","1"
"Yes","2016","Brandenburg","","","","","1"
"Yes","2016","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2016","Saxony","","","","","1"
"Yes","2016","Schleswig-Holstein","","","","","1"
"Yes","2016","Hamburg","","","","","1"
"Yes","2016","Lower Saxony","","","","","1"
"Yes","2016","Bremen","","","","","1"
"Yes","2016","Saxony-Anhalt","","","","","1"
"Yes","2016","Thuringia","","","","","1"
"No","2017","Schleswig-Holstein","950","0.994535013765713","0.989854363247342","0.999215664284083","2"
"No","2017","Hamburg","468","1","1","1","2"
"No","2017","Lower Saxony","2700","0.994143156427872","0.991269731437597","0.997016581418146","2"
"No","2017","Bremen","220","1","1","1","2"
"No","2017","North Rhine-Westphalia","5537","0.995109589955052","0.993275270105413","0.996943909804691","2"
"No","2017","Hesse","1789","0.995705980051372","0.992681905374921","0.998730054727824","2"
"No","2017","Rhineland-Palatinate,Saarland","1531","0.999328050959862","0.998030874013804","1.00062522790592","2"
