"ple0020","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","8","","",""
"Yes","2009","lower secondary degree","Female","23","","",""
"Yes","2009","secondary school degree","Male","2","","",""
"Yes","2009","secondary school degree","Female","8","","",""
"Yes","2009","college entrance qualification","Male","2","","",""
"Yes","2009","college entrance qualification","Female","1","","",""
"Yes","2009","Other degree","Male","","","",""
"Yes","2009","Other degree","Female","3","","",""
"Yes","2009","no degree/no degree yet","Male","1","","",""
"Yes","2009","no degree/no degree yet","Female","1","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","15","","",""
"Yes","2011","lower secondary degree","Female","33","1","1","1"
"Yes","2011","secondary school degree","Male","1","","",""
"Yes","2011","secondary school degree","Female","3","","",""
"Yes","2011","college entrance qualification","Male","5","","",""
"Yes","2011","college entrance qualification","Female","1","","",""
"Yes","2011","Other degree","Male","2","","",""
"Yes","2011","Other degree","Female","3","","",""
"Yes","2011","no degree/no degree yet","Male","","","",""
"Yes","2011","no degree/no degree yet","Female","","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","15","","",""
"Yes","2013","lower secondary degree","Female","27","","",""
"Yes","2013","secondary school degree","Male","1","","",""
"Yes","2013","secondary school degree","Female","10","","",""
"Yes","2013","college entrance qualification","Male","1","","",""
"Yes","2013","college entrance qualification","Female","3","","",""
"Yes","2013","Other degree","Male","2","","",""
"Yes","2013","Other degree","Female","7","","",""
"Yes","2013","no degree/no degree yet","Male","","","",""
"Yes","2013","no degree/no degree yet","Female","2","","",""
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","13","","",""
"Yes","2015","lower secondary degree","Female","25","","",""
"Yes","2015","secondary school degree","Male","6","","",""
"Yes","2015","secondary school degree","Female","10","","",""
"Yes","2015","college entrance qualification","Male","7","","",""
"Yes","2015","college entrance qualification","Female","3","","",""
"Yes","2015","Other degree","Male","3","","",""
"Yes","2015","Other degree","Female","2","","",""
"Yes","2015","no degree/no degree yet","Male","3","","",""
"Yes","2015","no degree/no degree yet","Female","2","","",""
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","13","","",""
"Yes","2017","lower secondary degree","Female","23","","",""
"Yes","2017","secondary school degree","Male","9","","",""
"Yes","2017","secondary school degree","Female","7","","",""
"Yes","2017","college entrance qualification","Male","4","","",""
"Yes","2017","college entrance qualification","Female","4","","",""
"Yes","2017","Other degree","Male","2","","",""
"Yes","2017","Other degree","Female","3","","",""
"Yes","2017","no degree/no degree yet","Male","2","","",""
"Yes","2017","no degree/no degree yet","Female","2","","",""
"Yes","2018","lower secondary degree","Male","","","",""
"Yes","2018","lower secondary degree","Female","","","",""
"Yes","2018","secondary school degree","Male","","","",""
"Yes","2018","secondary school degree","Female","","","",""
"Yes","2018","college entrance qualification","Male","","","",""
"Yes","2018","college entrance qualification","Female","","","",""
"Yes","2018","Other degree","Male","","","",""
"Yes","2018","Other degree","Female","","","",""
"Yes","2018","no degree/no degree yet","Male","","","",""
"Yes","2018","no degree/no degree yet","Female","","","",""
"Yes","2019","lower secondary degree","Male","20","","",""
"Yes","2019","lower secondary degree","Female","19","","",""
"Yes","2019","secondary school degree","Male","8","","",""
"Yes","2019","secondary school degree","Female","9","","",""
"Yes","2019","college entrance qualification","Male","11","","",""
"Yes","2019","college entrance qualification","Female","7","","",""
"Yes","2019","Other degree","Male","6","","",""
"Yes","2019","Other degree","Female","3","","",""
"Yes","2019","no degree/no degree yet","Male","1","","",""
"Yes","2019","no degree/no degree yet","Female","2","","",""
