"ple0020","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","20","","",""
"Yes","2009","(Married) couple without C. ","16","","",""
"Yes","2009","Single parent ","3","","",""
"Yes","2009","Couple + C. LE 16 ","1","","",""
"Yes","2009","Couple + C. GT 16 ","3","","",""
"Yes","2009","Couple + C. LE and GT 16","1","","",""
"No","2009","1-pers.-HH","2890","0.992482593110969","0.989344274194292","0.995620912027647"
"No","2009","(Married) couple without C. ","6665","0.997326197224547","0.996087940618728","0.998564453830366"
"No","2009","Single parent ","993","0.995215566094689","0.990930157052988","0.99950097513639"
"No","2009","Couple + C. LE 16 ","2859","0.998647777304305","0.997301001346982","0.999994553261628"
"No","2009","Couple + C. GT 16 ","3162","0.998239229682102","0.99677863436237","0.999699825001834"
"No","2009","Couple + C. LE and GT 16","1180","0.999424888016495","0.998057554590287","1.0007922214427"
"Yes","2010","1-pers.-HH","","","",""
"Yes","2010","(Married) couple without C. ","","","",""
"Yes","2010","Single parent ","","","",""
"Yes","2010","Couple + C. LE 16 ","","","",""
"Yes","2010","Couple + C. GT 16 ","","","",""
"Yes","2010","Couple + C. LE and GT 16","","","",""
"No","2010","1-pers.-HH","","","",""
"No","2010","(Married) couple without C. ","","","",""
"No","2010","Single parent ","","","",""
"No","2010","Couple + C. LE 16 ","","","",""
"No","2010","Couple + C. GT 16 ","","","",""
"No","2010","Couple + C. LE and GT 16","","","",""
"Yes","2011","1-pers.-HH","28","","",""
"Yes","2011","(Married) couple without C. ","22","","",""
"Yes","2011","Single parent ","1","","",""
"Yes","2011","Couple + C. LE 16 ","","","",""
"Yes","2011","Couple + C. GT 16 ","4","","",""
"Yes","2011","Couple + C. LE and GT 16","1","","",""
"No","2011","1-pers.-HH","3546","0.990544653320494","0.987371824992325","0.993717481648664"
"No","2011","(Married) couple without C. ","8123","0.997348139194381","0.996231272603904","0.998465005784858"
"No","2011","Single parent ","1173","0.999089452174153","0.997364140303484","1.00081476404482"
"No","2011","Couple + C. LE 16 ","3117","1","1","1"
"No","2011","Couple + C. GT 16 ","3197","0.998744495728252","0.997517786730658","0.999971204725845"
"No","2011","Couple + C. LE and GT 16","1233","0.997447762506543","0.994632647553868","1.00026287745922"
"Yes","2012","1-pers.-HH","","","",""
"Yes","2012","(Married) couple without C. ","","","",""
"Yes","2012","Single parent ","","","",""
"Yes","2012","Couple + C. LE 16 ","","","",""
"Yes","2012","Couple + C. GT 16 ","","","",""
