"ple0020","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","West Germany","674","1","1","1","2"
"No","2009","no migration background","West Germany","11266","0.996604019434501","0.995531239993638","0.997676798875364","2"
"No","2009","no migration background","East Germany","4434","0.996620264841519","0.994914302054451","0.998326227628587","2"
"No","2009","indirect migration background","East Germany","41","1","1","1","2"
"No","2009","direct migration background","West Germany","1586","0.993489721339008","0.989539167020616","0.9974402756574","2"
"No","2009","direct migration background","East Germany","75","0.989306551914668","0.966182410308855","1.01243069352048","2"
"Yes","2009","no migration background","West Germany","31","0.00339598056549937","0.00232320112463622","0.00446876000636251","1"
"Yes","2009","no migration background","East Germany","12","","","","1"
"Yes","2009","direct migration background","West Germany","6","","","","1"
"Yes","2009","direct migration background","East Germany","1","","","","1"
"Yes","2009","indirect migration background","West Germany","","","","","1"
"Yes","2009","indirect migration background","East Germany","","","","","1"
"No","2010","indirect migration background","West Germany","","","","","2"
"No","2010","no migration background","West Germany","","","","","2"
"No","2010","indirect migration background","East Germany","","","","","2"
"No","2010","no migration background","East Germany","","","","","2"
"No","2010","direct migration background","West Germany","","","","","2"
"No","2010","direct migration background","East Germany","","","","","2"
"Yes","2010","no migration background","West Germany","","","","","1"
"Yes","2010","no migration background","East Germany","","","","","1"
"Yes","2010","direct migration background","West Germany","","","","","1"
"Yes","2010","direct migration background","East Germany","","","","","1"
"Yes","2010","indirect migration background","West Germany","","","","","1"
"Yes","2010","indirect migration background","East Germany","","","","","1"
"No","2011","no migration background","West Germany","13206","0.995431019240534","0.994282675809166","0.996579362671901","2"
"No","2011","indirect migration background","West Germany","754","1","1","1","2"
"No","2011","indirect migration background","East Germany","45","1","1","1","2"
"No","2011","no migration background","East Germany","4780","0.997477841798008","0.996057713841868","0.998897969754148","2"
"No","2011","direct migration background","West Germany","1917","0.993663622412388","0.990118975801005","0.997208269023771","2"
"No","2011","direct migration background","East Germany","94","0.992609265596245","0.975385851290098","1.00983267990239","2"
"Yes","2011","no migration background","West Germany","43","0.00456898075946631","0.00342063732809858","0.00571732419083404","1"
"Yes","2011","no migration background","East Germany","12","","","","1"
"Yes","2011","direct migration background","West Germany","8","","","","1"
"Yes","2011","direct migration background","East Germany","1","","","","1"
"Yes","2011","indirect migration background","West Germany","","","","","1"
"Yes","2011","indirect migration background","East Germany","","","","","1"
"No","2012","no migration background","West Germany","","","","","2"
"No","2012","no migration background","East Germany","","","","","2"
"No","2012","indirect migration background","West Germany","","","","","2"
"No","2012","indirect migration background","East Germany","","","","","2"
"No","2012","direct migration background","West Germany","","","","","2"
"No","2012","direct migration background","East Germany","","","","","2"
"Yes","2012","no migration background","West Germany","","","","","1"
"Yes","2012","no migration background","East Germany","","","","","1"
"Yes","2012","direct migration background","West Germany","","","","","1"
"Yes","2012","direct migration background","East Germany","","","","","1"
"Yes","2012","indirect migration background","West Germany","","","","","1"
"Yes","2012","indirect migration background","East Germany","","","","","1"
"No","2013","no migration background","West Germany","12167","0.996560883991672","0.995522184027662","0.997599583955682","2"
"No","2013","no migration background","East Germany","4335","0.994357063053162","0.99213258597113","0.996581540135194","2"
"No","2013","direct migration background","West Germany","1607","0.990752073274058","0.986083689911567","0.99542045663655","2"
"No","2013","direct migration background","East Germany","79","0.977770894269201","0.945664973471764","1.00987681506664","2"
"No","2013","indirect migration background","West Germany","671","1","1","1","2"
"No","2013","indirect migration background","East Germany","44","0.981460358951088","0.942048322441627","1.02087239546055","2"
"Yes","2013","no migration background","West Germany","36","0.00343911600832764","0.00240041604431772","0.00447781597233757","1"
"Yes","2013","no migration background","East Germany","21","","","","1"
"Yes","2013","direct migration background","West Germany","8","","","","1"
"Yes","2013","direct migration background","East Germany","2","","","","1"
"Yes","2013","indirect migration background","West Germany","","","","","1"
"Yes","2013","indirect migration background","East Germany","1","","","","1"
"No","2014","no migration background","West Germany","","","","","2"
"No","2014","no migration background","East Germany","","","","","2"
"No","2014","direct migration background","West Germany","","","","","2"
"No","2014","direct migration background","East Germany","","","","","2"
"No","2014","indirect migration background","West Germany","","","","","2"
"No","2014","indirect migration background","East Germany","","","","","2"
"Yes","2014","no migration background","West Germany","","","","","1"
"Yes","2014","no migration background","East Germany","","","","","1"
"Yes","2014","direct migration background","West Germany","","","","","1"
"Yes","2014","direct migration background","East Germany","","","","","1"
"Yes","2014","indirect migration background","West Germany","","","","","1"
"Yes","2014","indirect migration background","East Germany","","","","","1"
"No","2015","no migration background","West Germany","14280","0.995606572469689","0.994523452143376","0.996689692796003","2"
"No","2015","no migration background","East Germany","4873","0.99434333008456","0.992241928361132","0.996444731807989","2"
"No","2015","direct migration background","West Germany","4016","0.995765352259787","0.993759502707609","0.997771201811964","2"
"No","2015","direct migration background","East Germany","294","0.999553209366138","0.997141682680239","1.00196473605204","2"
"No","2015","indirect migration background","West Germany","1529","0.999833871180215","0.999188084938774","1.00047965742166","2"
"No","2015","indirect migration background","East Germany","103","1","1","1","2"
"Yes","2015","no migration background","West Germany","43","0.00439342753031056","0.00331030720399728","0.00547654785662384","1"
"Yes","2015","no migration background","East Germany","20","","","","1"
"Yes","2015","direct migration background","West Germany","10","","","","1"
"Yes","2015","direct migration background","East Germany","1","","","","1"
"Yes","2015","indirect migration background","West Germany","1","","","","1"
"Yes","2015","indirect migration background","East Germany","","","","","1"
"No","2016","no migration background","West Germany","","","","","2"
"No","2016","no migration background","East Germany","","","","","2"
"No","2016","direct migration background","West Germany","","","","","2"
"No","2016","direct migration background","East Germany","","","","","2"
"No","2016","indirect migration background","West Germany","","","","","2"
"No","2016","indirect migration background","East Germany","","","","","2"
"Yes","2016","direct migration background","West Germany","","","","","1"
"Yes","2016","direct migration background","East Germany","","","","","1"
"Yes","2016","no migration background","West Germany","","","","","1"
"Yes","2016","no migration background","East Germany","","","","","1"
"Yes","2016","indirect migration background","West Germany","","","","","1"
"Yes","2016","indirect migration background","East Germany","","","","","1"
"No","2017","no migration background","West Germany","15136","0.996437412567826","0.995489480510637","0.997385344625014","2"
"No","2017","no migration background","East Germany","5145","0.992255795707541","0.989864929922861","0.994646661492222","2"
"No","2017","direct migration background","West Germany","4291","0.996852040697724","0.995177505524933","0.998526575870515","2"
"No","2017","direct migration background","East Germany","369","1","1","1","2"
"No","2017","indirect migration background","West Germany","1606","0.998907408925924","0.997292691582149","1.0005221262697","2"
"No","2017","indirect migration background","East Germany","107","1","1","1","2"
"Yes","2017","direct migration background","West Germany","8","","","","1"
"Yes","2017","direct migration background","East Germany","","","","","1"
"Yes","2017","indirect migration background","West Germany","2","","","","1"
"Yes","2017","no migration background","West Germany","40","0.00356258743217427","0.0026146553749858","0.00451051948936273","1"
"Yes","2017","no migration background","East Germany","19","","","","1"
"Yes","2017","indirect migration background","East Germany","","","","","1"
"No","2018","no migration background","West Germany","","","","","2"
"No","2018","no migration background","East Germany","","","","","2"
"No","2018","direct migration background","West Germany","","","","","2"
"No","2018","direct migration background","East Germany","","","","","2"
"No","2018","indirect migration background","West Germany","","","","","2"
"No","2018","indirect migration background","East Germany","","","","","2"
"Yes","2018","direct migration background","West Germany","","","","","1"
"Yes","2018","direct migration background","East Germany","","","","","1"
"Yes","2018","indirect migration background","West Germany","","","","","1"
"Yes","2018","no migration background","West Germany","","","","","1"
"Yes","2018","indirect migration background","East Germany","","","","","1"
"Yes","2018","no migration background","East Germany","","","","","1"
"No","2019","no migration background","West Germany","15034","0.99626499667577","0.995291429432158","0.997238563919382","2"
"No","2019","no migration background","East Germany","5132","0.99457667062282","0.992572579557942","0.996580761687698","2"
"No","2019","direct migration background","West Germany","3555","0.997182291918232","0.995442274476729","0.998922309359734","2"
"No","2019","direct migration background","East Germany","290","0.996519821169676","0.989753613116976","1.00328602922237","2"
"No","2019","indirect migration background","West Germany","1570","0.999397553686662","0.998184583471627","1.0006105239017","2"
"No","2019","indirect migration background","East Germany","133","1","1","1","2"
"Yes","2019","direct migration background","West Germany","10","","","","1"
"Yes","2019","direct migration background","East Germany","1","","","","1"
"Yes","2019","no migration background","West Germany","47","0.00373500332423014","0.00276143608061817","0.00470857056784211","1"
"Yes","2019","indirect migration background","West Germany","2","","","","1"
"Yes","2019","indirect migration background","East Germany","","","","","1"
"Yes","2019","no migration background","East Germany","27","","","","1"
