"ple0020","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","Male","3","","",""
"Yes","2009","1-pers.-HH","Female","17","","",""
"Yes","2009","(Married) couple without C. ","Male","4","","",""
"Yes","2009","(Married) couple without C. ","Female","12","","",""
"Yes","2009","Single parent ","Male","","","",""
"Yes","2009","Single parent ","Female","3","","",""
"Yes","2009","Couple + C. LE 16 ","Male","1","","",""
"Yes","2009","Couple + C. LE 16 ","Female","","","",""
"Yes","2009","Couple + C. GT 16 ","Male","2","","",""
"Yes","2009","Couple + C. GT 16 ","Female","1","","",""
"Yes","2009","Couple + C. LE and GT 16","Male","","","",""
"Yes","2009","Couple + C. LE and GT 16","Female","1","","",""
"No","2009","1-pers.-HH","Male","1220","0.997397678422303","0.994542393050263","1.00025296379434"
"No","2009","1-pers.-HH","Female","1670","0.988483750176364","0.983392424767004","0.993575075585723"
"No","2009","(Married) couple without C. ","Male","3305","0.998952345099308","0.997850092282731","1.00005459791589"
"No","2009","(Married) couple without C. ","Female","3360","0.995664407102945","0.993446797736503","0.997882016469387"
"No","2009","Single parent ","Male","290","1","1","1"
"No","2009","Single parent ","Female","703","0.993281477579858","0.987255620952174","0.999307334207542"
"No","2009","Couple + C. LE 16 ","Male","1385","0.997330513696367","0.994614075192594","1.00004695220014"
"No","2009","Couple + C. LE 16 ","Female","1474","1","1","1"
"No","2009","Couple + C. GT 16 ","Male","1697","0.999400961129531","0.998237508287326","1.00056441397174"
"No","2009","Couple + C. GT 16 ","Female","1465","0.996777558107671","0.99387639077229","0.999678725443052"
"No","2009","Couple + C. LE and GT 16","Male","595","1","1","1"
"No","2009","Couple + C. LE and GT 16","Female","585","0.998758580114754","0.995907634757338","1.00160952547217"
"Yes","2010","1-pers.-HH","Male","","","",""
"Yes","2010","1-pers.-HH","Female","","","",""
"Yes","2010","(Married) couple without C. ","Male","","","",""
"Yes","2010","(Married) couple without C. ","Female","","","",""
"Yes","2010","Single parent ","Male","","","",""
"Yes","2010","Single parent ","Female","","","",""
"Yes","2010","Couple + C. LE 16 ","Male","","","",""
"Yes","2010","Couple + C. LE 16 ","Female","","","",""
"Yes","2010","Couple + C. GT 16 ","Male","","","",""
"Yes","2010","Couple + C. GT 16 ","Female","","","",""
"Yes","2010","Couple + C. LE and GT 16","Male","","","",""
"Yes","2010","Couple + C. LE and GT 16","Female","","","",""
"No","2010","1-pers.-HH","Male","","","",""
"No","2010","1-pers.-HH","Female","","","",""
"No","2010","(Married) couple without C. ","Male","","","",""
"No","2010","(Married) couple without C. ","Female","","","",""
"No","2010","Single parent ","Male","","","",""
"No","2010","Single parent ","Female","","","",""
"No","2010","Couple + C. LE 16 ","Male","","","",""
"No","2010","Couple + C. LE 16 ","Female","","","",""
"No","2010","Couple + C. GT 16 ","Male","","","",""
"No","2010","Couple + C. GT 16 ","Female","","","",""
"No","2010","Couple + C. LE and GT 16","Male","","","",""
"No","2010","Couple + C. LE and GT 16","Female","","","",""
"Yes","2011","1-pers.-HH","Male","4","","",""
"Yes","2011","1-pers.-HH","Female","24","","",""
"Yes","2011","(Married) couple without C. ","Male","14","","",""
"Yes","2011","(Married) couple without C. ","Female","8","","",""
"Yes","2011","Single parent ","Male","1","","",""
"Yes","2011","Single parent ","Female","","","",""
"Yes","2011","Couple + C. LE 16 ","Male","","","",""
"Yes","2011","Couple + C. LE 16 ","Female","","","",""
"Yes","2011","Couple + C. GT 16 ","Male","2","","",""
"Yes","2011","Couple + C. GT 16 ","Female","2","","",""
"Yes","2011","Couple + C. LE and GT 16","Male","1","","",""
"Yes","2011","Couple + C. LE and GT 16","Female","","","",""
"No","2011","1-pers.-HH","Male","1474","0.998405982441579","0.996372169475378","1.00043979540778"
"No","2011","1-pers.-HH","Female","2072","0.984481173496679","0.979189590667868","0.989772756325491"
"No","2011","(Married) couple without C. ","Male","4035","0.996480464804131","0.99465635384113","0.998304575767131"
"No","2011","(Married) couple without C. ","Female","4088","0.998232718005431","0.996946433780313","0.999519002230548"
"No","2011","Single parent ","Male","332","0.997664840729463","0.992480702637665","1.00284897882126"
"No","2011","Single parent ","Female","841","1","1","1"
"No","2011","Couple + C. LE 16 ","Male","1492","1","1","1"
"No","2011","Couple + C. LE 16 ","Female","1625","1","1","1"
"No","2011","Couple + C. GT 16 ","Male","1682","0.998274628444643","0.996292447115043","1.00025680977424"
"No","2011","Couple + C. GT 16 ","Female","1515","0.999310138438271","0.997988884116068","1.00063139276047"
"No","2011","Couple + C. LE and GT 16","Male","627","0.995318395276487","0.989979558347897","1.00065723220508"
"No","2011","Couple + C. LE and GT 16","Female","606","1","1","1"
"Yes","2012","1-pers.-HH","Male","","","",""
"Yes","2012","1-pers.-HH","Female","","","",""
"Yes","2012","(Married) couple without C. ","Male","","","",""
"Yes","2012","(Married) couple without C. ","Female","","","",""
"Yes","2012","Single parent ","Male","","","",""
"Yes","2012","Single parent ","Female","","","",""
"Yes","2012","Couple + C. LE 16 ","Male","","","",""
"Yes","2012","Couple + C. LE 16 ","Female","","","",""
"Yes","2012","Couple + C. GT 16 ","Male","","","",""
"Yes","2012","Couple + C. GT 16 ","Female","","","",""
"Yes","2012","Couple + C. LE and GT 16","Male","","","",""
"Yes","2012","Couple + C. LE and GT 16","Female","","","",""
"No","2012","1-pers.-HH","Male","","","",""
"No","2012","1-pers.-HH","Female","","","",""
"No","2012","(Married) couple without C. ","Male","","","",""
"No","2012","(Married) couple without C. ","Female","","","",""
"No","2012","Single parent ","Male","","","",""
"No","2012","Single parent ","Female","","","",""
"No","2012","Couple + C. LE 16 ","Male","","","",""
"No","2012","Couple + C. LE 16 ","Female","","","",""
"No","2012","Couple + C. GT 16 ","Male","","","",""
"No","2012","Couple + C. GT 16 ","Female","","","",""
"No","2012","Couple + C. LE and GT 16","Male","","","",""
"No","2012","Couple + C. LE and GT 16","Female","","","",""
"Yes","2013","1-pers.-HH","Male","3","","",""
"Yes","2013","1-pers.-HH","Female","18","","",""
"Yes","2013","(Married) couple without C. ","Male","15","","",""
"Yes","2013","(Married) couple without C. ","Female","25","","",""
"Yes","2013","Single parent ","Male","","","",""
"Yes","2013","Single parent ","Female","3","","",""
"Yes","2013","Couple + C. LE 16 ","Male","1","","",""
"Yes","2013","Couple + C. LE 16 ","Female","","","",""
"Yes","2013","Couple + C. GT 16 ","Male","","","",""
"Yes","2013","Couple + C. GT 16 ","Female","1","","",""
"Yes","2013","Couple + C. LE and GT 16","Male","","","",""
"Yes","2013","Couple + C. LE and GT 16","Female","","","",""
"No","2013","1-pers.-HH","Male","1445","0.99817231282646","0.995972339061861","1.00037228659106"
"No","2013","1-pers.-HH","Female","2007","0.991608721096896","0.98763570957862","0.995581732615172"
"No","2013","(Married) couple without C. ","Male","3785","0.995395996166201","0.993243600664339","0.997548391668063"
"No","2013","(Married) couple without C. ","Female","3830","0.992487876779491","0.989762165467075","0.995213588091907"
"No","2013","Single parent ","Male","314","1","1","1"
"No","2013","Single parent ","Female","799","0.992794724213388","0.986941219918093","0.998648228508683"
"No","2013","Couple + C. LE 16 ","Male","1319","0.998990833518749","0.997277967925384","1.00070369911211"
"No","2013","Couple + C. LE 16 ","Female","1453","1","1","1"
"No","2013","Couple + C. GT 16 ","Male","1388","1","1","1"
"No","2013","Couple + C. GT 16 ","Female","1245","0.998306385941671","0.996023268670043","1.0005895032133"
"No","2013","Couple + C. LE and GT 16","Male","445","1","1","1"
"No","2013","Couple + C. LE and GT 16","Female","497","1","1","1"
"Yes","2014","1-pers.-HH","Male","","","",""
"Yes","2014","1-pers.-HH","Female","","","",""
"Yes","2014","(Married) couple without C. ","Male","","","",""
"Yes","2014","(Married) couple without C. ","Female","","","",""
"Yes","2014","Single parent ","Male","","","",""
"Yes","2014","Single parent ","Female","","","",""
"Yes","2014","Couple + C. LE 16 ","Male","","","",""
"Yes","2014","Couple + C. LE 16 ","Female","","","",""
"Yes","2014","Couple + C. GT 16 ","Male","","","",""
"Yes","2014","Couple + C. GT 16 ","Female","","","",""
"Yes","2014","Couple + C. LE and GT 16","Male","","","",""
"Yes","2014","Couple + C. LE and GT 16","Female","","","",""
"No","2014","1-pers.-HH","Male","","","",""
"No","2014","1-pers.-HH","Female","","","",""
"No","2014","(Married) couple without C. ","Male","","","",""
"No","2014","(Married) couple without C. ","Female","","","",""
"No","2014","Single parent ","Male","","","",""
"No","2014","Single parent ","Female","","","",""
"No","2014","Couple + C. LE 16 ","Male","","","",""
"No","2014","Couple + C. LE 16 ","Female","","","",""
"No","2014","Couple + C. GT 16 ","Male","","","",""
"No","2014","Couple + C. GT 16 ","Female","","","",""
"No","2014","Couple + C. LE and GT 16","Male","","","",""
"No","2014","Couple + C. LE and GT 16","Female","","","",""
"Yes","2015","1-pers.-HH","Male","7","","",""
"Yes","2015","1-pers.-HH","Female","12","","",""
"Yes","2015","(Married) couple without C. ","Male","17","","",""
"Yes","2015","(Married) couple without C. ","Female","19","","",""
"Yes","2015","Single parent ","Male","","","",""
"Yes","2015","Single parent ","Female","6","","",""
"Yes","2015","Couple + C. LE 16 ","Male","2","","",""
"Yes","2015","Couple + C. LE 16 ","Female","2","","",""
"Yes","2015","Couple + C. GT 16 ","Male","1","","",""
"Yes","2015","Couple + C. GT 16 ","Female","","","",""
"Yes","2015","Couple + C. LE and GT 16","Male","","","",""
"Yes","2015","Couple + C. LE and GT 16","Female","","","",""
"No","2015","1-pers.-HH","Male","1496","0.99265200830095","0.988334318457762","0.996969698144139"
"No","2015","1-pers.-HH","Female","2007","0.991753553420431","0.987808841984515","0.995698264856347"
"No","2015","(Married) couple without C. ","Male","3704","0.996331529068006","0.994389021434951","0.99827403670106"
"No","2015","(Married) couple without C. ","Female","3762","0.99418213928237","0.99175798983351","0.996606288731229"
"No","2015","Single parent ","Male","531","1","1","1"
"No","2015","Single parent ","Female","1793","0.991965139331485","0.987839702995843","0.996090575667128"
"No","2015","Couple + C. LE 16 ","Male","2883","0.999709831109142","0.999088336181329","1.00033132603696"
"No","2015","Couple + C. LE 16 ","Female","3197","0.999788585153518","0.999284779775686","1.00029239053135"
"No","2015","Couple + C. GT 16 ","Male","1499","0.9994135730398","0.998188443399204","1.0006387026804"
"No","2015","Couple + C. GT 16 ","Female","1404","1","1","1"
"No","2015","Couple + C. LE and GT 16","Male","1067","1","1","1"
"No","2015","Couple + C. LE and GT 16","Female","1091","1","1","1"
"Yes","2016","1-pers.-HH","Male","","","",""
"Yes","2016","1-pers.-HH","Female","","","",""
"Yes","2016","(Married) couple without C. ","Male","","","",""
"Yes","2016","(Married) couple without C. ","Female","","","",""
"Yes","2016","Single parent ","Male","","","",""
"Yes","2016","Single parent ","Female","","","",""
"Yes","2016","Couple + C. LE 16 ","Male","","","",""
"Yes","2016","Couple + C. LE 16 ","Female","","","",""
"Yes","2016","Couple + C. GT 16 ","Male","","","",""
"Yes","2016","Couple + C. GT 16 ","Female","","","",""
"Yes","2016","Couple + C. LE and GT 16","Male","","","",""
"Yes","2016","Couple + C. LE and GT 16","Female","","","",""
"No","2016","1-pers.-HH","Male","","","",""
"No","2016","1-pers.-HH","Female","","","",""
"No","2016","(Married) couple without C. ","Male","","","",""
"No","2016","(Married) couple without C. ","Female","","","",""
"No","2016","Single parent ","Male","","","",""
"No","2016","Single parent ","Female","","","",""
"No","2016","Couple + C. LE 16 ","Male","","","",""
"No","2016","Couple + C. LE 16 ","Female","","","",""
"No","2016","Couple + C. GT 16 ","Male","","","",""
"No","2016","Couple + C. GT 16 ","Female","","","",""
"No","2016","Couple + C. LE and GT 16","Male","","","",""
"No","2016","Couple + C. LE and GT 16","Female","","","",""
"Yes","2017","1-pers.-HH","Male","10","","",""
"Yes","2017","1-pers.-HH","Female","13","","",""
"Yes","2017","(Married) couple without C. ","Male","14","","",""
"Yes","2017","(Married) couple without C. ","Female","14","","",""
"Yes","2017","Single parent ","Male","","","",""
"Yes","2017","Single parent ","Female","7","","",""
"Yes","2017","Couple + C. LE 16 ","Male","1","","",""
"Yes","2017","Couple + C. LE 16 ","Female","1","","",""
"Yes","2017","Couple + C. GT 16 ","Male","1","","",""
"Yes","2017","Couple + C. GT 16 ","Female","","","",""
"Yes","2017","Couple + C. LE and GT 16","Male","1","","",""
"Yes","2017","Couple + C. LE and GT 16","Female","","","",""
"No","2017","1-pers.-HH","Male","1718","0.996302192845256","0.993440362434967","0.999164023255545"
"No","2017","1-pers.-HH","Female","2211","0.991103444714743","0.987200870836279","0.995006018593208"
"No","2017","(Married) couple without C. ","Male","4079","0.99549366379045","0.99344175399831","0.997545573582589"
"No","2017","(Married) couple without C. ","Female","4151","0.994985458681037","0.992840274616711","0.997130642745364"
"No","2017","Single parent ","Male","558","1","1","1"
"No","2017","Single parent ","Female","1679","0.99193443838824","0.987664927782822","0.996203948993657"
