"ple0020","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","29","","",""
"Yes","2009","lower secondary degree","direct migration background","2","","",""
"Yes","2009","lower secondary degree","indirect migration background","","","",""
"Yes","2009","secondary school degree","no migration background","10","","",""
"Yes","2009","secondary school degree","direct migration background","","","",""
"Yes","2009","secondary school degree","indirect migration background","","","",""
"Yes","2009","college entrance qualification","no migration background","3","","",""
"Yes","2009","college entrance qualification","direct migration background","","","",""
"Yes","2009","college entrance qualification","indirect migration background","","","",""
"Yes","2009","Other degree","no migration background","","","",""
"Yes","2009","Other degree","direct migration background","3","","",""
"Yes","2009","Other degree","indirect migration background","","","",""
"Yes","2009","no degree/no degree yet","no migration background","1","","",""
"Yes","2009","no degree/no degree yet","direct migration background","1","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","43","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","5","","",""
"Yes","2011","lower secondary degree","indirect migration background","","","",""
"Yes","2011","secondary school degree","no migration background","4","","",""
"Yes","2011","secondary school degree","direct migration background","","","",""
"Yes","2011","secondary school degree","indirect migration background","","","",""
"Yes","2011","college entrance qualification","no migration background","5","","",""
"Yes","2011","college entrance qualification","direct migration background","1","","",""
"Yes","2011","college entrance qualification","indirect migration background","","","",""
"Yes","2011","Other degree","no migration background","2","","",""
"Yes","2011","Other degree","direct migration background","3","","",""
"Yes","2011","Other degree","indirect migration background","","","",""
"Yes","2011","no degree/no degree yet","no migration background","","","",""
"Yes","2011","no degree/no degree yet","direct migration background","","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","40","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","2","","",""
"Yes","2013","lower secondary degree","indirect migration background","","","",""
"Yes","2013","secondary school degree","no migration background","11","","",""
"Yes","2013","secondary school degree","direct migration background","","","",""
"Yes","2013","secondary school degree","indirect migration background","","","",""
"Yes","2013","college entrance qualification","no migration background","3","","",""
"Yes","2013","college entrance qualification","direct migration background","1","","",""
"Yes","2013","college entrance qualification","indirect migration background","","","",""
"Yes","2013","Other degree","no migration background","2","","",""
"Yes","2013","Other degree","direct migration background","6","","",""
"Yes","2013","Other degree","indirect migration background","1","","",""
"Yes","2013","no degree/no degree yet","no migration background","1","","",""
"Yes","2013","no degree/no degree yet","direct migration background","1","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","37","1","1","1"
"Yes","2015","lower secondary degree","direct migration background","1","","",""
"Yes","2015","lower secondary degree","indirect migration background","","","",""
"Yes","2015","secondary school degree","no migration background","16","","",""
"Yes","2015","secondary school degree","direct migration background","","","",""
"Yes","2015","secondary school degree","indirect migration background","","","",""
"Yes","2015","college entrance qualification","no migration background","9","","",""
"Yes","2015","college entrance qualification","direct migration background","1","","",""
"Yes","2015","college entrance qualification","indirect migration background","","","",""
"Yes","2015","Other degree","no migration background","1","","",""
"Yes","2015","Other degree","direct migration background","4","","",""
"Yes","2015","Other degree","indirect migration background","","","",""
"Yes","2015","no degree/no degree yet","no migration background","","","",""
"Yes","2015","no degree/no degree yet","direct migration background","5","","",""
"Yes","2015","no degree/no degree yet","indirect migration background","","","",""
"Yes","2016","lower secondary degree","no migration background","","","",""
"Yes","2016","lower secondary degree","direct migration background","","","",""
"Yes","2016","lower secondary degree","indirect migration background","","","",""
"Yes","2016","secondary school degree","no migration background","","","",""
"Yes","2016","secondary school degree","direct migration background","","","",""
"Yes","2016","secondary school degree","indirect migration background","","","",""
"Yes","2016","college entrance qualification","no migration background","","","",""
"Yes","2016","college entrance qualification","direct migration background","","","",""
"Yes","2016","college entrance qualification","indirect migration background","","","",""
"Yes","2016","Other degree","no migration background","","","",""
"Yes","2016","Other degree","direct migration background","","","",""
"Yes","2016","Other degree","indirect migration background","","","",""
"Yes","2016","no degree/no degree yet","no migration background","","","",""
"Yes","2016","no degree/no degree yet","direct migration background","","","",""
"Yes","2016","no degree/no degree yet","indirect migration background","","","",""
"Yes","2017","lower secondary degree","no migration background","35","1","1","1"
"Yes","2017","lower secondary degree","direct migration background","","","",""
"Yes","2017","lower secondary degree","indirect migration background","1","","",""
"Yes","2017","secondary school degree","no migration background","16","","",""
"Yes","2017","secondary school degree","direct migration background","","","",""
"Yes","2017","secondary school degree","indirect migration background","","","",""
