"ple0020","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","Urban Area","28","","",""
"Yes","2009","no migration background","Rural Area","15","","",""
"Yes","2009","direct migration background","Urban Area","5","","",""
"Yes","2009","direct migration background","Rural Area","2","","",""
"Yes","2009","indirect migration background","Urban Area","","","",""
"Yes","2009","indirect migration background","Rural Area","","","",""
"No","2009","no migration background","Urban Area","9890","0.99608827445597","0.994859791484364","0.997316757427576"
"No","2009","no migration background","Rural Area","5810","0.997596477428578","0.996338995703726","0.998853959153429"
"No","2009","direct migration background","Urban Area","1346","0.992906307577782","0.988431125309732","0.997381489845832"
"No","2009","direct migration background","Rural Area","315","0.995171405011926","0.987540469316335","1.00280234070752"
"No","2009","indirect migration background","Urban Area","597","1","1","1"
"No","2009","indirect migration background","Rural Area","118","1","1","1"
"Yes","2010","no migration background","Urban Area","","","",""
"Yes","2010","no migration background","Rural Area","","","",""
"Yes","2010","direct migration background","Urban Area","","","",""
"Yes","2010","direct migration background","Rural Area","","","",""
"Yes","2010","indirect migration background","Urban Area","","","",""
"Yes","2010","indirect migration background","Rural Area","","","",""
"No","2010","no migration background","Urban Area","","","",""
"No","2010","no migration background","Rural Area","","","",""
"No","2010","direct migration background","Urban Area","","","",""
"No","2010","direct migration background","Rural Area","","","",""
"No","2010","indirect migration background","Urban Area","","","",""
"No","2010","indirect migration background","Rural Area","","","",""
"Yes","2011","no migration background","Urban Area","36","0.00431110826107524","0.00310747246291027","0.0055147440592402"
"Yes","2011","no migration background","Rural Area","19","","",""
"Yes","2011","direct migration background","Urban Area","6","","",""
"Yes","2011","direct migration background","Rural Area","3","","",""
"Yes","2011","indirect migration background","Urban Area","","","",""
"Yes","2011","indirect migration background","Rural Area","","","",""
"No","2011","no migration background","Urban Area","11346","0.995688891738925","0.99448525594076","0.99689252753709"
"No","2011","no migration background","Rural Area","6640","0.996216476055605","0.994741894874629","0.997691057236581"
"No","2011","direct migration background","Urban Area","1547","0.992797168648942","0.98859141092461","0.997002926373274"
"No","2011","direct migration background","Rural Area","464","0.996413950580735","0.990992472758207","1.00183542840326"
"No","2011","indirect migration background","Urban Area","661","1","1","1"
"No","2011","indirect migration background","Rural Area","138","1","1","1"
"Yes","2012","no migration background","Urban Area","","","",""
"Yes","2012","no migration background","Rural Area","","","",""
"Yes","2012","direct migration background","Urban Area","","","",""
"Yes","2012","direct migration background","Rural Area","","","",""
"Yes","2012","indirect migration background","Urban Area","","","",""
"Yes","2012","indirect migration background","Rural Area","","","",""
"No","2012","no migration background","Urban Area","","","",""
"No","2012","no migration background","Rural Area","","","",""
"No","2012","direct migration background","Urban Area","","","",""
"No","2012","direct migration background","Rural Area","","","",""
"No","2012","indirect migration background","Urban Area","","","",""
"No","2012","indirect migration background","Rural Area","","","",""
"Yes","2013","no migration background","Urban Area","40","0.00435784573358659","0.00309219285039648","0.00562349861677671"
"Yes","2013","no migration background","Rural Area","17","","",""
"Yes","2013","direct migration background","Urban Area","6","","",""
"Yes","2013","direct migration background","Rural Area","4","","",""
"Yes","2013","indirect migration background","Urban Area","","","",""
"Yes","2013","indirect migration background","Rural Area","1","","",""
"No","2013","no migration background","Urban Area","10365","0.995642154266413","0.994376501383223","0.996907807149604"
"No","2013","no migration background","Rural Area","6137","0.996952027701607","0.995574780231241","0.998329275171973"
"No","2013","direct migration background","Urban Area","1294","0.989904828736254","0.984470699261608","0.995338958210899"
