"ple0020","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","inadequately","9","","","","2"
"No","2009","indirect migration background","vocational + Abi","37","1","1","1","2"
"No","2009","indirect migration background","higher vocational","30","1","1","1","2"
"No","2009","indirect migration background","middle vocational","288","1","1","1","2"
"No","2009","indirect migration background","general elemantary","146","1","1","1","2"
"No","2009","direct migration background","higher vocational","96","1","1","1","2"
"No","2009","direct migration background","higher education","294","1","1","1","2"
"No","2009","indirect migration background","higher education","88","1","1","1","2"
"No","2009","direct migration background","middle vocational","616","0.998808073308209","0.996085551898275","1.00153059471814","2"
"No","2009","direct migration background","vocational + Abi","170","1","1","1","2"
"No","2009","indirect migration background","in school","49","1","1","1","2"
"No","2009","direct migration background","in school","11","","","","2"
"No","2009","direct migration background","inadequately","91","0.97055074044883","0.936004523994544","1.00509695690312","2"
"No","2009","direct migration background","general elemantary","359","0.981366471440862","0.967455484649397","0.995277458232327","2"
"No","2009","no migration background","higher vocational","1210","0.999288381404883","0.997787087075936","1.00078967573383","2"
"No","2009","no migration background","higher education","3663","0.998008354551476","0.996565356520286","0.999451352582667","2"
"No","2009","no migration background","general elemantary","1288","0.98565064431468","0.979193305286834","0.992107983342525","2"
"No","2009","no migration background","middle vocational","8186","0.997756893683554","0.996733318772279","0.99878046859483","2"
"No","2009","no migration background","vocational + Abi","795","0.998401159050982","0.995625623932452","1.00117669416951","2"
"No","2009","no migration background","in school","253","1","1","1","2"
"No","2009","no migration background","inadequately","67","0.960909057642846","0.914843869611762","1.00697424567393","2"
"Yes","2009","no migration background","in school","","","","","1"
"Yes","2009","no migration background","inadequately","1","","","","1"
"Yes","2009","no migration background","general elemantary","15","","","","1"
"Yes","2009","no migration background","middle vocational","20","","","","1"
"Yes","2009","no migration background","vocational + Abi","1","","","","1"
"Yes","2009","no migration background","higher vocational","2","","","","1"
"Yes","2009","no migration background","higher education","4","","","","1"
"Yes","2009","direct migration background","in school","","","","","1"
"Yes","2009","direct migration background","inadequately","1","","","","1"
"Yes","2009","direct migration background","general elemantary","4","","","","1"
"Yes","2009","direct migration background","middle vocational","1","","","","1"
"Yes","2009","direct migration background","vocational + Abi","","","","","1"
"Yes","2009","direct migration background","higher vocational","","","","","1"
"Yes","2009","direct migration background","higher education","","","","","1"
"Yes","2009","indirect migration background","in school","","","","","1"
"Yes","2009","indirect migration background","inadequately","","","","","1"
"Yes","2009","indirect migration background","general elemantary","","","","","1"
"Yes","2009","indirect migration background","middle vocational","","","","","1"
"Yes","2009","indirect migration background","vocational + Abi","","","","","1"
"Yes","2009","indirect migration background","higher vocational","","","","","1"
"Yes","2009","indirect migration background","higher education","","","","","1"
"No","2010","indirect migration background","inadequately","","","","","2"
"No","2010","indirect migration background","vocational + Abi","","","","","2"
"No","2010","indirect migration background","general elemantary","","","","","2"
"No","2010","indirect migration background","middle vocational","","","","","2"
"No","2010","direct migration background","middle vocational","","","","","2"
"No","2010","direct migration background","vocational + Abi","","","","","2"
"No","2010","indirect migration background","higher vocational","","","","","2"
"No","2010","direct migration background","higher vocational","","","","","2"
"No","2010","indirect migration background","higher education","","","","","2"
"No","2010","direct migration background","higher education","","","","","2"
"No","2010","indirect migration background","in school","","","","","2"
"No","2010","no migration background","higher vocational","","","","","2"
"No","2010","no migration background","higher education","","","","","2"
"No","2010","direct migration background","in school","","","","","2"
"No","2010","direct migration background","inadequately","","","","","2"
"No","2010","direct migration background","general elemantary","","","","","2"
"No","2010","no migration background","in school","","","","","2"
"No","2010","no migration background","inadequately","","","","","2"
"No","2010","no migration background","general elemantary","","","","","2"
"No","2010","no migration background","middle vocational","","","","","2"
"No","2010","no migration background","vocational + Abi","","","","","2"
"Yes","2010","direct migration background","general elemantary","","","","","1"
"Yes","2010","direct migration background","middle vocational","","","","","1"
"Yes","2010","direct migration background","vocational + Abi","","","","","1"
"Yes","2010","direct migration background","higher vocational","","","","","1"
"Yes","2010","no migration background","in school","","","","","1"
"Yes","2010","no migration background","inadequately","","","","","1"
"Yes","2010","no migration background","general elemantary","","","","","1"
"Yes","2010","no migration background","middle vocational","","","","","1"
"Yes","2010","no migration background","vocational + Abi","","","","","1"
"Yes","2010","no migration background","higher vocational","","","","","1"
"Yes","2010","no migration background","higher education","","","","","1"
"Yes","2010","direct migration background","in school","","","","","1"
"Yes","2010","direct migration background","inadequately","","","","","1"
"Yes","2010","direct migration background","higher education","","","","","1"
"Yes","2010","indirect migration background","in school","","","","","1"
"Yes","2010","indirect migration background","inadequately","","","","","1"
"Yes","2010","indirect migration background","general elemantary","","","","","1"
"Yes","2010","indirect migration background","middle vocational","","","","","1"
"Yes","2010","indirect migration background","vocational + Abi","","","","","1"
"Yes","2010","indirect migration background","higher vocational","","","","","1"
"Yes","2010","indirect migration background","higher education","","","","","1"
"No","2011","direct migration background","higher vocational","93","0.995393336376206","0.98170424005117","1.00908243270124","2"
"No","2011","direct migration background","middle vocational","771","0.999296024213999","0.997425060428672","1.00116698799933","2"
"No","2011","direct migration background","vocational + Abi","211","1","1","1","2"
"No","2011","direct migration background","higher education","370","0.997717402622977","0.99286139268496","1.00257341256099","2"
"No","2011","indirect migration background","in school","58","1","1","1","2"
"No","2011","no migration background","higher vocational","1323","0.999496080155703","0.998287221911472","1.00070493839993","2"
"No","2011","indirect migration background","inadequately","15","","","","2"
"No","2011","indirect migration background","general elemantary","132","1","1","1","2"
"No","2011","no migration background","higher education","4113","0.998250259945329","0.99697409748325","0.999526422407408","2"
"No","2011","direct migration background","in school","13","","","","2"
"No","2011","direct migration background","inadequately","98","1","1","1","2"
"No","2011","indirect migration background","middle vocational","339","1","1","1","2"
"No","2011","indirect migration background","vocational + Abi","46","1","1","1","2"
"No","2011","indirect migration background","higher vocational","36","1","1","1","2"
"No","2011","indirect migration background","higher education","109","1","1","1","2"
"No","2011","direct migration background","general elemantary","413","0.972658711395015","0.957044113330757","0.988273309459272","2"
"No","2011","no migration background","in school","242","1","1","1","2"
"No","2011","no migration background","inadequately","119","0.981639095447551","0.957618684797819","1.00565950609728","2"
"No","2011","no migration background","general elemantary","1615","0.982364292464191","0.975988172502413","0.988740412425969","2"
"No","2011","no migration background","middle vocational","9414","0.996770497381955","0.995625784628098","0.997915210135812","2"
"No","2011","no migration background","vocational + Abi","952","1","1","1","2"
"Yes","2011","no migration background","higher education","7","","","","1"
"Yes","2011","direct migration background","in school","","","","","1"
"Yes","2011","direct migration background","inadequately","","","","","1"
"Yes","2011","direct migration background","general elemantary","6","","","","1"
"Yes","2011","no migration background","higher vocational","1","","","","1"
"Yes","2011","indirect migration background","higher vocational","","","","","1"
"Yes","2011","indirect migration background","higher education","","","","","1"
"Yes","2011","direct migration background","middle vocational","1","","","","1"
"Yes","2011","direct migration background","vocational + Abi","","","","","1"
"Yes","2011","direct migration background","higher vocational","1","","","","1"
"Yes","2011","no migration background","in school","","","","","1"
"Yes","2011","no migration background","inadequately","1","","","","1"
"Yes","2011","no migration background","general elemantary","22","","","","1"
"Yes","2011","no migration background","middle vocational","23","","","","1"
"Yes","2011","no migration background","vocational + Abi","","","","","1"
