"ple0020","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","lower secondary degree","29","","",""
"Yes","2009","Not Employed","secondary school degree","9","","",""
"Yes","2009","Not Employed","college entrance qualification","3","","",""
"Yes","2009","Not Employed","Other degree","3","","",""
"Yes","2009","Not Employed","no degree/no degree yet","1","","",""
"Yes","2009","Employed","lower secondary degree","2","","",""
"Yes","2009","Employed","secondary school degree","1","","",""
"Yes","2009","Employed","college entrance qualification","","","",""
"Yes","2009","Employed","Other degree","","","",""
"Yes","2009","Employed","no degree/no degree yet","1","","",""
"Yes","2010","Not Employed","lower secondary degree","","","",""
"Yes","2010","Not Employed","secondary school degree","","","",""
"Yes","2010","Not Employed","college entrance qualification","","","",""
"Yes","2010","Not Employed","Other degree","","","",""
"Yes","2010","Not Employed","no degree/no degree yet","","","",""
"Yes","2010","Employed","lower secondary degree","","","",""
"Yes","2010","Employed","secondary school degree","","","",""
"Yes","2010","Employed","college entrance qualification","","","",""
"Yes","2010","Employed","Other degree","","","",""
"Yes","2010","Employed","no degree/no degree yet","","","",""
"Yes","2011","Not Employed","lower secondary degree","47","1","1","1"
"Yes","2011","Not Employed","secondary school degree","3","","",""
"Yes","2011","Not Employed","college entrance qualification","5","","",""
"Yes","2011","Not Employed","Other degree","5","","",""
"Yes","2011","Not Employed","no degree/no degree yet","","","",""
"Yes","2011","Employed","lower secondary degree","1","","",""
"Yes","2011","Employed","secondary school degree","1","","",""
"Yes","2011","Employed","college entrance qualification","1","","",""
"Yes","2011","Employed","Other degree","","","",""
"Yes","2011","Employed","no degree/no degree yet","","","",""
"Yes","2012","Not Employed","lower secondary degree","","","",""
"Yes","2012","Not Employed","secondary school degree","","","",""
"Yes","2012","Not Employed","college entrance qualification","","","",""
"Yes","2012","Not Employed","Other degree","","","",""
"Yes","2012","Not Employed","no degree/no degree yet","","","",""
"Yes","2012","Employed","lower secondary degree","","","",""
"Yes","2012","Employed","secondary school degree","","","",""
"Yes","2012","Employed","college entrance qualification","","","",""
"Yes","2012","Employed","Other degree","","","",""
"Yes","2012","Employed","no degree/no degree yet","","","",""
"Yes","2013","Not Employed","lower secondary degree","41","1","1","1"
"Yes","2013","Not Employed","secondary school degree","9","","",""
"Yes","2013","Not Employed","college entrance qualification","3","","",""
"Yes","2013","Not Employed","Other degree","9","","",""
"Yes","2013","Not Employed","no degree/no degree yet","2","","",""
"Yes","2013","Employed","lower secondary degree","1","","",""
"Yes","2013","Employed","secondary school degree","2","","",""
"Yes","2013","Employed","college entrance qualification","1","","",""
"Yes","2013","Employed","Other degree","","","",""
"Yes","2013","Employed","no degree/no degree yet","","","",""
"Yes","2014","Not Employed","lower secondary degree","","","",""
"Yes","2014","Not Employed","secondary school degree","","","",""
"Yes","2014","Not Employed","college entrance qualification","","","",""
"Yes","2014","Not Employed","Other degree","","","",""
"Yes","2014","Not Employed","no degree/no degree yet","","","",""
"Yes","2014","Employed","lower secondary degree","","","",""
"Yes","2014","Employed","secondary school degree","","","",""
"Yes","2014","Employed","college entrance qualification","","","",""
"Yes","2014","Employed","Other degree","","","",""
"Yes","2014","Employed","no degree/no degree yet","","","",""
"Yes","2015","Not Employed","lower secondary degree","35","1","1","1"
"Yes","2015","Not Employed","secondary school degree","13","","",""
"Yes","2015","Not Employed","college entrance qualification","8","","",""
"Yes","2015","Not Employed","Other degree","5","","",""
"Yes","2015","Not Employed","no degree/no degree yet","5","","",""
"Yes","2015","Employed","lower secondary degree","3","","",""
"Yes","2015","Employed","secondary school degree","3","","",""
"Yes","2015","Employed","college entrance qualification","2","","",""
"Yes","2015","Employed","Other degree","","","",""
"Yes","2015","Employed","no degree/no degree yet","","","",""
"Yes","2016","Not Employed","lower secondary degree","","","",""
"Yes","2016","Not Employed","secondary school degree","","","",""
